"FiscalYear_val","PCOLocation_val","AwardDate_val","FirstDeliveryDate_val","Quantity_val","UnitCost_val","SpecsAvailableNow_val","RFPIssueDate_val","ContractMethod_val","ContractType_val","FundingVehicle_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ServiceAgencyName_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ServiceAgencyName_@footnote","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ProcQuantity_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_MonthlyDeliveryList_MonthlyDelivery","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_AcceptedBeforeOct1_val","MonthlyDeliveryScheduleTotal_ProcQuantity_val","MonthlyDeliveryScheduleTotal_MonthlyDeliveryList_MonthlyDelivery","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"2014","SMC, LA AFB, CA","2013-10","2013-10","1","554.946","true","2012-03","SS","Various","","","","","","","","","191a1aeed0cabe5a3221704198a7eabf77eca17f-0-fe5870a445eb6a330ea46d8bd1e0de8d23682c39","191a1aeed0cabe5a3221704198a7eabf77eca17f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","191a1aeed0cabe5a3221704198a7eabf77eca17f-0-c136d5c3387445e9b277c95729443dab40ea5596"
"2016","SMC, LA AFB, CA","2015-12","2017-12","4","117.647","true","2012-03","","","Various","Air Force","","4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-7ddfbe85b91a6affaacd7630ba558cac6f849fa5-0-4f0814fcbd77a3fcc7e1101fc6a038c08367042f","","4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-7ddfbe85b91a6affaacd7630ba558cac6f849fa5-0-54f0fc487c5c946ef048eadd3b7b7c8c6d754d54","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-0-2dcf19798866f1fdc371fbffdf820990ea500a68","7ddfbe85b91a6affaacd7630ba558cac6f849fa5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-0-7c5905391a60c4ab503f5d9dcddf552a24639822"
"2017","SMC, LA AFB, CA","2016-12","2018-12","5","117.653","true","2012-03","","","Various","Air Force","","5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-7ddfbe85b91a6affaacd7630ba558cac6f849fa5-1-c1c9730c7a599e639623671dd589d7a18569404b","","5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-7ddfbe85b91a6affaacd7630ba558cac6f849fa5-1-2295c147b6bf842ffd5d601e2b95682ce5ef23c3","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-1-8c76b137e30de4ace8386f890c404444b5599e68","7ddfbe85b91a6affaacd7630ba558cac6f849fa5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-0-7c5905391a60c4ab503f5d9dcddf552a24639822"
"2018","SMC, LA AFB, CA","2017-12","2019-12","3","159.814","true","2016-12","","","Various","Air Force","","3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-7ddfbe85b91a6affaacd7630ba558cac6f849fa5-0-74094a25c1e7e67234b50f04c8aa49fe8f447cb0","","3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-7ddfbe85b91a6affaacd7630ba558cac6f849fa5-0-0951ba7fd97516a32cc72010770ca126c4a2425a","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-0-b4c6ec6d8aaece50901d09e87eff15df038deea3","7ddfbe85b91a6affaacd7630ba558cac6f849fa5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-1-f4d5685ee43d29eb9e41f602118a028c5f89945c"
"2019","SMC, LA AFB, CA","2018-12","2020-12","6","183.412","true","2016-12","","","Various","Air Force","","6","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-7ddfbe85b91a6affaacd7630ba558cac6f849fa5-1-20fc1c92c1a36b4510469fc1d4481f7af60a63a6","","6","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-7ddfbe85b91a6affaacd7630ba558cac6f849fa5-1-cbd5c7a13b2f40b0f0aa4b035db7cfcac81b7739","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-1-31821035abea992d2e943f0c0c7769ecdc6dbcda","7ddfbe85b91a6affaacd7630ba558cac6f849fa5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-1-f4d5685ee43d29eb9e41f602118a028c5f89945c"
"2020","SMC, LA AFB, CA","2019-12","2021-12","5","202.996","true","2016-12","","","Various","Air Force","","5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-7ddfbe85b91a6affaacd7630ba558cac6f849fa5-2-c1d4a7614fac273f999a85511b0e606548da3247","","5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-7ddfbe85b91a6affaacd7630ba558cac6f849fa5-2-39a727599d67d51c7782b7256047cf700fc1f1b6","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-2-b63475cba9992111546536aab9e5a310dee3d71b","7ddfbe85b91a6affaacd7630ba558cac6f849fa5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-1-f4d5685ee43d29eb9e41f602118a028c5f89945c"
"2021","SMC, LA AFB, CA","2020-12","2022-12","4","237.827","true","2016-12","","","Various","Air Force","","4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-7ddfbe85b91a6affaacd7630ba558cac6f849fa5-3-bade1cffcbdec57e6551ab9fb4b0b094051de73b","","4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-7ddfbe85b91a6affaacd7630ba558cac6f849fa5-3-3b26ba9453d9e4c5cf55da55947e180326120ca7","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-3-dc5bd9afc51e679acb2b8546c9fc73c0cc82fd27","7ddfbe85b91a6affaacd7630ba558cac6f849fa5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-1-f4d5685ee43d29eb9e41f602118a028c5f89945c"
"2016","SMC, LA AFB, CA","2015-10","2015-10","1","554.826","true","2012-03","","","Various","","","","","","","","9f9071d48e36bd716928d6b808db197f73a8dcb4-0-0b794e901a471e47a51c1e6c6c12b488bd733d70","9f9071d48e36bd716928d6b808db197f73a8dcb4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","9f9071d48e36bd716928d6b808db197f73a8dcb4-0-9c8b1dfb3fd2c1a4c642d0692de9ff5117d73af1"
"2017","SMC, LA AFB, CA","2016-10","2016-10","1","737.273","true","2012-03","","","Various","","","","","","","","9f9071d48e36bd716928d6b808db197f73a8dcb4-1-d444561a4cee722d9e69bc3c3a20168b7ddf4123","9f9071d48e36bd716928d6b808db197f73a8dcb4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","9f9071d48e36bd716928d6b808db197f73a8dcb4-0-9c8b1dfb3fd2c1a4c642d0692de9ff5117d73af1"
"2018","SMC, LA AFB, CA","2017-10","2017-10","1","727.429","true","2012-03","","","Various","","","","","","","","9f9071d48e36bd716928d6b808db197f73a8dcb4-2-039254a2548bfb0c29e67d290f8261f8f4031890","9f9071d48e36bd716928d6b808db197f73a8dcb4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","9f9071d48e36bd716928d6b808db197f73a8dcb4-0-9c8b1dfb3fd2c1a4c642d0692de9ff5117d73af1"
