"Name_val","Location_val","MinimumSustainingRate_val","MaximumProductionRate_val","Rate185_val","InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val","InitialQuantity_AdminLeadTimeAfterOct1InMonths_val","InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val","InitialQuantity_TotalLeadTimeAfterOct1InMonths_val","ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val","ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val","ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val","ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val","HistoryPlanningList_HistoryPlanning","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"United Launch Alliance (ULA)","CO","0.00","0.00","0.00","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-191a1aeed0cabe5a3221704198a7eabf77eca17f-0-40ecdeb4e7a10cbfbe642711c29e9f084ee8c1eb","191a1aeed0cabe5a3221704198a7eabf77eca17f-0-c136d5c3387445e9b277c95729443dab40ea5596","191a1aeed0cabe5a3221704198a7eabf77eca17f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement","191a1aeed0cabe5a3221704198a7eabf77eca17f-0-9b4afb586db93a1f4ad14370baa78343be7189d9"
"United Launch Alliance (ULA)/Space X","CO/CA","3.00","10.00","10.00","0","0","0","0","0","3","24","27","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-7ddfbe85b91a6affaacd7630ba558cac6f849fa5-0-807fe689472f050aac91f1967d69a3bacd3a9cb7","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-0-7c5905391a60c4ab503f5d9dcddf552a24639822","7ddfbe85b91a6affaacd7630ba558cac6f849fa5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-0-af4f3ce1b65838002ea342dd9ee561c5251b6e86"
"TBD","TBD","0.00","0.00","0.00","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-7ddfbe85b91a6affaacd7630ba558cac6f849fa5-1-1a1b95775c26c7cfe79ceca63d5819ff7b3fa398","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-1-f4d5685ee43d29eb9e41f602118a028c5f89945c","7ddfbe85b91a6affaacd7630ba558cac6f849fa5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-0-af4f3ce1b65838002ea342dd9ee561c5251b6e86"
"United Launch Alliance (ULA)/Space X","CO/CA","0.00","0.00","0.00","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-9f9071d48e36bd716928d6b808db197f73a8dcb4-0-26a9c42cd6a86c54ff3d6f987b94d6442c8eadd8","9f9071d48e36bd716928d6b808db197f73a8dcb4-0-9c8b1dfb3fd2c1a4c642d0692de9ff5117d73af1","9f9071d48e36bd716928d6b808db197f73a8dcb4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement","9f9071d48e36bd716928d6b808db197f73a8dcb4-0-2be5e9c0c44cb9bf6909c538b8e1ba4d592f463e"
"United Launch Alliance (ULA)/Various","CO/TBD","0.00","0.00","0.00","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-9f9071d48e36bd716928d6b808db197f73a8dcb4-1-9bc012bb9fe90a1c255e7df8c1da9db3919bd84d","9f9071d48e36bd716928d6b808db197f73a8dcb4-1-dbfa595134bc4ae8acb7acf8130b1ded7921f2d9","9f9071d48e36bd716928d6b808db197f73a8dcb4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement","9f9071d48e36bd716928d6b808db197f73a8dcb4-0-2be5e9c0c44cb9bf6909c538b8e1ba4d592f463e"
"TBD","CO/TBD","0.00","0.00","0.00","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-9f9071d48e36bd716928d6b808db197f73a8dcb4-2-0a9b5e69b0818210e4d23a2e3751f6f4d47850a9","9f9071d48e36bd716928d6b808db197f73a8dcb4-2-b0f7373bb713a6c6a75cdf88ff3bb14b8631a117","9f9071d48e36bd716928d6b808db197f73a8dcb4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement","9f9071d48e36bd716928d6b808db197f73a8dcb4-0-2be5e9c0c44cb9bf6909c538b8e1ba4d592f463e"
"United Launch Alliance/ Space X","CO/CA","0.00","0.00","0.00","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-a4b42ea41376af149fde0a56a4fda0978d60b49b-0-fc4ad664da7590c733159cee579c1cb8b55a8b90","a4b42ea41376af149fde0a56a4fda0978d60b49b-0-8268cdacbf4475a5880b3a0fe1206e3574e89c98","a4b42ea41376af149fde0a56a4fda0978d60b49b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement","a4b42ea41376af149fde0a56a4fda0978d60b49b-0-70c53f50da195a573152c6a0c4b0a6c8189dafe6"
"United Launch Alliance","CO","0.00","0.00","0.00","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-a4b42ea41376af149fde0a56a4fda0978d60b49b-1-15eb8e016b2be487ba6e48ffd6b1a3f5c047a830","a4b42ea41376af149fde0a56a4fda0978d60b49b-1-d3a37ac9e0e897c98be77086afcb9427e31c9fbe","a4b42ea41376af149fde0a56a4fda0978d60b49b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement","a4b42ea41376af149fde0a56a4fda0978d60b49b-0-70c53f50da195a573152c6a0c4b0a6c8189dafe6"
"United Launch Alliance (ULA)/Various","CO/Various","0.00","0.00","0.00","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-a4b42ea41376af149fde0a56a4fda0978d60b49b-2-4b3d8e100df3b35f3ab9296d059821753f66370a","a4b42ea41376af149fde0a56a4fda0978d60b49b-2-c15ec8ee6afbe24841fb3250dda2b6071c9b820f","a4b42ea41376af149fde0a56a4fda0978d60b49b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement","a4b42ea41376af149fde0a56a4fda0978d60b49b-0-70c53f50da195a573152c6a0c4b0a6c8189dafe6"
"United Launch Alliance (ULA)/CO/ Space X/CA","CO/Various","3.00","10.00","10.00","0","0","0","0","0","4","24","28","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-a4b42ea41376af149fde0a56a4fda0978d60b49b-3-4f48ff5096a5db5ffe88adba2edf61ac211a55cf","a4b42ea41376af149fde0a56a4fda0978d60b49b-3-9a6fd9dcd491becf22400d809639a4480b003d70","a4b42ea41376af149fde0a56a4fda0978d60b49b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement","a4b42ea41376af149fde0a56a4fda0978d60b49b-0-70c53f50da195a573152c6a0c4b0a6c8189dafe6"
