"Name_val","Cost_Quantity_AllPriorYears_val","Cost_Quantity_PriorYear_val","Cost_Quantity_Total_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_ToComplete_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_Total_val","Cost_UnitCost_AllPriorYears_val","Cost_UnitCost_PriorYear_val","Cost_UnitCost_Total_val","Cost_UnitCost_CurrentYear_val","Cost_UnitCost_BudgetYearOneBase_val","Cost_UnitCost_BudgetYearOne_val","Cost_UnitCost_BudgetYearTwo_val","Cost_UnitCost_BudgetYearThree_val","Cost_UnitCost_BudgetYearFour_val","Cost_UnitCost_BudgetYearFive_val","Cost_UnitCost_ToComplete_val","Cost_AllPriorYears_UnitCost_val","Cost_AllPriorYears_Quantity_val","Cost_AllPriorYears_TotalCost_val","Cost_PriorYear_UnitCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_UnitCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_UnitCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOne_UnitCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearTwo_UnitCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_UnitCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_UnitCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_UnitCost_val","Cost_BudgetYearFive_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_ToComplete_UnitCost_val","Cost_ToComplete_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_Total_UnitCost_val","Cost_Total_Quantity_val","Cost_Total_TotalCost_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_Continuing_val","ManufacturerList_Manufacturer","AllPriorYearsDeliveries_val","IdCode_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Launch Capability","1","1","2","","","","","","","","","1186.503","683.378","0","0","0","0","0","0","0","0","0","1869.881","1186.503","683.378","934.941","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList-191a1aeed0cabe5a3221704198a7eabf77eca17f-0-d3d37c664bd55fb46d27a01d67a5b4dfb5a9de64","","","191a1aeed0cabe5a3221704198a7eabf77eca17f-0-9b4afb586db93a1f4ad14370baa78343be7189d9","191a1aeed0cabe5a3221704198a7eabf77eca17f","root.record.ItemExhibitList.P5Item","191a1aeed0cabe5a3221704198a7eabf77eca17f-0-a4f6c07fd98e221ec384e67f9c3d508425876b47"
"Launch Services","","","61","4","5","5","3","6","5","4","34","","0","470.587","588.266","0","588.266","479.441","1100.472","1014.981","951.308","6865.916","11470.971","","","188.049","117.647","117.653","117.653","159.814","183.412","202.996","237.827","201.939","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList-7ddfbe85b91a6affaacd7630ba558cac6f849fa5-0-f59f3f8a72f44410b601cd7c8dde4c805b8a0a17","","","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-0-af4f3ce1b65838002ea342dd9ee561c5251b6e86","7ddfbe85b91a6affaacd7630ba558cac6f849fa5","root.record.ItemExhibitList.P5Item","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-0-20b261e0f4c45fc8c715a560f89371cc2c1f262c"
"Launch Capability","","","","","","","","","","","","0","","0","0","","0","0","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-1-faba7c493669e75cf7a886b3033a160556e1139b","7ddfbe85b91a6affaacd7630ba558cac6f849fa5","root.record.ItemExhibitList.P5Item","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-0-20b261e0f4c45fc8c715a560f89371cc2c1f262c"
"EELV Enterprise Systems Engineering & Integration","","","","","","","","","","","","","0","22.579","21.736","","21.736","15.609","15.018","22.58","23.3","243.36","364.182","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-2-1a0c286839f73b0037c8d6e61c7273820afc5a16","7ddfbe85b91a6affaacd7630ba558cac6f849fa5","root.record.ItemExhibitList.P5Item","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-0-20b261e0f4c45fc8c715a560f89371cc2c1f262c"
"Mission Assurance","","","","","","","","","","","","","0","149.191","89.673","","89.673","135.295","164.331","157.074","150.983","1611.429","2457.976","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-3-220cd3b499caf6fdd239d956c219e2c91c99a5af","7ddfbe85b91a6affaacd7630ba558cac6f849fa5","root.record.ItemExhibitList.P5Item","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-0-20b261e0f4c45fc8c715a560f89371cc2c1f262c"
"Launch Capability","","","7","1","1","1","1","1","1","1","1","0","0","554.826","737.273","0","737.273","727.429","486.569","495.269","504.183","8300.618","11806.167","","","1686.595","554.826","737.273","737.273","727.429","486.569","495.269","504.183","8300.618","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList-9f9071d48e36bd716928d6b808db197f73a8dcb4-0-ad2bbe858cd2ad549ae6d5eae801282dfac7f3de","","","9f9071d48e36bd716928d6b808db197f73a8dcb4-0-2be5e9c0c44cb9bf6909c538b8e1ba4d592f463e","9f9071d48e36bd716928d6b808db197f73a8dcb4","root.record.ItemExhibitList.P5Item","9f9071d48e36bd716928d6b808db197f73a8dcb4-0-71993b95e16ba696c0fbbcf7bb528d9e7d45b5e9"
"Launch Services","41","4","45","","","","","","","","","4614.186","573.342","0","0","0","0","0","0","0","0","0","5187.528","112.541","143.335","115.278","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList-a4b42ea41376af149fde0a56a4fda0978d60b49b-0-f10db2996337a2449c5c2a7195582e0def078675","27","","a4b42ea41376af149fde0a56a4fda0978d60b49b-0-70c53f50da195a573152c6a0c4b0a6c8189dafe6","a4b42ea41376af149fde0a56a4fda0978d60b49b","root.record.ItemExhibitList.P5Item","a4b42ea41376af149fde0a56a4fda0978d60b49b-0-a74fb7f6da1968721c9ee9ddb19a3f7e8e7018b7"
"Launch Capability","","","","","","","","","","","","4842.649","0","0","0","0","0","0","0","0","0","0","4842.649","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","a4b42ea41376af149fde0a56a4fda0978d60b49b-1-da0c64165fe1836ca88ff9dd34a1ea11ce944517","a4b42ea41376af149fde0a56a4fda0978d60b49b","root.record.ItemExhibitList.P5Item","a4b42ea41376af149fde0a56a4fda0978d60b49b-0-a74fb7f6da1968721c9ee9ddb19a3f7e8e7018b7"
"EELV Enterprise Systems Engineering & Integration","","","","","","","","","","","","64.87","18.202","","0","0","0","0","0","0","0","0","83.072","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","a4b42ea41376af149fde0a56a4fda0978d60b49b-2-33e62bc760807a4a201160906096f36508a7c7b2","a4b42ea41376af149fde0a56a4fda0978d60b49b","root.record.ItemExhibitList.P5Item","a4b42ea41376af149fde0a56a4fda0978d60b49b-0-a74fb7f6da1968721c9ee9ddb19a3f7e8e7018b7"
"Mission Assurance","","","","","","","","","","","","722.266","130.572","","0","0","0","0","0","0","0","0","852.838","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","a4b42ea41376af149fde0a56a4fda0978d60b49b-3-fb55d52a975ec012ac41fd85b3b093f47db96753","a4b42ea41376af149fde0a56a4fda0978d60b49b","root.record.ItemExhibitList.P5Item","a4b42ea41376af149fde0a56a4fda0978d60b49b-0-a74fb7f6da1968721c9ee9ddb19a3f7e8e7018b7"
