"Name_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOne_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"JSAM RW MPU-5 - Technical Data Package","0","1.294","0","0","0","","","","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-780dde19e0c07530a922827bca2cc2c3acfbefc5","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-ec8c86a4d8a537d620605a6ffc92dfc0bb51d080"
"Other","","0.317","2.073","0.894","0.894","","","","","","87689c319860cb39ae8048202a86c5df39e4d7b9-0-d7125bfbe2db59c993552a60b43b350bc4a71ac1","87689c319860cb39ae8048202a86c5df39e4d7b9","root.record.ItemExhibitList.P5Item","87689c319860cb39ae8048202a86c5df39e4d7b9-1-a4402341df2fc13e30a0a2bad9a4fa1fffa49b93"
"Training Spt / Manuals / NET","","6.8","","","","","","","","","b7848bb221be4b854e649ccb3a568eb6eba10205-0-f244477e7caaca7c4eb5de4d561f225c01d34f44","b7848bb221be4b854e649ccb3a568eb6eba10205","root.record.ItemExhibitList.P5Item","b7848bb221be4b854e649ccb3a568eb6eba10205-0-fc162c4eb3f16474c282a517d509ef80ba2256c8"
"Facilitization","","4.6","","","","","","","","","b7848bb221be4b854e649ccb3a568eb6eba10205-1-b30db706365a951f3a6029b3f230ba8b2fdba106","b7848bb221be4b854e649ccb3a568eb6eba10205","root.record.ItemExhibitList.P5Item","b7848bb221be4b854e649ccb3a568eb6eba10205-0-fc162c4eb3f16474c282a517d509ef80ba2256c8"
"Training Spt / Manuals / NET","","","","","","","0.000","0.000","5","5","a7daaf12ceb3a343b9a6d25d5fa9045bec36b77f-0-41bcbc17033f80c6614aed6daf4f5b4a6d6d383a","a7daaf12ceb3a343b9a6d25d5fa9045bec36b77f","root.record.ItemExhibitList.P5Item","a7daaf12ceb3a343b9a6d25d5fa9045bec36b77f-0-b223004d7e7d79c94d9f6751632e59696d035ede"
"Training Spt / Manuals / NET","","","5","5","5","","","","","","c70edab0ecd73295fdc4a9bc987c2fd361b92783-0-d2c0791fc4a9ecd2167fb9b65fe51f783cbc11ea","c70edab0ecd73295fdc4a9bc987c2fd361b92783","root.record.ItemExhibitList.P5Item","c70edab0ecd73295fdc4a9bc987c2fd361b92783-0-7ba6292d340466bc8acb616bfe7ad2b0932c583f"
"Training Spt / Manuals / NET","","","5","5","5","","","","","","50a9f2c47e3a913463b9804ae35cea45b6f8ca8a-0-eeda5e7fcdb4fbbfc1009c6e0428583d7a6fe7b2","50a9f2c47e3a913463b9804ae35cea45b6f8ca8a","root.record.ItemExhibitList.P5Item","50a9f2c47e3a913463b9804ae35cea45b6f8ca8a-0-cedb236788725c59730052ed6ce24c6156284141"
"Transportation","","0.05","0.05","0.05","0.05","","","","","","3a3642448abb8265765d938464b84f4c09dbd7d6-0-d6121f00596cfea21d9b104649f18bf1fabcb8e0","3a3642448abb8265765d938464b84f4c09dbd7d6","root.record.ItemExhibitList.P5Item","3a3642448abb8265765d938464b84f4c09dbd7d6-2-33af8df1078f8d13e075071c4f272605caae7762"
"Training Spt / Manuals / NET","","1","2","","6.2","6.2","","","","","6c0ed8f6404d812c30a6d3f23df7eea6f3a36d30-0-a9ee2400c69e716c5251c9ca3b37e3ff7f34acb4","6c0ed8f6404d812c30a6d3f23df7eea6f3a36d30","root.record.ItemExhibitList.P5Item","6c0ed8f6404d812c30a6d3f23df7eea6f3a36d30-0-1138b7f165a643ca000ab39def453450fa53c6e2"
"Facilitization","","","1","","","","","","","","6c0ed8f6404d812c30a6d3f23df7eea6f3a36d30-1-91fafe88ed6ef32116d2252a4dbba4e54c3b21ed","6c0ed8f6404d812c30a6d3f23df7eea6f3a36d30","root.record.ItemExhibitList.P5Item","6c0ed8f6404d812c30a6d3f23df7eea6f3a36d30-0-1138b7f165a643ca000ab39def453450fa53c6e2"
