"FiscalYear_val","FiscalYear_@footnote","PCOLocation_val","AwardDate_val","FirstDeliveryDate_val","Quantity_val","UnitCost_val","SpecsAvailableNow_val","FundingVehicle_val","ContractMethod_val","ContractType_val","RFPIssueDate_val","Remarks_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"2016","","DTRA","2016-05","2016-09","1.000","0.267","true","PO","","","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-f3f22a49c6b7a2551153d297ef0bc7973c4f80cc","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-50a0aa27526df8b154288c63e3835f3e0d0ca68f"
"2017","","DTRA","2017-07","2017-09","1.000","0.674","false","PO","","","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-1-4e400707da63ea77cdef5bc091ca4faa51b65037","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-50a0aa27526df8b154288c63e3835f3e0d0ca68f"
"2015","","DTRA","2015-05","2015-06","1.000","0.261","true","PO","","","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-2-c4f4b989ec30d0210b60a0b3c783871f1dfd980a","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-50a0aa27526df8b154288c63e3835f3e0d0ca68f"
"2017","","GD-AIS (Fairfax, VA)","2017-01","2017-08","1.000","2.479","false","PO","","","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-81160ba613f1a406cae4f18a8069fe2f6c572fc0","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-9638f64697f7d257a635262c2657a0f92a84bf12"
"2015","","GD-AIS (Fairfax, VA)","2015-05","2015-09","1.000","1.989","true","PO","","","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-1-9d09e8b1498600fdcc239d392598be62ee253a00","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-9638f64697f7d257a635262c2657a0f92a84bf12"
"2016","","GD-AIS (Fairfax, VA)","2016-01","2016-09","1.000","1.857","true","PO","","","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-2-f0098def2ca9ecccb4df6abff078528ea6f5728a","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-9638f64697f7d257a635262c2657a0f92a84bf12"
"2017","","DTRA","2017-07","2017-09","1.000","0.517","false","","C","Various","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-b359bf07256e7e5ea388ba4a21d5593fef77bda2","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-566bb9b9a19d82fbefba07851144fe6ae4a5d0f7"
"2016","","DTRA","2016-04","2016-06","1.000","0.509","true","","C","Various","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-2ed0e70d45a6f7059febf8b8f49664747653eb67","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-a9318ca50aa8dfa67e0f0150ab202f6e48317423"
"2015","","DTRA","2015-03","2015-05","1.000","0.500","true","","C","Various","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-1-e7162dc358f304f3edac94ee5c918b6647310ddb","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-a9318ca50aa8dfa67e0f0150ab202f6e48317423"
"2016","","DTRA","2016-06","2016-07","1.000","1.050","true","","C","Various","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-ad7dd047383a78425064f7029b125b00d68a6d09","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-1eeb30c95dca12c7d3ba3eb0b78970b4b06704ed"
"2015","","DTRA","2015-07","2015-09","1.000","0.943","true","","C","Various","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-1-2a3122c016e9c9621e8e42b79ea03f92925bae1d","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-1eeb30c95dca12c7d3ba3eb0b78970b4b06704ed"
"2017","","DTRA","2017-07","2017-12","1.000","1.069","false","","C","Various","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-223b6bc17566eac124a860cd2df9e6d626bc7eb8","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-7b035320da2a133eed12dc059e75afc74332de9e"
"2015","","DTRA","2015-07","2015-09","1.000","0.327","true","","C","FP","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-d65f80a0918d0c3ff3d0cb3aea2fd2255ea70afe","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-ff0485fd2f31483357bc719971df6f068e13f102"
"2015","","DTRA","2015-08","2015-09","1.000","1.793","true","","SS","FP","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-2d89226b2ba78a22cf8d1229b66a197225639797","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-10cc3e4be0f07bee70cc46c6c9b35c2ff2da4e28"
"2015","","DTRA","2015-08","2015-09","1.000","1.771","true","","C","FP","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-598f67052cc6fcb42f13e1b4b4a95f7799a29bce","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-6cc014c43927681b1ca6df7e6cac01662f0e1677"
"2015","","DTRA","2015-07","2015-09","1.000","0.055","true","","C","FP","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-7288fcfd688b5a0ffe95345f04d2ba77df9480dc","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-2c139932bb3a0d12090ea5bba3ff12876d64230d"
"2017","","DTRA","2017-05","2017-07","1.000","1.698","false","Various","","","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-f1e71c9a72cbc77574ce0ef1345c501d7712080d","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-fe57fc6e16c08131e7788e682b0f00ca9dac667d"
"2016","","DTRA","2016-08","2016-09","1.000","0.750","true","","C","Various","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-039caa7e8b4ba784c99b7cc0e5e74be5b7c58586","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-027910eefb2bf0f6bb6d6e9af6f1f861f9bbfbfb"
"2016","","DTRA","2016-05","2016-09","1.000","1.041","false","","C","Various","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-75ee9848fde5eb005694280c8199e05ec550f715","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-557bc00d0e88ffdd96379a2b068e757bb5d9c696"
"2012","Reference footnote (10)","AFSPC/SMC","2011-10","2011-11","1","8.545","true","","C","CPAF","","","030b7669f6b3e36b6ec47ad2ea4fca69fafde260-0-bffd6aa46b093ee47e2c1cfbfe0c62ed3f9d629a","030b7669f6b3e36b6ec47ad2ea4fca69fafde260","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","030b7669f6b3e36b6ec47ad2ea4fca69fafde260-0-e074ed8238cc63cb6790e1273ad2a6aa3c4eba32"
"2013","Reference footnote (10)","AFSPC/SMC","2012-10","2012-11","1","6.905","true","","C","CPAF","","","030b7669f6b3e36b6ec47ad2ea4fca69fafde260-1-3d803169e2d5c70cc4fba9dc2fcf74e98f813dd5","030b7669f6b3e36b6ec47ad2ea4fca69fafde260","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","030b7669f6b3e36b6ec47ad2ea4fca69fafde260-0-e074ed8238cc63cb6790e1273ad2a6aa3c4eba32"
"2014","Reference footnote (12)","AFSPC/SMC","2014-01","2014-02","1","8.180","true","","C","FPIF","2013-03","","030b7669f6b3e36b6ec47ad2ea4fca69fafde260-0-b3496f5c777fe6feeae5e75eb4043ea8d2242384","030b7669f6b3e36b6ec47ad2ea4fca69fafde260","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","030b7669f6b3e36b6ec47ad2ea4fca69fafde260-1-62f997c4bb393dc3b8fa2e546e07f78b6ba8b26b"
"2012","","DTRA","2012-04","2012-05","4","0.089","false","PO","","","","","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-95e03129d14db3ca1b5a3eb0fe300dae4ec2963c","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-3d9f2376bc09b8edf4384c6d98d9a9c37dc26484"
"2013","","DTRA","2013-04","2013-05","4","0.089","false","PO","","","","","22fbfba3006f3424a4d8436320a36bedf4eb643c-1-840f9f589c90fa06ca342dd08d785100e14c0c2e","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-3d9f2376bc09b8edf4384c6d98d9a9c37dc26484"
"2014","","DTRA","2014-05","2014-07","1","0.684","false","PO","","","","","22fbfba3006f3424a4d8436320a36bedf4eb643c-2-8cbd794ababda3b78cd9c5e9714fde16b465d841","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-3d9f2376bc09b8edf4384c6d98d9a9c37dc26484"
"2012","","DTRA","2012-06","2012-08","1","0.100","false","","C","Various","","","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-5e5b621e7da804de0d9da0a4113af5143ff95d0c","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-7cf125afe9d4cc2fc5f28ce461b17df63cddf78b"
"2014","","Various/Various","2014-06","2014-08","1","1.934","false","PO","","","","","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-4eea013a72a6d51e212727ac447d5b802c995af8","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-8ea0a3daf1d86a98cfa3d32ea345f3a3445df3ad"
"2014","","DTRA","2014-03","2014-05","1","3.326","false","","C","Various","","","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-58a7a9f14f4024f3022e85575f01255365c18362","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-24c34fb67671e6f65437978b6579d3a23af93920"
"2012","","DTRA","2011-12","2012-01","1","2.779","false","","C","Various","","","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-f3d0a3bdaf96f7999011b1da8520257fbb83c9dd","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-7c076480f8a405249d0e74a1251ca2293c789a36"
"2012","","DTRA","2012-02","2012-03","1","4.471","false","","C","Various","","","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-3c901ce514bc85229f83b8c210b6e9af54b319f1","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-da675287ac6cf4d84f9ea003571e7608c2fadd2d"
"2013","","DTRA","2013-08","2013-09","1","0.106","false","","C","Various","","","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-259ad5217d0a0581217ff0953f958e9367135706","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-768c6230ba5784fc615e290da3004ac97cabd868"
"2012","","DTRA","2012-08","2012-09","1","0.107","false","","C","Various","","","22fbfba3006f3424a4d8436320a36bedf4eb643c-1-d33080633d1a372fb501cd2203dc92bd97b57525","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-768c6230ba5784fc615e290da3004ac97cabd868"
"2012","","DTRA","2012-01","2012-02","1","2.538","false","","C","Various","","","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-df72a8a2ae561be415c40bcc9005227683e7b126","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-1fc758d4c2f4bc338733da1b54fe894dfff357df"
"2012","","DTRA","2012-06","2012-07","1","0.210","false","","C","Various","","","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-e4c88ac6ef5a04e83f6743dc508d0f57a1700773","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-e80771010d0ace3010e3349eb4b838f660613414"
"2013","","DTRA","2013-06","2013-07","1","0.424","false","","C","Various","","","22fbfba3006f3424a4d8436320a36bedf4eb643c-1-f2294d458a1bd86b7a2c7f5b6762614475d1c0e7","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-e80771010d0ace3010e3349eb4b838f660613414"
"2014","","DTRA","2014-06","2014-07","1","0.564","false","","C","Various","","","22fbfba3006f3424a4d8436320a36bedf4eb643c-2-c22ed340655dce2299755c9235709c603a78f68c","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-e80771010d0ace3010e3349eb4b838f660613414"
"2012","","DTRA","2012-06","2012-07","1","0.123","false","","C","Various","","","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-d1b18f6c6601f4b1cc3e57568b9abe6d4fd0bd3e","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-d053fe8d8e764d03967556299af5953ff9be5de4"
"2012","","DTRA","2012-09","2012-10","1","1.550","false","","C","Various","","","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-7ac44e1fb05e93cd61cac261fa68f2ee65cd0808","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-ca5b8cfca7a946670c8036fc675161ce7d183f33"
"2013","","DTRA","2013-03","2013-05","1","2.110","false","","C","Various","","","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-e3b4dcc509bf099d5ac4171941d4fd1e9cdd38c9","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-aadbaf58a4af8249ec5ed25696bc7d4c63dd5ba4"
"2014","","DTRA","2014-02","2014-04","1","3.119","false","","C","Various","","","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-e9521326918caafb73ebe12a33d6b9fe4ae24524","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-daf1968ae8f20e20f8c4ab3b8b13145ba38a0afd"
"2013","","DTRA","2013-01","2013-03","1","3.872","false","","C","Various","","","22fbfba3006f3424a4d8436320a36bedf4eb643c-1-f8b93e01c7e72fa5f329c87e07202b0159a551bc","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-daf1968ae8f20e20f8c4ab3b8b13145ba38a0afd"
"2012","","DTRA","2013-06","2013-08","1","0.571","false","","C","Various","","","22fbfba3006f3424a4d8436320a36bedf4eb643c-2-b54d55e0db923c6413eee2b8799aa29016432099","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-daf1968ae8f20e20f8c4ab3b8b13145ba38a0afd"
