"Name_val","Location_val","HistoryPlanningList_HistoryPlanning","MinimumSustainingRate_val","MaximumProductionRate_val","Rate185_val","InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val","InitialQuantity_AdminLeadTimeAfterOct1InMonths_val","InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val","InitialQuantity_TotalLeadTimeAfterOct1InMonths_val","ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val","ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val","ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val","ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Various","Various","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-4c6be9b0d54e80c454b13fa141566753292bf4de","","","","","","","","","","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-50a0aa27526df8b154288c63e3835f3e0d0ca68f","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-6683f43497e8de4eb11efb644ce662afea4219e9"
"Various","Various","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-ef3d520f1ddb66ff20106ed780ba985a754f8c6e","","","","","","","","","","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-9638f64697f7d257a635262c2657a0f92a84bf12","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement","94b01fd8332e4c8aa69a0b500d1932723638fdcb-1-a2c7a0a3f5469599489f6ac401d508c5d84ed693"
"Various","Various","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-9c17dc0dfabc264fe699304f599bdf937b39c24e","","","","","","","","","","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-566bb9b9a19d82fbefba07851144fe6ae4a5d0f7","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement","94b01fd8332e4c8aa69a0b500d1932723638fdcb-2-8c1e0adda06dfec12ce3682a5b3558839cd232e7"
"Various","Various","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-b845f2fba6d8907ea8d4811805130fd386981f4d","","","","","","","","","","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-a9318ca50aa8dfa67e0f0150ab202f6e48317423","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-f79806a743ea622144952cb3ce1f0beff6f1232e"
"Various","Various","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-fd41e18d18f2dca98f2d63a825e609aa96b3668a","","","","","","","","","","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-1eeb30c95dca12c7d3ba3eb0b78970b4b06704ed","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-376abadde0f6c1bbbe6c7e63ffff019bab481ff4"
"Various","Various","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-bd922fd1dc3e8685ef1fdff13f64b744872ab031","","","","","","","","","","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-7b035320da2a133eed12dc059e75afc74332de9e","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement","94b01fd8332e4c8aa69a0b500d1932723638fdcb-19-6d04cff20979d4cd428d06fd93813e792a8cf5c9"
"Sterling Computers","Dakota Dunes, SD","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-6f92906b016f601b1b13180a182f5522a15e52ae","","","","","","","","","","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-ff0485fd2f31483357bc719971df6f068e13f102","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement","94b01fd8332e4c8aa69a0b500d1932723638fdcb-20-adf1b31638c61e77716caeaff8970e62a7f55e7a"
"Lockheed Martin","Bethesda, MD","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-7a85f7be1d8480aab5ab5a506bac2671c56a819c","","","","","","","","","","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-10cc3e4be0f07bee70cc46c6c9b35c2ff2da4e28","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement","94b01fd8332e4c8aa69a0b500d1932723638fdcb-21-54973f2e442072a30f0b3d0de7ab7177ba8e399b"
"SMS Data Product Group, INC.","McLean, VA","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-9cc772e0a6636c28148ad33f5be5ed8886c2a5a5","","","","","","","","","","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-6cc014c43927681b1ca6df7e6cac01662f0e1677","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement","94b01fd8332e4c8aa69a0b500d1932723638fdcb-22-66850051d62ce6e7b995cbe817b1f0cb11935cb9"
"Thermopylae Sciences & Technology, LLC","Arlington, VA","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-a231e24d672a99ce2a8b8674d9e688cb535cc5a6","","","","","","","","","","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-2c139932bb3a0d12090ea5bba3ff12876d64230d","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement","94b01fd8332e4c8aa69a0b500d1932723638fdcb-23-6cd59ab2a2ee66085dfa17cca8b9ebd31eb44f8e"
