"Name_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_Total_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_Continuing_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_AllPriorYears_val","Cost_UnitCost_PriorYear_val","Cost_UnitCost_CurrentYear_val","Cost_UnitCost_BudgetYearOneBase_val","Cost_UnitCost_BudgetYearOne_val","Cost_UnitCost_BudgetYearTwo_val","Cost_UnitCost_BudgetYearThree_val","Cost_UnitCost_BudgetYearFour_val","Cost_UnitCost_BudgetYearFive_val","Cost_UnitCost_AllPriorYears_val","Cost_AllPriorYears_TotalCost_val","Cost_AllPriorYears_UnitCost_val","Cost_AllPriorYears_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_PriorYear_UnitCost_val","Cost_PriorYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_CurrentYear_UnitCost_val","Cost_CurrentYear_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneBase_UnitCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearOne_UnitCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_TotalCost_val","Cost_ToComplete_TotalCost_val","Cost_ToComplete_UnitCost_val","Cost_ToComplete_Quantity_val","Cost_Total_TotalCost_val","Cost_Total_Quantity_val","Cost_Total_UnitCost_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOneOCO_UnitCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearFive_TotalCost_val","ManufacturerList_Manufacturer","IdCode_val","AllPriorYearsDeliveries_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Logistics Services","68.102","3.859","4.679","1.02","1.25","2.27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","190ddc35f26bc897b70bf5f0bed46c8eaa825c18-0-9e87a1eeeb67afde3e7bff2830adcaa2991ae719","190ddc35f26bc897b70bf5f0bed46c8eaa825c18","root.record.ItemExhibitList.P5Item","190ddc35f26bc897b70bf5f0bed46c8eaa825c18-0-e9eb1246e78154b5d1fe46c712ed26272f7a819f"
"Production Support","","3.946","0.083","0.084","","0.084","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20dd39857bc423994c22ffc6fee2cc724c64bc48-0-4851097843ff0a5e9bffcd830047c93ae0020a53","20dd39857bc423994c22ffc6fee2cc724c64bc48","root.record.ItemExhibitList.P5Item","20dd39857bc423994c22ffc6fee2cc724c64bc48-0-8e4370bea98abddf285e33cbffcdcef9bd9abca0"
"Government Support","","0.29","0.384","0.441","","0.441","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20dd39857bc423994c22ffc6fee2cc724c64bc48-1-9cbf8f5bb89a0cf35ac18a9750e2e41c00f5913d","20dd39857bc423994c22ffc6fee2cc724c64bc48","root.record.ItemExhibitList.P5Item","20dd39857bc423994c22ffc6fee2cc724c64bc48-0-8e4370bea98abddf285e33cbffcdcef9bd9abca0"
"Support Equipment","","2.8","0.5","0.25","","0.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20dd39857bc423994c22ffc6fee2cc724c64bc48-0-ad167d554b44cd66049edfb47cde2ea1a80e0293","20dd39857bc423994c22ffc6fee2cc724c64bc48","root.record.ItemExhibitList.P5Item","20dd39857bc423994c22ffc6fee2cc724c64bc48-1-8d3563740ed0cbf2d444067751ec589c2fb4ffa7"
"Depot Support","","1.223","1.247","1.399","","1.399","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42d190620d15d0c0b4dcd22eb9710643108888bc-0-f2377c66cadde317ed8a6c72b85114d31cfd6df8","42d190620d15d0c0b4dcd22eb9710643108888bc","root.record.ItemExhibitList.P5Item","42d190620d15d0c0b4dcd22eb9710643108888bc-1-69bbe641a75b51d04f25b48cbb2575f0f2881f6e"
"Integrated Logistics Support (ILS)","1.777","0.145","0.148","0.05","","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","438890286c4c2ffc1bfb138a2ef793df1396bab0-0-cf86f0a096c7720d6bd165f52cc524d12b185669","438890286c4c2ffc1bfb138a2ef793df1396bab0","root.record.ItemExhibitList.P5Item","438890286c4c2ffc1bfb138a2ef793df1396bab0-0-2f7951489bb401b328d7cc27a7324050a8edf6b5"
"DASR Site Activation","46.337","0","0","0","","0","0","0","0","0","46.337","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4db4ed055d4807906324121a0154d02a679d9bae-0-9735acb84c425ac20e0cf221dce949f22ed44a72","4db4ed055d4807906324121a0154d02a679d9bae","root.record.ItemExhibitList.P5Item","4db4ed055d4807906324121a0154d02a679d9bae-0-1f8e7fa22ae7ae0072a8a587f0d8d07396d195ef"
"Logistics Support","0.073","","2.662","2.716","","2.716","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5fdb6bd0fba5a55600d25047eb2263a24d46e8a7-0-347ac5693d43f8695d578a165925f13a0e6c0f12","5fdb6bd0fba5a55600d25047eb2263a24d46e8a7","root.record.ItemExhibitList.P5Item","5fdb6bd0fba5a55600d25047eb2263a24d46e8a7-0-60b701bf924a10470524c72e5e98f2fb87fee84a"
"TECHNICAL DATA","0.06","0","0","0","","0","0","0","0","0","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6a09ede4f2deb21911da8c0694a83987a54d9b6a-0-fde3832c064404d7fab42273cf85c4f39c2622b7","6a09ede4f2deb21911da8c0694a83987a54d9b6a","root.record.ItemExhibitList.P5Item","6a09ede4f2deb21911da8c0694a83987a54d9b6a-0-6eeab53181a5e40d16dda79068c600a984fae9db"
"EWPMT New Equipment Training (NET)","","","0.614","0.626","","0.626","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6e1609a1b7258e5615ed880c291fb056ee4da39f-0-57221747c7b61c2c3591899813d47813eff625b0","6e1609a1b7258e5615ed880c291fb056ee4da39f","root.record.ItemExhibitList.P5Item","6e1609a1b7258e5615ed880c291fb056ee4da39f-0-60742350ea2629e04943d6cd12d3f7db9b830f80"
