"Name_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_PriorYear_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_AllPriorYears_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_Continuing_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_UnitCost_BudgetYearOneBase_val","Cost_UnitCost_BudgetYearOne_val","Cost_UnitCost_BudgetYearThree_val","Cost_UnitCost_BudgetYearTwo_val","Cost_UnitCost_CurrentYear_val","Cost_UnitCost_PriorYear_val","Cost_UnitCost_BudgetYearFour_val","Cost_UnitCost_BudgetYearFive_val","Cost_UnitCost_AllPriorYears_val","Cost_AllPriorYears_TotalCost_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearOneOCO_TotalCost_val","IdCode_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Radiological Detection System","20","20","142","","","","","","","0.3","0.3","1.705","true","","","","","","","0.015","0.015","0.012","","","","","","","","","","","","","","43abd7d2317a7e30efa9430d48c07e79cc1780e8-0-00f23a807b6e76e464f8a472af4d951e2076c749","43abd7d2317a7e30efa9430d48c07e79cc1780e8","root.record.ItemExhibitList.P5Item","43abd7d2317a7e30efa9430d48c07e79cc1780e8-4-47f28fe0e4a96c21d2786a7b273c2b535ba517be"
"Joint Personal Dosimeter","614","614","","770","","","","","","1.227","1.227","","true","1.54","","","","","","0.002","0.002","","0.002","","","","","","","","","","","","","43abd7d2317a7e30efa9430d48c07e79cc1780e8-1-59a2ec2580a995e19a8bc40f5a53cf6db107523e","43abd7d2317a7e30efa9430d48c07e79cc1780e8","root.record.ItemExhibitList.P5Item","43abd7d2317a7e30efa9430d48c07e79cc1780e8-4-47f28fe0e4a96c21d2786a7b273c2b535ba517be"
"DISCREET OCULUS","","","","","1","","","","","","","","true","","4.34","","","","","","","","","4.34","","","","","","","","","","","","43abd7d2317a7e30efa9430d48c07e79cc1780e8-2-972628a338a4007ec837154951d03aa42a4b3d41","43abd7d2317a7e30efa9430d48c07e79cc1780e8","root.record.ItemExhibitList.P5Item","43abd7d2317a7e30efa9430d48c07e79cc1780e8-4-47f28fe0e4a96c21d2786a7b273c2b535ba517be"
"Harvester Particulate Airborne Collection System","","","","","1","","","","","","","","true","","1.573","","","","","","","","","1.573","","","","","","","","","","","","43abd7d2317a7e30efa9430d48c07e79cc1780e8-3-c8232d03b05fd9d2c74c32954de1e3d742f843f9","43abd7d2317a7e30efa9430d48c07e79cc1780e8","root.record.ItemExhibitList.P5Item","43abd7d2317a7e30efa9430d48c07e79cc1780e8-4-47f28fe0e4a96c21d2786a7b273c2b535ba517be"
"Modular Whole Air Collection System","","","","","1","","","","","","","","true","","0.96","","","","","","","","","0.96","","","","","","","","","","","","43abd7d2317a7e30efa9430d48c07e79cc1780e8-4-515955d98ce095106108f8bd71834963f6381421","43abd7d2317a7e30efa9430d48c07e79cc1780e8","root.record.ItemExhibitList.P5Item","43abd7d2317a7e30efa9430d48c07e79cc1780e8-4-47f28fe0e4a96c21d2786a7b273c2b535ba517be"
"SOCOM Underwater Monitor","","","","","1","","","","","","","","true","","1.437","","","","","","","","","1.437","","","","","","","","","","","","43abd7d2317a7e30efa9430d48c07e79cc1780e8-5-afa306c354e412d4cad06b8ce190adbc64ab59b0","43abd7d2317a7e30efa9430d48c07e79cc1780e8","root.record.ItemExhibitList.P5Item","43abd7d2317a7e30efa9430d48c07e79cc1780e8-4-47f28fe0e4a96c21d2786a7b273c2b535ba517be"
"8. Integrated Logistics Support (ILS)","","","","","","","","","","0.155","0.155","","","","0.15","0.197","0.174","","","","","","","","","","","","","","","","","","","502637844224dcfc674ba80b04ec1885d4e6e267-0-3135a2686a2bc5aea6268f50d032822667774bc4","502637844224dcfc674ba80b04ec1885d4e6e267","root.record.ItemExhibitList.P5Item","502637844224dcfc674ba80b04ec1885d4e6e267-0-2e52ee0c8cefe21d2324caf7b7e7b3c612616df9"
"Initial Spares","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.55","0.101","0.259","0.06","0.06","","","38cc8193cb6ed1f57d201b47fc690c0e389ba3e4-0-31c1077dec88ab84c43917f9a1641e0282a75e18","38cc8193cb6ed1f57d201b47fc690c0e389ba3e4","root.record.ItemExhibitList.P5Item","38cc8193cb6ed1f57d201b47fc690c0e389ba3e4-0-f912448e3bde7f458503d792dbe2121ea84bf096"
"Initial Spares","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.095","0.558","0.023","0.056","0.056","","","8ccc2438aadb7e3d290b3ce1462af1428e5d3e13-0-edf076a09e2d84a2a79c41ca7873772432dbcb17","8ccc2438aadb7e3d290b3ce1462af1428e5d3e13","root.record.ItemExhibitList.P5Item","8ccc2438aadb7e3d290b3ce1462af1428e5d3e13-0-b769300530239699df3dde740d3981ed78a51021"
"Site Setup (PACAF)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.39","","","","","A","921b2f4e03a40978b22d99594171f0829070899e-0-3bc98920dc762120a11bab052821c147f28169a5","921b2f4e03a40978b22d99594171f0829070899e","root.record.ItemExhibitList.P5Item","921b2f4e03a40978b22d99594171f0829070899e-2-19aa1b9a69158670b1248350b28f2d97b1097f1f"
