"FiscalYear_val","PCOLocation_val","AwardDate_val","FirstDeliveryDate_val","Quantity_val","UnitCost_val","SpecsAvailableNow_val","RevisionsAvailableDate_val","FundingVehicle_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ServiceAgencyName_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ProcQuantity_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_MonthlyDeliveryList_MonthlyDelivery","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_AcceptedBeforeOct1_val","MonthlyDeliveryScheduleTotal_ProcQuantity_val","MonthlyDeliveryScheduleTotal_MonthlyDeliveryList_MonthlyDelivery","ContractMethod_val","ContractType_val","RFPIssueDate_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"2016","AFLCMC Hanscom AFB","2016-07","2016-10","1","10.936","false","2015-10","TBD","Air Force","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-0faaa1254233ac6b3d5a2b5618cb6c33a8b2ab7a-0-1925e515739365d2011e948849442b7fe9eaef90","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-0faaa1254233ac6b3d5a2b5618cb6c33a8b2ab7a-0-9e2bda64b5a23410c104441d7fe13cf61e75779f","","","","0faaa1254233ac6b3d5a2b5618cb6c33a8b2ab7a-0-a0419cee3b39ce4f85a703ff0cba294f22347113","0faaa1254233ac6b3d5a2b5618cb6c33a8b2ab7a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","0faaa1254233ac6b3d5a2b5618cb6c33a8b2ab7a-0-0992938249256b0ddb4c723b80d5e4797ff02f7a"
"2017","AFLCMC Hanscom AFB","2016-10","2017-02","2","11.222","false","2015-10","TBD","Air Force","2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-0faaa1254233ac6b3d5a2b5618cb6c33a8b2ab7a-1-c22077bdb82142ba6adec37f2581d0325d3e9cb9","","2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-0faaa1254233ac6b3d5a2b5618cb6c33a8b2ab7a-1-fa0e4f9ec5aa770c4778c728f78e55af812bd9d9","","","","0faaa1254233ac6b3d5a2b5618cb6c33a8b2ab7a-1-3afee4fcbcf39d2724281b1f64d0e559a4ec60af","0faaa1254233ac6b3d5a2b5618cb6c33a8b2ab7a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","0faaa1254233ac6b3d5a2b5618cb6c33a8b2ab7a-0-0992938249256b0ddb4c723b80d5e4797ff02f7a"
"2018","AFLCMC Hanscom AFB","2017-10","2018-02","3","2.937","false","2015-10","TBD","Air Force","3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-0faaa1254233ac6b3d5a2b5618cb6c33a8b2ab7a-2-6a5d19489728e2f5c138a76433a24dbe3c5b6d2e","","3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-0faaa1254233ac6b3d5a2b5618cb6c33a8b2ab7a-2-ef89e40993077610a914f7dd7877e770987cd8a4","","","","0faaa1254233ac6b3d5a2b5618cb6c33a8b2ab7a-2-c8646aca17b8eec877fb14cb47cb9c1174ae5c44","0faaa1254233ac6b3d5a2b5618cb6c33a8b2ab7a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","0faaa1254233ac6b3d5a2b5618cb6c33a8b2ab7a-0-0992938249256b0ddb4c723b80d5e4797ff02f7a"
"2017","ACC-NJ","2017-03","2017-11","1","4214.000","","","","","","","","","","C","CPIF","","a0168a46a172c79087f20b50c38a571e5621523e-0-39963073969c592572db576ed04438ddfa3179b7","a0168a46a172c79087f20b50c38a571e5621523e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","a0168a46a172c79087f20b50c38a571e5621523e-0-5a48328b09fa53ac3a2a9de3f5d83ec74926487b"
"2013","AFMC/ESC","2013-08","2014-05","4","0.795","true","","","Air Force","4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-c0658daa8a1dee7b2e39bd879ada6f6ecc8bcb45-0-a496e754f035c06dba8ef1cdc6c0b7bd05fc0fe9","0","","","C","BA","2013-03","c0658daa8a1dee7b2e39bd879ada6f6ecc8bcb45-0-8a9a46646c34193ac42d127fa8a32b49e3741461","c0658daa8a1dee7b2e39bd879ada6f6ecc8bcb45","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","c0658daa8a1dee7b2e39bd879ada6f6ecc8bcb45-0-604b46d30e2e11d279cd5f5cdf4e9e8cf6ac16bb"
"2014","AFMC/ESC","2014-08","2015-03","17","0.271","true","","","","","","","","","C","BA","2014-05","c0658daa8a1dee7b2e39bd879ada6f6ecc8bcb45-1-c11263f712897a2929b1747beba4c6dd9c617916","c0658daa8a1dee7b2e39bd879ada6f6ecc8bcb45","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","c0658daa8a1dee7b2e39bd879ada6f6ecc8bcb45-0-604b46d30e2e11d279cd5f5cdf4e9e8cf6ac16bb"
"2015","AFMC/ESC","2015-08","2016-03","17","0.271","true","","","","","","","","","C","BA","2014-03","c0658daa8a1dee7b2e39bd879ada6f6ecc8bcb45-2-d2b28ba37a51b7b56ebecb0de80b0ee16b8099fa","c0658daa8a1dee7b2e39bd879ada6f6ecc8bcb45","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","c0658daa8a1dee7b2e39bd879ada6f6ecc8bcb45-0-604b46d30e2e11d279cd5f5cdf4e9e8cf6ac16bb"
"2012","AFMC/ESC","2013-05","2013-07","30","0.481","true","","","","","","","","","C","BA","2013-03","c0658daa8a1dee7b2e39bd879ada6f6ecc8bcb45-0-9629388ff9f585caaef33b69461811d83346161d","c0658daa8a1dee7b2e39bd879ada6f6ecc8bcb45","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","c0658daa8a1dee7b2e39bd879ada6f6ecc8bcb45-0-318723281025a42b19fa1ce7460aebdea7449bcd"
"2013","AFMC/ESC","2013-07","2014-04","152","0.213","true","","","","","","","","","C","BA","2013-03","c0658daa8a1dee7b2e39bd879ada6f6ecc8bcb45-1-d3d241bd74e601eaccf8b6d1c55ef7b797be526b","c0658daa8a1dee7b2e39bd879ada6f6ecc8bcb45","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","c0658daa8a1dee7b2e39bd879ada6f6ecc8bcb45-0-318723281025a42b19fa1ce7460aebdea7449bcd"
"2018","AFMC/ESC","2018-03","2018-11","67","0.222","true","","","","","","","","","C","BA","2018-01","c0658daa8a1dee7b2e39bd879ada6f6ecc8bcb45-2-390d4baee34eb8f445236907ffa3c6716b2b28a0","c0658daa8a1dee7b2e39bd879ada6f6ecc8bcb45","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","c0658daa8a1dee7b2e39bd879ada6f6ecc8bcb45-0-318723281025a42b19fa1ce7460aebdea7449bcd"
