"Name_val","Location_val","MinimumSustainingRate_val","MaximumProductionRate_val","Rate185_val","InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val","InitialQuantity_AdminLeadTimeAfterOct1InMonths_val","InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val","InitialQuantity_TotalLeadTimeAfterOct1InMonths_val","ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val","ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val","ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val","ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val","HistoryPlanningList_HistoryPlanning","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"TBD","Various","1.00","6.00","4.00","0","0","0","0","0","1","4","5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0faaa1254233ac6b3d5a2b5618cb6c33a8b2ab7a-0-9d47dab16cbcc7afecbc87cada4b6868a977e0cb","0faaa1254233ac6b3d5a2b5618cb6c33a8b2ab7a-0-0992938249256b0ddb4c723b80d5e4797ff02f7a","0faaa1254233ac6b3d5a2b5618cb6c33a8b2ab7a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement","0faaa1254233ac6b3d5a2b5618cb6c33a8b2ab7a-0-81d2b09a7eb96e9b41a74bb2ab3302ea9dd6fd33"
"TBS","TBS","","","","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-a0168a46a172c79087f20b50c38a571e5621523e-0-40d35980b27b1f18cf6a4caa686a65aa2d2656fb","a0168a46a172c79087f20b50c38a571e5621523e-0-5a48328b09fa53ac3a2a9de3f5d83ec74926487b","a0168a46a172c79087f20b50c38a571e5621523e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement","a0168a46a172c79087f20b50c38a571e5621523e-0-5078cd313dd8e7edf99f518502852bcce373edf7"
"NETCENTS","Various","0.00","0.00","0.00","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-c0658daa8a1dee7b2e39bd879ada6f6ecc8bcb45-0-1886d6988ca8065a4218b2f560fa6302763e60e2","c0658daa8a1dee7b2e39bd879ada6f6ecc8bcb45-0-604b46d30e2e11d279cd5f5cdf4e9e8cf6ac16bb","c0658daa8a1dee7b2e39bd879ada6f6ecc8bcb45","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement","c0658daa8a1dee7b2e39bd879ada6f6ecc8bcb45-0-e33264ce93f7c3075c3d5fc2e4ec0a8868b3337c"
"NETCENTS","Various","0.00","0.00","0.00","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-c0658daa8a1dee7b2e39bd879ada6f6ecc8bcb45-0-cf92f1a89f268f9f2291f74b48c1bf09867c2d73","c0658daa8a1dee7b2e39bd879ada6f6ecc8bcb45-0-318723281025a42b19fa1ce7460aebdea7449bcd","c0658daa8a1dee7b2e39bd879ada6f6ecc8bcb45","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement","c0658daa8a1dee7b2e39bd879ada6f6ecc8bcb45-0-90b54bbbb2051c2bab7f7cd2b41be47ba428dcaf"
"NETCENTS","Various","0.00","0.00","0.00","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-c0658daa8a1dee7b2e39bd879ada6f6ecc8bcb45-0-09b71bfb9659007f8927ae7777dd355aaf9bedcd","c0658daa8a1dee7b2e39bd879ada6f6ecc8bcb45-0-fa5c9923c949f43054f5903046f87872566ac2e3","c0658daa8a1dee7b2e39bd879ada6f6ecc8bcb45","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement","c0658daa8a1dee7b2e39bd879ada6f6ecc8bcb45-0-6d62679ccedb8e013bd719afa9fa22d2ac780d62"
"NETCENTS","Various","0.00","0.00","0.00","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-c0658daa8a1dee7b2e39bd879ada6f6ecc8bcb45-0-30cd204857556a4661d136a1ad749f114995d702","c0658daa8a1dee7b2e39bd879ada6f6ecc8bcb45-0-3f05022c0143b6c1b2c64fa337262b39d9fa854e","c0658daa8a1dee7b2e39bd879ada6f6ecc8bcb45","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement","c0658daa8a1dee7b2e39bd879ada6f6ecc8bcb45-0-5e544557f48e1906d6f06ab56fc254b44ed228bd"
"NETCENTS","Various","0.00","0.00","0.00","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-c0658daa8a1dee7b2e39bd879ada6f6ecc8bcb45-0-2fe992014c366f2065af28c50786012dfdae2a32","c0658daa8a1dee7b2e39bd879ada6f6ecc8bcb45-0-de432eea95be016d8c9e0acd04f9ed284f2e9b8e","c0658daa8a1dee7b2e39bd879ada6f6ecc8bcb45","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement","c0658daa8a1dee7b2e39bd879ada6f6ecc8bcb45-0-3b4a7dc012f545f079e202b9b3959c44a0b4a494"
"TBS","TBS","","","","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-27efb633d44db50d353aed406380ba540150a17b-0-94f7f56c980c8ba7509847f975022d1be8788e57","27efb633d44db50d353aed406380ba540150a17b-0-c256f451856cf3c0b3dbebb848b092d33b5efcc8","27efb633d44db50d353aed406380ba540150a17b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement","27efb633d44db50d353aed406380ba540150a17b-0-14ccf95eafb75f158d5ab568f8405688e95b92dc"
"TBD","N/A","0.00","0.00","0.00","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0cfa9e80d60981f3bddf6ffe7cfb8279d6635151-0-b53b392e7a31d8ee91aba3bcdc288dbdc69baa43","0cfa9e80d60981f3bddf6ffe7cfb8279d6635151-0-62b48fad3e04d6f3e0c5789b15b683edd3260db3","0cfa9e80d60981f3bddf6ffe7cfb8279d6635151","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement","0cfa9e80d60981f3bddf6ffe7cfb8279d6635151-0-d70d8341c15697fea88cb149565b516dbd356be1"
"TBD","N/A","0.00","0.00","0.00","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0cfa9e80d60981f3bddf6ffe7cfb8279d6635151-0-4f55e4473ececef489dc240b2668f82e0e105316","0cfa9e80d60981f3bddf6ffe7cfb8279d6635151-0-1c43c5d3d1cde855b6874ecfe287c312d7577259","0cfa9e80d60981f3bddf6ffe7cfb8279d6635151","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement","0cfa9e80d60981f3bddf6ffe7cfb8279d6635151-1-93af275a343b493188be4aa415e6ab26a1af2972"
