"Name_val","Name_@footnote","Cost_Quantity_AllPriorYears_val","Cost_Quantity_Total_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_Total_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_UnitCost_AllPriorYears_val","Cost_UnitCost_Total_val","Cost_UnitCost_PriorYear_val","Cost_UnitCost_CurrentYear_val","Cost_UnitCost_BudgetYearOneBase_val","Cost_UnitCost_BudgetYearOne_val","Cost_UnitCost_BudgetYearOneOCO_val","Cost_AllPriorYears_UnitCost_val","Cost_AllPriorYears_Quantity_val","Cost_AllPriorYears_TotalCost_val","Cost_PriorYear_UnitCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_UnitCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_UnitCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOne_UnitCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_ToComplete_UnitCost_val","Cost_ToComplete_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_Total_UnitCost_val","Cost_Total_Quantity_val","Cost_Total_TotalCost_val","Cost_BudgetYearOneOCO_TotalCost_val","AllPriorYearsDeliveries_val","ManufacturerList_Manufacturer","IdCode_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"2.1 S2E2 Software","","4","4","","","","","","27.351","0","27.351","","","","","","6.838","6.838","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1c63816929dfc727b7833fbe3cf54c67b2a6a3ea-0-74888587d2a7ae3d5b3e6d86a38fec9b485be7df","1c63816929dfc727b7833fbe3cf54c67b2a6a3ea","root.record.ItemExhibitList.P5Item","1c63816929dfc727b7833fbe3cf54c67b2a6a3ea-1-8a269f8ed55a68cd1c4b01e98672173c8976d746"
"Logistics Technology Assessment (LTA) SW","","1","","1","1","1","1","","83.412","","","1.05","0.728","0.842","0.842","","83412","","1050","728","842","842","","","","","","","","","","","","","","","","","","","","","","","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-6f849759560e292ae5d1247b4513cdf075cd2cb5-0-a2229df27e84680aae58d704660172625628fb9b","","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-b1c8ae37ed0fbf3a9aa1a7adff3585129fb873b9","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item","6f849759560e292ae5d1247b4513cdf075cd2cb5-3-8641988a096344d750235d21975ad1d1e20e30c6"
"(HQDA ADPE) Software","","1","","1","1","1","1","","1.838","","","1.7","0.66","0.479","0.479","","1838","","1700","660","479","479","","","","","","","","","","","","","","","","","","","","","","","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-6f849759560e292ae5d1247b4513cdf075cd2cb5-0-e45abb956a6a6cd3ba5449ac21bb998dd684c4bf","","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-6f43e14a5da5287ba97537cfda7e30127ea0d4ad","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item","6f849759560e292ae5d1247b4513cdf075cd2cb5-4-98b95e2ce6a8f83caa910b18dcf104189211995c"
"(PITI) Software","","1","","1","1","","","","66.44","","","5.04","5","","","","66440","","5040","5000","","","","","","","","","","","","","","","","","","","","","","","","","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-6f849759560e292ae5d1247b4513cdf075cd2cb5-1-7cdd4def7bd70bf704367e4cfd2083b1b00a731d","","6f849759560e292ae5d1247b4513cdf075cd2cb5-1-2f4e7f9a39e855a5d2813a2a588c56a5f64367b3","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item","6f849759560e292ae5d1247b4513cdf075cd2cb5-4-98b95e2ce6a8f83caa910b18dcf104189211995c"
"(ACI) Army-wide Software","","1","","","","1","1","","42.374","","","","","6.605","6.605","","42374","","","","6605","6605","","","","","","","","","","","","","","","","","","","","","","","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-6f849759560e292ae5d1247b4513cdf075cd2cb5-0-6f2fba718eb4ae0f2c2f6da193574b762282d82a","","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-e452fe3dc6f918fee7656e1df37e05cfb14e5590","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item","6f849759560e292ae5d1247b4513cdf075cd2cb5-5-edea88575083547119208fc3090883f705f5f7b7"
"(BLSCE) Software","","1","","","","","","","0.523","","","","","","","","523","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-1-d948b232ccbe8f8c039789c7461e2d2e039723f8","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item","6f849759560e292ae5d1247b4513cdf075cd2cb5-5-edea88575083547119208fc3090883f705f5f7b7"
"(TIABCSTB) Software","","","","1","","","","","","","","0.434","","","","","","","434","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-6f849759560e292ae5d1247b4513cdf075cd2cb5-2-5adc2dba07f933614bb83693a84c2a6ea78b033b","","6f849759560e292ae5d1247b4513cdf075cd2cb5-2-5c7ddbd7c7aeb7fa9ad80babe87e65b8f6cb0866","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item","6f849759560e292ae5d1247b4513cdf075cd2cb5-5-edea88575083547119208fc3090883f705f5f7b7"
"(ATIA) Software","","1","","1","1","1","1","","0.119","","","0.049","0.151","0.147","0.147","","119","","49","151","147","147","","","","","","","","","","","","","","","","","","","","","","","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-6f849759560e292ae5d1247b4513cdf075cd2cb5-3-b1381431864ef0de432a6b96b3bcf90ddfb45e82","","6f849759560e292ae5d1247b4513cdf075cd2cb5-3-eb4febf70fc89c8fdbe02b216566463fdd0767b7","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item","6f849759560e292ae5d1247b4513cdf075cd2cb5-5-edea88575083547119208fc3090883f705f5f7b7"
"(SPS) Software","","1","","","","","","","0.804","","","","","","","","804","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-4-7b7e4aedc4d8a61b011a025eabb56a052ce437f8","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item","6f849759560e292ae5d1247b4513cdf075cd2cb5-5-edea88575083547119208fc3090883f705f5f7b7"
"(AcqBiz) Software","","1","","","","","","","0.71","","","","","","","","710","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-5-cbff00f7e37fb11ce886f4b5016729aecd0f7cc6","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item","6f849759560e292ae5d1247b4513cdf075cd2cb5-5-edea88575083547119208fc3090883f705f5f7b7"
