"Name_val","Name_@footnote","Location_val","InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val","InitialQuantity_AdminLeadTimeAfterOct1InMonths_val","InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val","InitialQuantity_TotalLeadTimeAfterOct1InMonths_val","ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val","ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val","ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val","ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val","HistoryPlanningList_HistoryPlanning","MinimumSustainingRate_val","MaximumProductionRate_val","Rate185_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"TBS","","TBS","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-6f849759560e292ae5d1247b4513cdf075cd2cb5-0-0bdeaa2e0358aabbe50425c8d6464a053bff943e","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-5cab6eb5e0192e0b86f09cc9314d0837a3f8611b","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-bed76d41e504281cb24a1a388169294048c610a5"
"CDW Government LLC","","Vernon Hills, IL","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-6f849759560e292ae5d1247b4513cdf075cd2cb5-0-fc79e2710f279e27e530a684a2a28f07fecf5d84","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-1a73cf9d9b676fed4d4a908e4395ddca628a18bf","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-a820ca93613d8bb4038470347853cb1573f85ce3"
"TBS","","TBS","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-6f849759560e292ae5d1247b4513cdf075cd2cb5-1-415b3af5e32fb4b56611bff3876a122bcde7f336","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-1-076e4c33c085ae44db760365818cc05d4b174d29","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-a820ca93613d8bb4038470347853cb1573f85ce3"
"SPAWAR","","Charleston, SC","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-7840686cb07df5e186811daa609df25dd32b67f0-0-2b9d73c4cd42fba9fb5947c43de60c4827d2919a","","","","7840686cb07df5e186811daa609df25dd32b67f0-0-3dd0151cf199b7989a9e1718676cd84978199d3f","7840686cb07df5e186811daa609df25dd32b67f0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement","7840686cb07df5e186811daa609df25dd32b67f0-3-32ffa59b20818725e1b4951fc89aacbb7837e5d6"
"SPAWAR","","Charleston, SC","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-7840686cb07df5e186811daa609df25dd32b67f0-0-e6dd764e99baa628e9e8425e463cca115dfe9390","","","","7840686cb07df5e186811daa609df25dd32b67f0-0-bf239f8f36b84e8ca0b6835bcf59e623f891e64c","7840686cb07df5e186811daa609df25dd32b67f0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement","7840686cb07df5e186811daa609df25dd32b67f0-5-ec8283145a7b842c082366b5606a35128750b1df"
"Multiple Sources","","Various","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-886f04e2ad4df52112b8d9283f21ce65f6edb2c0-0-0e1acfad75cab75298beba70bfa30c1341ed1278","","","","886f04e2ad4df52112b8d9283f21ce65f6edb2c0-0-489b65a78baf273afbfd05d9d3a4cd7d0de8bf43","886f04e2ad4df52112b8d9283f21ce65f6edb2c0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement","886f04e2ad4df52112b8d9283f21ce65f6edb2c0-0-3e3f9c4d1b6ef58c767ae62326a943b81ef29b06"
"BMC Software Distribution IncBMC Software Distribution Inc","Multiple manufacturers (Aeorprise, Scan Store, BMC, BMX, Avaya)","San Diego, CA","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-886f04e2ad4df52112b8d9283f21ce65f6edb2c0-0-941d6dfecd7bc008ae1553e0ee193b3a4e5c0dfa","","","","886f04e2ad4df52112b8d9283f21ce65f6edb2c0-0-ebc170f46567239070ccb08152a1ac75dfbe2692","886f04e2ad4df52112b8d9283f21ce65f6edb2c0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement","886f04e2ad4df52112b8d9283f21ce65f6edb2c0-1-fd20ad734d170fef1de8c824564414ee1a0321e3"
"Accenture","","Kingstowne","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-8c06c11f0e303a99bc3038bb9ed0312740d39b11-0-9d67210b6cf8de37758e3690f8169f226b977a53","","","","8c06c11f0e303a99bc3038bb9ed0312740d39b11-0-8e89f2a186141c5cff6fff72221978e72f02575c","8c06c11f0e303a99bc3038bb9ed0312740d39b11","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement","8c06c11f0e303a99bc3038bb9ed0312740d39b11-0-ea5d3ae8ffaadc144da8d007236aaa853d2da929"
"TBD","","TBD","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-8c06c11f0e303a99bc3038bb9ed0312740d39b11-1-1a88e4038d2caf9d81a3ccc921be46e7f23d1797","","","","8c06c11f0e303a99bc3038bb9ed0312740d39b11-1-633cf7eaba75721f24d3c75fc79c38ec0d282f78","8c06c11f0e303a99bc3038bb9ed0312740d39b11","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement","8c06c11f0e303a99bc3038bb9ed0312740d39b11-0-ea5d3ae8ffaadc144da8d007236aaa853d2da929"
"Harris Corporation","","Rochester, NY","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-a3deae4cb61de9545dddd9eca9022b9c3044b180-0-9295eca17c895d42a67ed1539ff1bd092a99e00e","0.00","0.00","0.00","a3deae4cb61de9545dddd9eca9022b9c3044b180-0-478db7f6230d2c433f26a73b67e0a9a393be11d2","a3deae4cb61de9545dddd9eca9022b9c3044b180","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement","a3deae4cb61de9545dddd9eca9022b9c3044b180-0-c32d7078b25707ef08813c7f7d98b827ee88e11d"
"DLT Solutions","","Herndon, VA","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-d568c6ab62b961dc0e87e8e827b15f2dbe100754-0-2c32610a8f777d79a450d6cb894d8bd90f0165d5","0.00","0.00","0.00","d568c6ab62b961dc0e87e8e827b15f2dbe100754-0-7782e583a87007ebe9e2394e43e0c76f2bd5ebec","d568c6ab62b961dc0e87e8e827b15f2dbe100754","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement","d568c6ab62b961dc0e87e8e827b15f2dbe100754-0-1251c87cb2478a95687cb53f106faf9c084147dc"
"TBD","","TBD","0","6","3","9","0","6","3","9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-ebe18eae2c52042e93ac0fd63296fdca4b4e31bb-0-76a451168c8b7adab75e7202b5f1301eaf896d17","1","5","3","ebe18eae2c52042e93ac0fd63296fdca4b4e31bb-0-0d147002265969b5d9dd90d0468c54de1b3b06d6","ebe18eae2c52042e93ac0fd63296fdca4b4e31bb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement","ebe18eae2c52042e93ac0fd63296fdca4b4e31bb-0-ec4b66d8d82d055b9b1cb5d270ea2e61b2172d16"
