"Name_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_Total_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_AllPriorYears_TotalCost_val","Cost_AllPriorYears_UnitCost_val","Cost_AllPriorYears_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOne_TotalCost_val","Cost_ToComplete_TotalCost_val","Cost_Total_TotalCost_val","Cost_Total_UnitCost_val","Cost_Total_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_TotalCost_val","Cost_BudgetYearOneOCO_TotalCost_val","IdCode_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"GEO 3-4 Obsolescence Non-Recurring","450.511","0","450.511","","","","","","","","","","","","","","","","","","","","","","","","","","01cb48bdd8dbef542f320b0ec82544b015318621-0-b633720a78b36a9d929fb14002a03a87651cd6d0","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item","01cb48bdd8dbef542f320b0ec82544b015318621-0-d308204f9a637abc59be1cd174bd7801de80c991"
"GEO 3-4 Launch Vehicle and Range Integration","0.303","0","18.851","18.548","","","","","","","","","","","","","","","","","","","","","","","","","01cb48bdd8dbef542f320b0ec82544b015318621-1-e4e2b90b11ab08c033204acf68cafd07ad9827fd","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item","01cb48bdd8dbef542f320b0ec82544b015318621-0-d308204f9a637abc59be1cd174bd7801de80c991"
"GEO 5-6 Obsolescence Non-Recurring","461.824","0","521.285","59.461","","","","","","","","","","","","","","","","","","","","","","","","","01cb48bdd8dbef542f320b0ec82544b015318621-0-c4242e88bf994ad09d20ce546df45cb2d3df990f","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item","01cb48bdd8dbef542f320b0ec82544b015318621-1-f4701c7f296d1f1ee06b80cc11b8bb62f180984a"
"FY15 Incremental Funding","-59.461","0","-59.461","","","","","","","","","","","","","","","","","","","","","","","","","","01cb48bdd8dbef542f320b0ec82544b015318621-1-11ccdc0b9591206080804e7ed794e678e9eb149c","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item","01cb48bdd8dbef542f320b0ec82544b015318621-1-f4701c7f296d1f1ee06b80cc11b8bb62f180984a"
"FY16 Incremental Funding (3021)","-25.508","0","-25.508","","","","","","","","","","","","","","","","","","","","","","","","","","01cb48bdd8dbef542f320b0ec82544b015318621-2-fdd7abcae4d0b2b5e07c4187b2b903617b232bac","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item","01cb48bdd8dbef542f320b0ec82544b015318621-1-f4701c7f296d1f1ee06b80cc11b8bb62f180984a"
"FY17 Incremental Funding (3021)","-13.235","0","-13.235","","","","","","","","","","","","","","","","","","","","","","","","","","01cb48bdd8dbef542f320b0ec82544b015318621-3-9ae5ce5c7bd645a2bbf074bc042a2f89361bffba","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item","01cb48bdd8dbef542f320b0ec82544b015318621-1-f4701c7f296d1f1ee06b80cc11b8bb62f180984a"
"FY18 Incremental Funding (3021)","-4.712","0","-4.712","","","","","","","","","","","","","","","","","","","","","","","","","","01cb48bdd8dbef542f320b0ec82544b015318621-4-18e9a6028f5f3eac68e834cd226c1825ae9fb441","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item","01cb48bdd8dbef542f320b0ec82544b015318621-1-f4701c7f296d1f1ee06b80cc11b8bb62f180984a"
"GEO 5-6 Launch Vehicle and Range Integration","0.286","0","0.836","0.55","","","","","","","","","","","","","","","","","","","","","","","","","01cb48bdd8dbef542f320b0ec82544b015318621-5-e33205a46c3fda6b950dd0d38ae6e99e1855ca4c","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item","01cb48bdd8dbef542f320b0ec82544b015318621-1-f4701c7f296d1f1ee06b80cc11b8bb62f180984a"
"HEO 3-4 Obsolescence Non-Recurring","158.796","0","158.796","","","","","","","","","","","","","","","","","","","","","","","","","","01cb48bdd8dbef542f320b0ec82544b015318621-0-0756bef88d662ca2a0ba8b57f8168a122bc7da54","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item","01cb48bdd8dbef542f320b0ec82544b015318621-2-1a2ec7ae9d734715893a95a26c15e510ea8dcb24"
"HEO 3-4 Launch Vehicle and Range Integration","3.376","0","3.608","0.232","","","","","","","","","","","","","","","","","","","","","","","","","01cb48bdd8dbef542f320b0ec82544b015318621-1-1d153800cc748aaa582f743f77f13e695ac6d5a5","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item","01cb48bdd8dbef542f320b0ec82544b015318621-2-1a2ec7ae9d734715893a95a26c15e510ea8dcb24"
