"FiscalYear_@footnote","FiscalYear_val","PCOLocation_val","AwardDate_@footnote","AwardDate_val","FirstDeliveryDate_val","Quantity_val","UnitCost_val","SpecsAvailableNow_val","RFPIssueDate_val","ContractMethod_val","ContractType_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ServiceAgencyName_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ServiceAgencyName_@footnote","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ProcQuantity_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_MonthlyDeliveryList_MonthlyDelivery","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_AcceptedBeforeOct1_val","MonthlyDeliveryScheduleTotal_ProcQuantity_val","MonthlyDeliveryScheduleTotal_MonthlyDeliveryList_MonthlyDelivery","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"GEO-3 Satellite","2009","LAAFB, CA","Contract award date based on obligation of Advance Procurement","2008-03","2017-07","1","1846.754","true","2007-07","SS","BA","Air Force","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-01cb48bdd8dbef542f320b0ec82544b015318621-0-05f667c31751a3c8f9c56518c3033d403640f0ce","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-01cb48bdd8dbef542f320b0ec82544b015318621-0-f19e5263b05a88e809c8154bf795822f6d3e08fe","01cb48bdd8dbef542f320b0ec82544b015318621-0-cd8cdbd83c11ee81ca8d15fd4a8674e568a0db31","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","01cb48bdd8dbef542f320b0ec82544b015318621-3-5d1edbfe1c41e39a941e79c48f5aff304c2984d8"
"GEO-4 Satellite","2011","LAAFB, CA","Contract award date based on obligation of Advance Procurement","2009-07","2016-05","1","998.930","true","2007-07","SS","BA","Air Force","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-01cb48bdd8dbef542f320b0ec82544b015318621-1-b435dc744f8fbb380255c4b47c0949b989711874","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-01cb48bdd8dbef542f320b0ec82544b015318621-1-ce0d0feeda1ebde8efd40403a12956446744298c","01cb48bdd8dbef542f320b0ec82544b015318621-1-05d18b62ceab10394602db3068c20a68e59ea058","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","01cb48bdd8dbef542f320b0ec82544b015318621-3-5d1edbfe1c41e39a941e79c48f5aff304c2984d8"
"","2013","LAAFB, CA","","2014-06","2020-09","2","1679.912","true","2012-12","SS","BA","Air Force","","2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-01cb48bdd8dbef542f320b0ec82544b015318621-0-7e58a29f45c1f96407a4f61e63b606658216dee3","","2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-01cb48bdd8dbef542f320b0ec82544b015318621-0-1bcf488e0a7c85646b972412065e3556a37c1a3f","01cb48bdd8dbef542f320b0ec82544b015318621-0-efc9a0733caa4847eec09b4e8bfc76a122de388e","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","01cb48bdd8dbef542f320b0ec82544b015318621-6-4e87bcc8cd831753d74670f89bb95e6c3a8ebf57"
"HEO-3 Payload","2009","LAAFB, CA","","2008-03","2013-06","1","734.323","true","2007-07","SS","BA","Air Force","Prior Year contracts with undelivered assets have all deliveries occurring before Oct 2014 loaded in the month of first delivery.","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-01cb48bdd8dbef542f320b0ec82544b015318621-0-407952e3ca8bd2aebd196e7957d24dcdb9e3a3a1","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-01cb48bdd8dbef542f320b0ec82544b015318621-0-98abc5d4e50afd4bf03f6e6b448a6f2db26c8cd9","01cb48bdd8dbef542f320b0ec82544b015318621-0-09f8ff423896c206941883c1a8baf77d258dcf39","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","01cb48bdd8dbef542f320b0ec82544b015318621-3-541103f2e01d9c96a48b3afc1ab8644d21539eec"
"HEO-4 Payload","2010","LAAFB, CA","","2009-07","2015-05","1","414.723","true","2007-07","SS","BA","Air Force","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-01cb48bdd8dbef542f320b0ec82544b015318621-1-dfcb6d78fc6a1ead247e662347144f33da7bf3d4","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-01cb48bdd8dbef542f320b0ec82544b015318621-1-53a974e28b8f69d7a0060941cde9237629fc2617","01cb48bdd8dbef542f320b0ec82544b015318621-1-114030bcbe73df9801a59e7f9442aed7962a4231","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","01cb48bdd8dbef542f320b0ec82544b015318621-3-541103f2e01d9c96a48b3afc1ab8644d21539eec"
"","2012","SMC, LA AFB, CA","","2011-12","2016-09","1","353.925","true","2010-01","SS","FFP","Air Force","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-0c9c39a029d1aef8067fd70604b5ab193280a35a-0-f6dd4a457765b12f3c01943e1a5429713af091b7","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-0c9c39a029d1aef8067fd70604b5ab193280a35a-0-912d823f24b010f6b18d645e5e304b70c1f19fd1","0c9c39a029d1aef8067fd70604b5ab193280a35a-0-8d1d2745302a0c641e00f33bb2154ee78af18f6f","0c9c39a029d1aef8067fd70604b5ab193280a35a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","0c9c39a029d1aef8067fd70604b5ab193280a35a-1-bbb4f6d04041e4671a932bdf744b868a0e4d99ff"
"","2012","SMC, LA AFB, CA","","2012-07","2017-12","1","338.700","true","2012-03","SS","FFP","Air Force","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-0c9c39a029d1aef8067fd70604b5ab193280a35a-0-63035b087996f0d24bc2b8d8048a85ee4a2f93fd","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-0c9c39a029d1aef8067fd70604b5ab193280a35a-0-dcc32fff8fbe379cfd89808b23891535e639f832","0c9c39a029d1aef8067fd70604b5ab193280a35a-0-4bec516366e8e9a57d50914f921c0cca1d9996e7","0c9c39a029d1aef8067fd70604b5ab193280a35a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","0c9c39a029d1aef8067fd70604b5ab193280a35a-2-c7767158875f0fb055e1c4fc4518666946b09be7"
"","2016","SMC, LA AFB, CA","","2016-03","2021-09","1","232.620","true","2015-03","C","CPAF","Air Force","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-0-9362a7acfc2e0b3d30ade48054cfa1797c7631f7","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-0-5296ac68e57188e4aa1ca8067b7193bbab724a49","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-0-2b566840e20f925b80b0432c60a187cd3e3c70a8","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-0-8958b4eba2dba100aad7830c83d730d6bc0d1ec2"
"","2018","SMC, LA AFB, CA","","2018-02","2023-02","2","245.541","true","2016-02","C","FPIF","Air Force","","2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-0-33b05d914689f10a3bbbbf0c828a0056ea81ff94","","2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-0-a79712c10f414448b58e35a1e94d5350fa6d5585","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-0-f08fddc2c076c4664dd0dfe14ee8e3bba0fd0452","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-1-e4bd1d79022caf2b398f680649135e395f5eae4f"
"","2019","SMC, LA AFB, CA","","2019-02","2024-02","3","186.132","true","2016-02","C","FPIF","Air Force","","3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-1-2a04c991c18cacd8da33e3ace1f9fce560824e25","","3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-1-9e63096487e7a7082ab40794e881ac2d77f89256","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-1-beed745d32fcd2873be94fd7c5158d81e0e8c69b","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-1-e4bd1d79022caf2b398f680649135e395f5eae4f"
