"Name_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_Total_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_Quantity_AllPriorYears_val","Cost_Quantity_Total_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_ToComplete_val","Cost_Quantity_PriorYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_UnitCost_AllPriorYears_val","Cost_UnitCost_Total_val","Cost_UnitCost_CurrentYear_val","Cost_UnitCost_BudgetYearTwo_val","Cost_UnitCost_BudgetYearThree_val","Cost_UnitCost_BudgetYearFour_val","Cost_UnitCost_BudgetYearFive_val","Cost_UnitCost_ToComplete_val","Cost_UnitCost_PriorYear_val","Cost_UnitCost_BudgetYearOneBase_val","Cost_UnitCost_BudgetYearOne_val","Cost_AllPriorYears_UnitCost_val","Cost_AllPriorYears_Quantity_val","Cost_AllPriorYears_TotalCost_val","Cost_ToComplete_UnitCost_val","Cost_ToComplete_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_Total_UnitCost_val","Cost_Total_Quantity_val","Cost_Total_TotalCost_val","Cost_PriorYear_UnitCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_TotalCost_val","Cost_CurrentYear_UnitCost_val","Cost_CurrentYear_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneBase_UnitCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearOne_UnitCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearTwo_UnitCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearThree_UnitCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFour_UnitCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_BudgetYearFive_UnitCost_val","Cost_BudgetYearFive_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","AllPriorYearsDeliveries_val","ManufacturerList_Manufacturer_Name_val","ManufacturerList_Manufacturer_Location_val","ManufacturerList_Manufacturer_MinimumSustainingRate_val","ManufacturerList_Manufacturer_MaximumProductionRate_val","ManufacturerList_Manufacturer_Rate185_val","ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val","ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val","ManufacturerList_Manufacturer_ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning","IdCode_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"GEO 3-4 Hardware","1411.659","7.791","0","1419.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01cb48bdd8dbef542f320b0ec82544b015318621-0-9f7cd9d2e82da90b0a7793a03ffa872ec80ec2af","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item","01cb48bdd8dbef542f320b0ec82544b015318621-0-d308204f9a637abc59be1cd174bd7801de80c991"
"GEO 3-4 Integration and Assembly","405.806","20.529","0","426.335","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01cb48bdd8dbef542f320b0ec82544b015318621-1-ecb3b3bca17d4545526bbf1c87d78d67753b9747","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item","01cb48bdd8dbef542f320b0ec82544b015318621-0-d308204f9a637abc59be1cd174bd7801de80c991"
"GEO 3-4 Enterprise Systems Engineering & Integration (SE&I)","31.87","7.885","0","39.755","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01cb48bdd8dbef542f320b0ec82544b015318621-2-b5fd128b0ab505d0cc3da6f4763c11dc158171f1","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item","01cb48bdd8dbef542f320b0ec82544b015318621-0-d308204f9a637abc59be1cd174bd7801de80c991"
"GEO 3-4 Satellites","2846.667","","0","2846.667","","","","","","","","","2","2","","","","","","","","","","1423.334","1423.334","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","Lockheed Martin Space Systems","Sunnyvale, CA","0.00","0.00","0.00","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-01cb48bdd8dbef542f320b0ec82544b015318621-3-8f3f60a937ffb6da706f2bb1f5752ee8a41972b4","","01cb48bdd8dbef542f320b0ec82544b015318621-3-5d1edbfe1c41e39a941e79c48f5aff304c2984d8","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item","01cb48bdd8dbef542f320b0ec82544b015318621-0-d308204f9a637abc59be1cd174bd7801de80c991"
"GEO 3-4 Satellites Debit","-2846.667","","0","-2846.667","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01cb48bdd8dbef542f320b0ec82544b015318621-4-eb747b4829017c36a2fc79b5ad3adb49b57cf03b","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item","01cb48bdd8dbef542f320b0ec82544b015318621-0-d308204f9a637abc59be1cd174bd7801de80c991"
"GEO 5-6 Hardware","1441.119","187.869","0","1628.988","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01cb48bdd8dbef542f320b0ec82544b015318621-0-73f91d011bd2342cc829c0a83c3d151d8f3db224","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item","01cb48bdd8dbef542f320b0ec82544b015318621-1-f4701c7f296d1f1ee06b80cc11b8bb62f180984a"
"GEO 5-6 Integration and Assembly","368.946","23.599","0","392.545","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01cb48bdd8dbef542f320b0ec82544b015318621-1-826a93946ff55d44c3971f9c8157a4cb7d6493c4","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item","01cb48bdd8dbef542f320b0ec82544b015318621-1-f4701c7f296d1f1ee06b80cc11b8bb62f180984a"
"FY15 Incremental Funding","-211.468","","0","-211.468","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01cb48bdd8dbef542f320b0ec82544b015318621-2-f9d89bcef8dda8b89e0e074d3fe93a63fb5dd18a","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item","01cb48bdd8dbef542f320b0ec82544b015318621-1-f4701c7f296d1f1ee06b80cc11b8bb62f180984a"
"FY16 Incremental Funding (3021)","-274.007","","0","-274.007","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01cb48bdd8dbef542f320b0ec82544b015318621-3-ed0e4a75909ff6aaae5ff3a93d38d23d2d287089","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item","01cb48bdd8dbef542f320b0ec82544b015318621-1-f4701c7f296d1f1ee06b80cc11b8bb62f180984a"
"FY17 Incremental Funding (3021)","-118.766","","0","-118.766","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01cb48bdd8dbef542f320b0ec82544b015318621-4-fa9ffe1fcd2e387e7ff09e801a2719710ffd93da","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item","01cb48bdd8dbef542f320b0ec82544b015318621-1-f4701c7f296d1f1ee06b80cc11b8bb62f180984a"
"FY18 Incremental Funding (3021)","-402.874","","0","-402.874","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01cb48bdd8dbef542f320b0ec82544b015318621-5-f99de6448849429f1b6554351afb28373f044a67","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item","01cb48bdd8dbef542f320b0ec82544b015318621-1-f4701c7f296d1f1ee06b80cc11b8bb62f180984a"
"GEO 5-6 Satellites","3359.826","","0","3359.826","","","","","","","","","2","2","","","","","","","","","","1679.913","1679.913","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","Lockheed Martin Space Systems","Sunnyvale, CA","0.00","0.00","0.00","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-01cb48bdd8dbef542f320b0ec82544b015318621-6-fa8fd09960f5d8f3095ef17e4fccaf8cf8b360fb","","01cb48bdd8dbef542f320b0ec82544b015318621-6-4e87bcc8cd831753d74670f89bb95e6c3a8ebf57","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item","01cb48bdd8dbef542f320b0ec82544b015318621-1-f4701c7f296d1f1ee06b80cc11b8bb62f180984a"
