"FiscalYear_val","PCOLocation_val","AwardDate_val","FirstDeliveryDate_val","Quantity_val","UnitCost_val","SpecsAvailableNow_val","RFPIssueDate_val","ContractMethod_val","ContractType_val","FundingVehicle_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ServiceAgencyName_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ProcQuantity_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_MonthlyDeliveryList_MonthlyDelivery","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_AcceptedBeforeOct1_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ServiceAgencySuffix_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"2015","DITCO SCOTT AFB, IL","2015-04","2015-08","16.000","0.350","true","2014-03","C","FFP","","","","","","","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-cfd8b1fe50941487661fb387b14b0785086fe10a","28efa5f91e84a33826d647f77ad9dc5ce387f0b2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-a92936ee6ce312aa4cb685647126c8bafd430926"
"2018","Hill AFB, UT","2018-01","2018-09","8.000","0.025","false","2017-10","SS","FP","","","","","","","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-0a8627ecc7cd1224b5a22fbe00c838d9b1a7022c","28efa5f91e84a33826d647f77ad9dc5ce387f0b2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-dd2792c7c6e492206de7fea3a0277c33617b81fc"
"2015","Hill AFB, UT","2015-03","2015-11","6.000","0.022","true","2014-11","SS","FP","","","","","","","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-1-6f1348964c7a2a7d986643cfcc18f5f1c6c21e5a","28efa5f91e84a33826d647f77ad9dc5ce387f0b2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-dd2792c7c6e492206de7fea3a0277c33617b81fc"
"2016","Hill AFB, UT","2015-11","2016-08","8.000","0.016","false","2015-10","SS","FP","","","","","","","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-2-abf826661e73da4aed2764faf3d4c4dfbcb1be60","28efa5f91e84a33826d647f77ad9dc5ce387f0b2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-dd2792c7c6e492206de7fea3a0277c33617b81fc"
"2017","Hill AFB, UT","2017-01","2017-10","6.000","0.021","false","2016-10","SS","FP","","","","","","","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-3-88b1133175c91fa2f51562839c1474c9761960c5","28efa5f91e84a33826d647f77ad9dc5ce387f0b2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-dd2792c7c6e492206de7fea3a0277c33617b81fc"
"2016","Hill AFB, UT","2016-03","2016-03","2.000","0.403","false","2016-01","SS","FP","","","","","","","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-ba59c0ca34fa9cb55a86812e6c6a95dca3b8a610","28efa5f91e84a33826d647f77ad9dc5ce387f0b2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-89de7eb08b90524626cc99a99571b2c77606947e"
"2015","Hill AFB, UT","2015-03","2015-03","11.000","0.410","true","2015-01","SS","FP","","","","","","","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-1-774b5b5116569b536d21572599e0ff5f6a594833","28efa5f91e84a33826d647f77ad9dc5ce387f0b2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-89de7eb08b90524626cc99a99571b2c77606947e"
"2017","HiLL AFB, UT","2017-03","2017-03","1.000","0.697","false","2017-01","SS","FP","","","","","","","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-2-2aae13bcc19a386baab39d908318a68c08fe9af6","28efa5f91e84a33826d647f77ad9dc5ce387f0b2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-89de7eb08b90524626cc99a99571b2c77606947e"
"2018","Hill AFB, UT","2018-03","2018-06","4.000","0.040","false","2018-01","SS","FP","","","","","","","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-de0253666de19104dda76c646cd25774d08e05bc","28efa5f91e84a33826d647f77ad9dc5ce387f0b2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-23fa9a1bd246abc1d1a9542d207647130ba6ef89"
"2020","Hill AFB, UT","2020-03","2020-06","4.000","0.040","false","2019-01","SS","FP","","","","","","","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-1-33837db341787d0b983f799a3de422e8f1f9608a","28efa5f91e84a33826d647f77ad9dc5ce387f0b2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-23fa9a1bd246abc1d1a9542d207647130ba6ef89"
