"Name_val","Location_val","HistoryPlanningList_HistoryPlanning","InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val","InitialQuantity_AdminLeadTimeAfterOct1InMonths_val","InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val","InitialQuantity_TotalLeadTimeAfterOct1InMonths_val","ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val","ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val","ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val","ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val","MinimumSustainingRate_val","MaximumProductionRate_val","Rate185_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"GSM ETI","Various","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-26e6cb6ce7958b2ee9230a43e58f2cd40b3f70a2","","","","","","","","","","","","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-a92936ee6ce312aa4cb685647126c8bafd430926","28efa5f91e84a33826d647f77ad9dc5ce387f0b2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-5-ef1ce265989d0b210c3a6cd34ed635d71179cbd2"
"Raytheon","FL","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-77826c2ca5590ddf94082f54832df12d0d6c8dbd","","","","","","","","","","","","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-dd2792c7c6e492206de7fea3a0277c33617b81fc","28efa5f91e84a33826d647f77ad9dc5ce387f0b2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-2991aebf802651f56332148eb76c3ca8fd5be75e"
"Raytheon","FL","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-2a9e4093f83dbb38321624146e4e67b3f3c7fc40","","","","","","","","","","","","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-89de7eb08b90524626cc99a99571b2c77606947e","28efa5f91e84a33826d647f77ad9dc5ce387f0b2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-82eeb32a308d870cf912ce99d2cbd12925458eb1"
"Raytheon","FL","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-9812eefb0e0774c9e641d79d2bf39d039fa8bac8","","","","","","","","","","","","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-23fa9a1bd246abc1d1a9542d207647130ba6ef89","28efa5f91e84a33826d647f77ad9dc5ce387f0b2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-1-daaae407ae77c284454616e84cefd87fbce8375f"
"Raytheon","FL","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-1b5fc7824f5356fe9ab66ef84bee73c4abef40d3","","","","","","","","","","","","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-bc4ffd7dd2f27e21734af763626e12fba8192039","28efa5f91e84a33826d647f77ad9dc5ce387f0b2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-2-3a2fcf93b712179fef18a7467e4e2b6f5a1ba66e"
"Program Management Support","PEO EIS, Ft Belvoir, VA","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-43d3554eb744da6b704f76d75f1225b38f0de759-0-d6ed60e67ef541df719624a71aa8d9945ddafb05","0","0","0","0","0","0","0","0","","","","43d3554eb744da6b704f76d75f1225b38f0de759-0-9cdde6eacd180acd832aafcf625687da90563546","43d3554eb744da6b704f76d75f1225b38f0de759","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement","43d3554eb744da6b704f76d75f1225b38f0de759-0-2705c490f48a45e4f08bbb66d93f4d9f6be59092"
"PM I3C2","Ft. Belvoir, VA","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-6f849759560e292ae5d1247b4513cdf075cd2cb5-0-533b28f6a911d6a5495ff91c40bff1668e3dc93d","0","0","0","0","0","0","0","0","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-60198240c50cfae10c01d6cde8dd4328bc2d1e80","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-95d3d3057fe03766c52449838ebcf6d76eae12d1"
"PM I3C2","Ft. Belvoir, VA","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-6f849759560e292ae5d1247b4513cdf075cd2cb5-0-8804da57eb5b2a3438c8833e8c2f0f11116e4199","0","0","0","0","0","0","0","0","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-c291a0670d99d8ef698f6074f12f1400aa8ea181","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-bf69c756aa4fb2b5005c76ff7eee0b16c4f2a249"
"Lockheed Martin","Sunnyvale, CA","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-0-0ce51ee37eff99e25fcb954ca2e9d467fe3e8b31","9","1","37","38","9","1","37","38","12","24","18","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-0-ed77d89ebb64e6e8efbbe45a97c5bbbb9003fcf7","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-0-dba75be593c72d958084277ce0724f4a33b4b202"
"Lockheed Martin","Sunnyvale, CA","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-0-38347808e1c0160cdaad8e674c71f22253f857c1","9","1","37","38","9","1","37","38","12","24","18","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-0-afec03fa99175cb263f567e6e607987643a4b3cb","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-1-a127aeec4bedd46bea88456ff9bc92640b989fab"
