"Name_val","Name_@footnote","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_Total_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_Continuing_val","Cost_Quantity_AllPriorYears_val","Cost_Quantity_Total_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_ToComplete_val","Cost_UnitCost_AllPriorYears_val","Cost_UnitCost_Total_val","Cost_UnitCost_PriorYear_val","Cost_UnitCost_CurrentYear_val","Cost_UnitCost_BudgetYearOneBase_val","Cost_UnitCost_BudgetYearOne_val","Cost_UnitCost_BudgetYearTwo_val","Cost_UnitCost_BudgetYearThree_val","Cost_UnitCost_BudgetYearFour_val","Cost_UnitCost_BudgetYearFive_val","Cost_UnitCost_ToComplete_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneBase_UnitCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearOne_UnitCost_val","Cost_BudgetYearOne_Quantity_val","Cost_AllPriorYears_TotalCost_val","Cost_AllPriorYears_UnitCost_val","Cost_AllPriorYears_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_PriorYear_UnitCost_val","Cost_PriorYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_CurrentYear_UnitCost_val","Cost_CurrentYear_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOneOCO_UnitCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_ToComplete_UnitCost_val","Cost_ToComplete_Quantity_val","Cost_Total_TotalCost_val","Cost_Total_UnitCost_val","Cost_Total_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearTwo_UnitCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearThree_UnitCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFour_UnitCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_BudgetYearFive_UnitCost_val","Cost_BudgetYearFive_Quantity_val","Cost_Continuing_val","Cost_Continuing_@footnote","AllPriorYearsDeliveries_val","ManufacturerList_Manufacturer","SubCostElementList_SubCostElement","Remarks_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"3.1) Product Engineering Support","","9.31","6.773","7.475","6.197","6.197","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","00d80ab471aa62b1c9c271e06b7efa51714173df-0-5c05142c2d43efe898c45423d0edb2f4d7d2911f","00d80ab471aa62b1c9c271e06b7efa51714173df","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","00d80ab471aa62b1c9c271e06b7efa51714173df-0-0a00c28ed7f73b2501df91ccd282ae8035624148"
"3.2) Other ILS","","5.394","3.897","3.425","2.528","2.528","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","00d80ab471aa62b1c9c271e06b7efa51714173df-1-33cdb17496681a3eeb51395f1c233f16217df4f0","00d80ab471aa62b1c9c271e06b7efa51714173df","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","00d80ab471aa62b1c9c271e06b7efa51714173df-0-0a00c28ed7f73b2501df91ccd282ae8035624148"
"4.1) PECULIAR SUPPORT EQUIPMENT","","60.807","","0.073","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","019d84bd4db720f14c846053dd510d024bc79131-0-ec6ae2f856e2deb915b3524c9bed73ff503aadee","019d84bd4db720f14c846053dd510d024bc79131","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","019d84bd4db720f14c846053dd510d024bc79131-0-ee01325a1bd46cdbf0dd263b768cb108ce67a4a3"
"4.2) TRAINING EQUIPMENT","Training equipment request includes funding for Non-Developmental Item-Airborne Interface Units (NDI-AIUs) used to gather missile performance data for in production missiles for product improvement within the current performance envelope.","22.899","","0.703","0.077","0.077","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","019d84bd4db720f14c846053dd510d024bc79131-1-2afafc303c2c744251e7c9397ecfb101a89a0163","019d84bd4db720f14c846053dd510d024bc79131","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","019d84bd4db720f14c846053dd510d024bc79131-0-ee01325a1bd46cdbf0dd263b768cb108ce67a4a3"
"4.3) INTEGRATED LOGISTICS SUPPORT (ILS)","","76.009","","1.579","1.609","1.609","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","019d84bd4db720f14c846053dd510d024bc79131-2-8c17d34bcb6656b6c3e6352b780a17de4a1248b7","019d84bd4db720f14c846053dd510d024bc79131","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","019d84bd4db720f14c846053dd510d024bc79131-0-ee01325a1bd46cdbf0dd263b768cb108ce67a4a3"
"6.1) Q2800 GP Bombs","Q2800 GP Bombs Integrated Logistics funding realigned from PB16 to procure additional Guided Bomb Tailkits. No ILS baseline support required for FY2016, 2017,and 2018.","1.778","0.23","","0","0.239","0.239","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01a66471d57444735bcfe046df410bd9488b9810-0-ac7f86cad99268a58d108f99b6c2900d7a59e402","01a66471d57444735bcfe046df410bd9488b9810","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","01a66471d57444735bcfe046df410bd9488b9810-0-368508eba987e31e86ff7fc92a293178a196f876"
"6.2) Q2800 Guided Bombs","","2.212","0.305","0.309","0.313","0.313","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01a66471d57444735bcfe046df410bd9488b9810-1-246baf86a2ab91d51b72fbd8203c1777a0a113a4","01a66471d57444735bcfe046df410bd9488b9810","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","01a66471d57444735bcfe046df410bd9488b9810-0-368508eba987e31e86ff7fc92a293178a196f876"
"6.3) Q2800 Fuzes","","1.131","0.239","0.243","0.247","0.247","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01a66471d57444735bcfe046df410bd9488b9810-2-38bf7e628e97a04b8c09cdfb432f3f1d31103f47","01a66471d57444735bcfe046df410bd9488b9810","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","01a66471d57444735bcfe046df410bd9488b9810-0-368508eba987e31e86ff7fc92a293178a196f876"
"7.1) Q2830 GP Bombs","Q2830 GP Bombs Production Engineering funding realigned to procure additional Guided Bomb Tailkits and increase the Production Engineering in the Guided Bomb line based on increase support required for all Guided bomb procurements.","18.763","1.845","","0","1.281","1.281","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01a66471d57444735bcfe046df410bd9488b9810-0-700cba14385b2e0652bda1014e23ee7dde3d2aed","01a66471d57444735bcfe046df410bd9488b9810","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","01a66471d57444735bcfe046df410bd9488b9810-1-e6b7e16ea6e9449f78a32e2e36fc176f27b8ae61"
"7.2) Q2830 Guided Bombs","Q2830 Guided Bomb PES funding support increase is required for the Laser guided bomb CCG and AFG procurements.","24.157","3.025","3","3.385","3.385","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01a66471d57444735bcfe046df410bd9488b9810-1-cd49a4edf6cc82ee5d1427103464a71869bab36e","01a66471d57444735bcfe046df410bd9488b9810","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","01a66471d57444735bcfe046df410bd9488b9810-1-e6b7e16ea6e9449f78a32e2e36fc176f27b8ae61"
"7.3) Q2830 Fuzes","Q2830 Fuzes FY2015 increase from PB16 is due to additional FMU-143 FUZE Sled Test requirements associated with new vendor qualification.  Additionally, the engineering review associated with the increased penetration capability, and Serial Data Interface inclusion in the FMU-139D/B substantially increased the Production Engineering Support.","12.195","4.226","2.093","2.136","2.136","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01a66471d57444735bcfe046df410bd9488b9810-2-9965f74f6dded6a0592642491d9d783e16c353d8","01a66471d57444735bcfe046df410bd9488b9810","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","01a66471d57444735bcfe046df410bd9488b9810-1-e6b7e16ea6e9449f78a32e2e36fc176f27b8ae61"
"8.1) Q2850 Product Improvement Program (PIP)","","17.173","1.61","0.152","0.155","0.155","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01a66471d57444735bcfe046df410bd9488b9810-0-98cc51fba4bb59ee9d0d314139c553c06a649afb","01a66471d57444735bcfe046df410bd9488b9810","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","01a66471d57444735bcfe046df410bd9488b9810-2-802b178dcd1f3f781b918c0ac75ec358de711db6"
"8.2) Q2892 Non-Standard Items","","1.076","0.237","0.241","0.245","0.245","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01a66471d57444735bcfe046df410bd9488b9810-1-f35ee115cbcb9b23a3603194a675ba58876df4c7","01a66471d57444735bcfe046df410bd9488b9810","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","01a66471d57444735bcfe046df410bd9488b9810-2-802b178dcd1f3f781b918c0ac75ec358de711db6"
