"CostElementList_CostElement","CategorySubtotal_TotalCost_AllPriorYears_val","CategorySubtotal_TotalCost_PriorYear_val","CategorySubtotal_TotalCost_CurrentYear_val","CategorySubtotal_TotalCost_BudgetYearOneBase_val","CategorySubtotal_TotalCost_BudgetYearOne_val","CategorySubtotal_TotalCost_BudgetYearOneOCO_val","CategorySubtotal_TotalCost_ToComplete_val","CategorySubtotal_TotalCost_Total_val","CategorySubtotal_TotalCost_BudgetYearTwo_val","CategorySubtotal_TotalCost_BudgetYearThree_val","CategorySubtotal_TotalCost_BudgetYearFour_val","CategorySubtotal_TotalCost_BudgetYearFive_val","CategorySubtotal_TotalCost_Continuing_val","Name_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-00d80ab471aa62b1c9c271e06b7efa51714173df-0-51ca0822a6092fe438cea7beb5067f4f429de712","14.704","10.67","10.9","8.725","8.725","","","","","","","","","","00d80ab471aa62b1c9c271e06b7efa51714173df-0-0a00c28ed7f73b2501df91ccd282ae8035624148","00d80ab471aa62b1c9c271e06b7efa51714173df","root.record.ItemExhibitList.P5Item","00d80ab471aa62b1c9c271e06b7efa51714173df-0-bb0e86f1247ff3c9faee15200f6b84bc4c6ab0d5"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-019d84bd4db720f14c846053dd510d024bc79131-0-b87bd342c13d9d7af7d7a9a78e6237f99899f961","159.715","","2.355","1.686","1.686","","","","","","","","","SUPPORT COST - FLEET","019d84bd4db720f14c846053dd510d024bc79131-0-ee01325a1bd46cdbf0dd263b768cb108ce67a4a3","019d84bd4db720f14c846053dd510d024bc79131","root.record.ItemExhibitList.P5Item","019d84bd4db720f14c846053dd510d024bc79131-0-0d9d7bf10104278d34340961028656d55320dd84"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-01a66471d57444735bcfe046df410bd9488b9810-0-d7959c6fee8dce9e9a301059c6b3fceabd682b71","5.121","0.774","0.552","0.56","0.799","0.239","","","","","","","","Integrated Logistics","01a66471d57444735bcfe046df410bd9488b9810-0-368508eba987e31e86ff7fc92a293178a196f876","01a66471d57444735bcfe046df410bd9488b9810","root.record.ItemExhibitList.P5Item","01a66471d57444735bcfe046df410bd9488b9810-0-e61835987477714dc428bf0ca6f545b03499b64b"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-01a66471d57444735bcfe046df410bd9488b9810-1-d12e85a1fd63fe27110869e098e24035c8d5d8a4","55.115","9.096","5.093","5.521","6.802","1.281","","","","","","","","Production Engineering","01a66471d57444735bcfe046df410bd9488b9810-1-e6b7e16ea6e9449f78a32e2e36fc176f27b8ae61","01a66471d57444735bcfe046df410bd9488b9810","root.record.ItemExhibitList.P5Item","01a66471d57444735bcfe046df410bd9488b9810-0-e61835987477714dc428bf0ca6f545b03499b64b"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-01a66471d57444735bcfe046df410bd9488b9810-2-63300938dc6bd9564b34ed30b9e1cbeb940ce66b","20.375","2.324","0.879","0.894","0.894","","","","","","","","","Miscellaneous Support","01a66471d57444735bcfe046df410bd9488b9810-2-802b178dcd1f3f781b918c0ac75ec358de711db6","01a66471d57444735bcfe046df410bd9488b9810","root.record.ItemExhibitList.P5Item","01a66471d57444735bcfe046df410bd9488b9810-0-e61835987477714dc428bf0ca6f545b03499b64b"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-01cb48bdd8dbef542f320b0ec82544b015318621-0-7939cb82ee2201e59053d03a37532889193cb5d1","137.404","9.824","","","","","0","147.228","","","","","","GEO 3-4","01cb48bdd8dbef542f320b0ec82544b015318621-0-64ffb202d940bc4b24a880558c6e78ae3f4e0140","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item","01cb48bdd8dbef542f320b0ec82544b015318621-0-d308204f9a637abc59be1cd174bd7801de80c991"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-01cb48bdd8dbef542f320b0ec82544b015318621-0-98adf7eb8a4b78bc82d4f9f2349b0f75bedad6c8","58.336","30.141","","","","","0","88.477","","","","","","GEO 5-6","01cb48bdd8dbef542f320b0ec82544b015318621-0-9ec6e7fcb2ea65799f752dba0fd70f70fa50f063","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item","01cb48bdd8dbef542f320b0ec82544b015318621-1-f4701c7f296d1f1ee06b80cc11b8bb62f180984a"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-01cb48bdd8dbef542f320b0ec82544b015318621-0-6c8dcb8fdaa94c3feb2fc48a146f28c6dca4ebc7","68.427","13.002","","","","","0","81.429","","","","","","HEO 3-4","01cb48bdd8dbef542f320b0ec82544b015318621-0-f1ed50fa8f5ca27498df8b0dae312b895a6aadf9","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item","01cb48bdd8dbef542f320b0ec82544b015318621-2-1a2ec7ae9d734715893a95a26c15e510ea8dcb24"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-051c46b7b10d7990f42aa21568cfd38fc10dc009-0-1bb01cff1aedb640832cf9aed637688b08e879ac","331.918","96.359","285.625","152.158","152.158","","356.914","1607.779","98.931","76.384","101.346","108.144","","Support End Item","051c46b7b10d7990f42aa21568cfd38fc10dc009-0-a9cd4e5ffcb8423d08ca554747f9edd41fa70fa8","051c46b7b10d7990f42aa21568cfd38fc10dc009","root.record.ItemExhibitList.P5Item","051c46b7b10d7990f42aa21568cfd38fc10dc009-0-e5b29adc990be37e7b73c0b87b15787ca717ec1b"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-05bac2dd8b3a3269236e0f9144fd90cb786c8252-0-9404415274c6d482dcfcb5eb13bb440a2ca20612","0.378","","","","","","","","","","","","","SUPPORT - Other Support","05bac2dd8b3a3269236e0f9144fd90cb786c8252-0-0df1d28211093d5d2097f0e545267011e3558289","05bac2dd8b3a3269236e0f9144fd90cb786c8252","root.record.ItemExhibitList.P5Item","05bac2dd8b3a3269236e0f9144fd90cb786c8252-0-53fa7b4954e7b23b71bddec2a7360eacc9d0f7e8"
