"FiscalYear_val","PCOLocation_val","AwardDate_val","FirstDeliveryDate_val","Quantity_val","UnitCost_val","SpecsAvailableNow_val","ContractMethod_val","ContractType_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ServiceAgencyName_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ServiceAgencyName_@footnote","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ProcQuantity_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_MonthlyDeliveryList_MonthlyDelivery","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_AcceptedBeforeOct1_val","MonthlyDeliveryScheduleTotal_ProcQuantity_val","MonthlyDeliveryScheduleTotal_MonthlyDeliveryList_MonthlyDelivery","RFPIssueDate_val","FundingVehicle_val","Remarks_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"2016","AFLCMC/WI - ISR & SOF","2016-06","2017-04","1","8.000","true","SS","FPIF","Air Force","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-a384c921a3658d23e1478565f6db78daff1bb44f-0-2d77e4dcd588614a7d1a90ff0f4c2697b949658a","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-a384c921a3658d23e1478565f6db78daff1bb44f-0-cb9b33b0598d44cf17de5780567aa75cd7af2019","","","","a384c921a3658d23e1478565f6db78daff1bb44f-0-3014216f6bb00fe45e7a5b41b1794f0c7700f32a","a384c921a3658d23e1478565f6db78daff1bb44f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement","a384c921a3658d23e1478565f6db78daff1bb44f-0-9f463bc77fc7969476598cdf1576493c98bc21ed"
"2012","AFLCMC Wright Patterson AFB","2014-08","2017-01","3","118.700","true","SS","FFP","Air Force","","3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-a384c921a3658d23e1478565f6db78daff1bb44f-0-85c665b13b2b5f03afc1e043f01825d8ea330ff9","","3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-a384c921a3658d23e1478565f6db78daff1bb44f-0-d7cce785f47c4550efe4f9c92e6b5f9851e7e9a6","2013-08","","","a384c921a3658d23e1478565f6db78daff1bb44f-0-b45a3141ba408922ef03b340f9e1ca8e6f87f51b","a384c921a3658d23e1478565f6db78daff1bb44f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement","a384c921a3658d23e1478565f6db78daff1bb44f-2-59475679710958fcbd27b6c7f5ebdd63ef5c28d6"
"2010","80","2011-01","2012-06","2","102.853","true","SS","FPIF","Air Force","","2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-59c5754610b14faaaeebf1930117e601da5553e9-0-b66345cfe007803515088a5d7b47c5b8eed095aa","0","","","2009-06","","","59c5754610b14faaaeebf1930117e601da5553e9-0-23e9194b6cea255a51c0e80bd058d6716e71994d","59c5754610b14faaaeebf1930117e601da5553e9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement","59c5754610b14faaaeebf1930117e601da5553e9-2-825e671d9b030973f2a5991aeaca5458d745b9fa"
"2011","TBD","2013-03","2014-03","2","118.480","true","SS","FPIF","Air Force","","2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-59c5754610b14faaaeebf1930117e601da5553e9-1-352100c20730bce1d6571f98eb6b15dfee7b78e6","0","","","2010-03","","","59c5754610b14faaaeebf1930117e601da5553e9-1-0144805897dc05121af2ee56826b0aa2b6586977","59c5754610b14faaaeebf1930117e601da5553e9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement","59c5754610b14faaaeebf1930117e601da5553e9-2-825e671d9b030973f2a5991aeaca5458d745b9fa"
"2010","TBD","2011-01","2013-03","2","94.887","true","SS","FPIF","Air Force","","2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-59c5754610b14faaaeebf1930117e601da5553e9-0-bb3c77e6568fb2c2fa5619a25d7e6a0c1d0da200","0","","","2009-06","","","59c5754610b14faaaeebf1930117e601da5553e9-0-0beaf6a6062f256b08ff3e62adb8a6dc537064ef","59c5754610b14faaaeebf1930117e601da5553e9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement","59c5754610b14faaaeebf1930117e601da5553e9-3-7401a35ec78051380f56a02bb8bf1476a91ad264"
"2011","TBD","2013-03","2014-04","2","108.581","true","SS","FPIF","Air Force","","2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-59c5754610b14faaaeebf1930117e601da5553e9-1-6f26c9687742925361a782186c11d9d77a13fec6","0","","","2010-03","","","59c5754610b14faaaeebf1930117e601da5553e9-1-de6c326aca62eee58c8330eb94b6036209e87cb8","59c5754610b14faaaeebf1930117e601da5553e9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement","59c5754610b14faaaeebf1930117e601da5553e9-3-7401a35ec78051380f56a02bb8bf1476a91ad264"
"2009","80","2011-02","2011-05","2","21.821","true","SS","FPIF","Air Force","Prior Year contracts with undelivered assets have all deliveries occurring before Oct 2011 loaded in the month of first delivery.","2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-59c5754610b14faaaeebf1930117e601da5553e9-0-c7b9c59e234e4579edce6649eaaeb24e79398886","0","","","2008-01","","","59c5754610b14faaaeebf1930117e601da5553e9-0-d96583d367c376206da83c5136201412db03a324","59c5754610b14faaaeebf1930117e601da5553e9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement","59c5754610b14faaaeebf1930117e601da5553e9-0-2f06e8366f97b5d0344bb7264a680b03fc96bfb0"
"2012","DTRA","2012-03","2012-04","4","0.050","true","","","","","","","","","","","PO","","9a2f1f1033342ad3d7c4b830913fe1859898e3f3-0-0bc7971bd76ac62252d1483e92a89ead80049027","9a2f1f1033342ad3d7c4b830913fe1859898e3f3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement","9a2f1f1033342ad3d7c4b830913fe1859898e3f3-8-166527ac64a40bfe14597f17184d589a7e322bfd"
"2014","DTRA","2014-03","2014-04","2","0.050","true","","","","","","","","","","","PO","","9a2f1f1033342ad3d7c4b830913fe1859898e3f3-1-dcfc3fc9e3e8e289b1c12126c8860627f5c09887","9a2f1f1033342ad3d7c4b830913fe1859898e3f3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement","9a2f1f1033342ad3d7c4b830913fe1859898e3f3-8-166527ac64a40bfe14597f17184d589a7e322bfd"
"2013","DTRA","2013-03","2013-04","1","0.050","true","","","","","","","","","","","PO","","9a2f1f1033342ad3d7c4b830913fe1859898e3f3-2-b1546252427bcdd10e014ea9582bcb21d9d38137","9a2f1f1033342ad3d7c4b830913fe1859898e3f3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement","9a2f1f1033342ad3d7c4b830913fe1859898e3f3-8-166527ac64a40bfe14597f17184d589a7e322bfd"
"2010","AFLCMC Wright Patterson AFB","2011-01","2012-06","2","86.500","true","SS","FPIF","Air Force","Prior Year contracts with undelivered assets have all deliveries occurring before Oct 2012 loaded in the month of first delivery.","2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-ac50b872ffb6d4371f54d933c0b8c9419c539b67-0-e52e399a99ce65da84ac9f5983e62cac230ed25b","","2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-ac50b872ffb6d4371f54d933c0b8c9419c539b67-0-24fae9e71fe521aa33546e51bcecd6c495d102d6","2009-06","","","ac50b872ffb6d4371f54d933c0b8c9419c539b67-0-55d36fa7009d0e847e091a03603799637c54229e","ac50b872ffb6d4371f54d933c0b8c9419c539b67","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement","ac50b872ffb6d4371f54d933c0b8c9419c539b67-2-2f6bf7ec50f9442448a3c501f947fc69b174dc82"
"2011","AFLCMC Wright Patterson AFB","2013-03","2013-11","2","107.900","true","SS","FPIF","Air Force","","2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-ac50b872ffb6d4371f54d933c0b8c9419c539b67-1-03bfb4b8ad7a22af57544bfbe66b539d63258025","","2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-ac50b872ffb6d4371f54d933c0b8c9419c539b67-1-2c7e2d8189a1c17d686deed08f83b35c55b891c5","2010-03","","","ac50b872ffb6d4371f54d933c0b8c9419c539b67-1-de73df53750fe69943ef7ed4d4661c70121971fb","ac50b872ffb6d4371f54d933c0b8c9419c539b67","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement","ac50b872ffb6d4371f54d933c0b8c9419c539b67-2-2f6bf7ec50f9442448a3c501f947fc69b174dc82"
"2012","AFLCMC Wright Patterson AFB","2014-07","2017-01","3","118.700","true","SS","FFP","Air Force","","3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-ac50b872ffb6d4371f54d933c0b8c9419c539b67-2-1bf5129667cee99bc99bef6070a306f1f9e474dd","","3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-ac50b872ffb6d4371f54d933c0b8c9419c539b67-2-2c8f1e76c0f4891ef168b8b71e65ff2370fc7081","2013-08","","","ac50b872ffb6d4371f54d933c0b8c9419c539b67-2-29d9eb638bdc53ac19761c0d08e9ec4547abb1e9","ac50b872ffb6d4371f54d933c0b8c9419c539b67","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement","ac50b872ffb6d4371f54d933c0b8c9419c539b67-2-2f6bf7ec50f9442448a3c501f947fc69b174dc82"
"2010","AFLCMC Wright Patterson AFB","2011-01","2013-02","2","65.800","true","SS","FPIF","Air Force","","2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-ac50b872ffb6d4371f54d933c0b8c9419c539b67-0-c693cbc3ca14f55429237b9221caf8121ebdff59","","2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-ac50b872ffb6d4371f54d933c0b8c9419c539b67-0-6aa60f27c1cb9ebb792e79029db629ad33c99a72","2009-06","","","ac50b872ffb6d4371f54d933c0b8c9419c539b67-0-2f9aeeccdbd34a1c574f1e8d27dcb93cf519ccfc","ac50b872ffb6d4371f54d933c0b8c9419c539b67","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement","ac50b872ffb6d4371f54d933c0b8c9419c539b67-3-1ceb36ce81ae02df2c12e000254007efe99c2831"
"2011","AFLCMC Wright Patterson AFB","2013-03","2014-04","2","86.500","true","SS","FPIF","Air Force","","2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-ac50b872ffb6d4371f54d933c0b8c9419c539b67-1-9f23ddbdcd41f92282907f18248002bfcb70fab0","","2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-ac50b872ffb6d4371f54d933c0b8c9419c539b67-1-bcb961843b954cdba09e30377b9632330c51b109","2010-03","","","ac50b872ffb6d4371f54d933c0b8c9419c539b67-1-bd848c8efc48c8ed1bf2a9f79ffa03a442c37149","ac50b872ffb6d4371f54d933c0b8c9419c539b67","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement","ac50b872ffb6d4371f54d933c0b8c9419c539b67-3-1ceb36ce81ae02df2c12e000254007efe99c2831"
