"Name_val","Name_@footnote","WhenRequiredInMonths_val","Cost_AllPriorYears_val","Cost_PriorYear_val","Cost_CurrentYear_val","Cost_BudgetYearOne_val","Cost_BudgetYearTwo_val","Cost_BudgetYearThree_val","Cost_BudgetYearFour_val","Cost_Total_val","Cost_BudgetYearFive_val","Cost_ToComplete_val","Cost_Continuing_val","ManufacturerList_Manufacturer","QuantityPerAssembly_val","ForFY_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Airframe/Engines/Accessories: MC-130J Airframe Equipment","","12","188.122","80","60","50","30","60","40","508.122","","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList-051c46b7b10d7990f42aa21568cfd38fc10dc009-0-86229ef6f23508a4168b35786a5c27ec0063c082","","","051c46b7b10d7990f42aa21568cfd38fc10dc009-0-173ad547cd8f013e598a1a45b47afcec86d9cd37","051c46b7b10d7990f42aa21568cfd38fc10dc009","root.record.ItemExhibitList.P5Item","051c46b7b10d7990f42aa21568cfd38fc10dc009-0-e5b29adc990be37e7b73c0b87b15787ca717ec1b"
"Prior Years EOQ/Long Lead","","0","1128.023","","","","","","","","","","","","0","","22280713174a76e0cb7141642ef20990b40d4483-0-5c2ef48627ad5b0b75658bc4ea67e91fde50296e","22280713174a76e0cb7141642ef20990b40d4483","root.record.ItemExhibitList.P5Item","22280713174a76e0cb7141642ef20990b40d4483-0-a698a39fa0604a33fa5c2a296af85910f086343e"
"FY13 Long Lead","","0","59.073","","","","","","","","","","","","0","","22280713174a76e0cb7141642ef20990b40d4483-1-e4af6839dfdfebcf47c1ca82aec84bb5e63e8030","22280713174a76e0cb7141642ef20990b40d4483","root.record.ItemExhibitList.P5Item","22280713174a76e0cb7141642ef20990b40d4483-0-a698a39fa0604a33fa5c2a296af85910f086343e"
"FY14 Long Lead","","0","62.484","","","","","","","","","","","","0","","22280713174a76e0cb7141642ef20990b40d4483-2-0911610dbe14b1dbe08791648b7724abaddedb16","22280713174a76e0cb7141642ef20990b40d4483","root.record.ItemExhibitList.P5Item","22280713174a76e0cb7141642ef20990b40d4483-0-a698a39fa0604a33fa5c2a296af85910f086343e"
"FY14 EOQ","","0","18.05","","","","","","","","","","","","0","","22280713174a76e0cb7141642ef20990b40d4483-3-30229527a89c26cca2d9fd5c95ab7020db094608","22280713174a76e0cb7141642ef20990b40d4483","root.record.ItemExhibitList.P5Item","22280713174a76e0cb7141642ef20990b40d4483-0-a698a39fa0604a33fa5c2a296af85910f086343e"
"FY15 Long Lead","","0","40.017","","","","","","","","","","","","0","","22280713174a76e0cb7141642ef20990b40d4483-4-4759e6bc691825082d6f6d44242dcb8f0f17fc24","22280713174a76e0cb7141642ef20990b40d4483","root.record.ItemExhibitList.P5Item","22280713174a76e0cb7141642ef20990b40d4483-0-a698a39fa0604a33fa5c2a296af85910f086343e"
"FY15 EOQ","","0","15.69","","","","","","","","","","","","0","","22280713174a76e0cb7141642ef20990b40d4483-5-9b6e53ded9a32fe1df1a228a1aced10961b7a3f4","22280713174a76e0cb7141642ef20990b40d4483","root.record.ItemExhibitList.P5Item","22280713174a76e0cb7141642ef20990b40d4483-0-a698a39fa0604a33fa5c2a296af85910f086343e"
"FY16 Long Lead","","0","","40.411","","","","","","","","","","","0","","22280713174a76e0cb7141642ef20990b40d4483-6-f1e340666bdfbe2d4aa1dde6ebbda1728b92610b","22280713174a76e0cb7141642ef20990b40d4483","root.record.ItemExhibitList.P5Item","22280713174a76e0cb7141642ef20990b40d4483-0-a698a39fa0604a33fa5c2a296af85910f086343e"
"FY16 EOQ","","0","15.69","","","","","","","","","","","","0","","22280713174a76e0cb7141642ef20990b40d4483-7-b00213b90a3a85854af35862f2817381a4443bbe","22280713174a76e0cb7141642ef20990b40d4483","root.record.ItemExhibitList.P5Item","22280713174a76e0cb7141642ef20990b40d4483-0-a698a39fa0604a33fa5c2a296af85910f086343e"
"FY17 Long Lead","","0","","","38.59","","","","","","","","","","0","","22280713174a76e0cb7141642ef20990b40d4483-8-7094071ff009f98ebf8296e916284d272d52cf48","22280713174a76e0cb7141642ef20990b40d4483","root.record.ItemExhibitList.P5Item","22280713174a76e0cb7141642ef20990b40d4483-0-a698a39fa0604a33fa5c2a296af85910f086343e"
