"FiscalYear_val","PCOLocation_val","AwardDate_val","FirstDeliveryDate_val","Quantity_val","UnitCost_val","SpecsAvailableNow_val","RFPIssueDate_val","ContractMethod_val","ContractType_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"2015","WPAFB, OH","2015-12","2016-12","8","0.000","true","2012-10","SS","FPIF","051c46b7b10d7990f42aa21568cfd38fc10dc009-0-f6b22820404f2447e63415617ed185a285e284c4","051c46b7b10d7990f42aa21568cfd38fc10dc009","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement","051c46b7b10d7990f42aa21568cfd38fc10dc009-0-7541c3c2d2235956985d7b4b092f3d39713bcb02"
"2016","WPAFB, OH","2016-03","2017-12","6","0.000","true","2012-10","SS","FPIF","051c46b7b10d7990f42aa21568cfd38fc10dc009-1-113e722afa588b5a4b9d92cbfeb924e2c8f10918","051c46b7b10d7990f42aa21568cfd38fc10dc009","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement","051c46b7b10d7990f42aa21568cfd38fc10dc009-0-7541c3c2d2235956985d7b4b092f3d39713bcb02"
"2017","WPAFB, OH","2016-12","2019-01","0","0.000","true","2012-10","SS","FPIF","051c46b7b10d7990f42aa21568cfd38fc10dc009-2-f1de93463fcb74c1875a312ca568fcd4134875a7","051c46b7b10d7990f42aa21568cfd38fc10dc009","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement","051c46b7b10d7990f42aa21568cfd38fc10dc009-0-7541c3c2d2235956985d7b4b092f3d39713bcb02"
"2015","WPAFB, OH","2015-12","2016-12","14","0.000","true","2012-10","SS","FPIF","5b3fe1a3045586dd9b2a824d8135d062777ea274-0-ce3e0b38403f5ec42384cce067db528803acc080","5b3fe1a3045586dd9b2a824d8135d062777ea274","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement","5b3fe1a3045586dd9b2a824d8135d062777ea274-0-a364bdaa93e42d850fde4a02546d2e8cb051586e"
"2016","WPAFB, OH","2016-03","2017-11","2","0.000","true","2012-10","SS","FPIF","5b3fe1a3045586dd9b2a824d8135d062777ea274-1-d4f21f3bee3f79d091580a1436940135f0207a7c","5b3fe1a3045586dd9b2a824d8135d062777ea274","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement","5b3fe1a3045586dd9b2a824d8135d062777ea274-0-a364bdaa93e42d850fde4a02546d2e8cb051586e"
"2017","WPAFB, OH","2016-12","2019-04","0","0.000","true","2012-10","SS","FPIF","5b3fe1a3045586dd9b2a824d8135d062777ea274-2-0675cf9ec6ba274a640112b13d075f4cadbd8b79","5b3fe1a3045586dd9b2a824d8135d062777ea274","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement","5b3fe1a3045586dd9b2a824d8135d062777ea274-0-a364bdaa93e42d850fde4a02546d2e8cb051586e"
"2014","WPAFB, OH","2014-03","2017-01","23","4.000","true","2012-10","SS","FPIF","710ef617a38a761d21d54c3003ed8353760f854e-0-d64f008ec70aeafad0de32cb73f5ea86f25fffae","710ef617a38a761d21d54c3003ed8353760f854e","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement","710ef617a38a761d21d54c3003ed8353760f854e-0-f945c56a78634298c5fd0f5edff4a493f1c8b4f5"
"2014","WPAFB, OH","2014-03","2016-12","21","4.000","true","2012-10","SS","FPIF","9bce669cb085deb46919d9a64da91bf99907b5fc-0-48af16dcaf782852260b90073027368184fb9cc7","9bce669cb085deb46919d9a64da91bf99907b5fc","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement","9bce669cb085deb46919d9a64da91bf99907b5fc-0-49a859c93ca5b53bc3e28534bb5c61d89488ca29"
"2014","WPAFB, OH","2014-03","2017-02","12","4.000","true","2012-10","SS","FPIF","d32843718d71c1a25e1b3b3e9a420541746a559a-0-00a7c94d90f2276773d249796fae36a8efcb2b66","d32843718d71c1a25e1b3b3e9a420541746a559a","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement","d32843718d71c1a25e1b3b3e9a420541746a559a-0-4afc64abb1aba487fbdd91368b2e641d7d7106fb"
"2014","WPAFB, OH","2014-03","2017-01","23","4.000","true","2012-10","SS","FPIF","e615c20672a354eae07583fce3fbefe766b6d6a9-0-8be53e082a5df6f493294f0a47066b4da55eaf31","e615c20672a354eae07583fce3fbefe766b6d6a9","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement","e615c20672a354eae07583fce3fbefe766b6d6a9-0-d6dbe2261b2b41e9d409095ef5a7a67d281feabe"
"2016","Dahlgren, VA","2016-02","2018-02","1.000","48.411","true","2015-10","SS","FP","175397800b511b530a13e7475895e0646537d7c2-0-e420c4c2173d9e4bbe8eeca8f9861cd2db99cc84","175397800b511b530a13e7475895e0646537d7c2","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement","175397800b511b530a13e7475895e0646537d7c2-0-9e9a061de2933f5de87735f70c48cb90cdae6d9d"
