"Name_val","Name_@footnote","WhenRequiredInMonths_val","Cost_AllPriorYears_val","Cost_PriorYear_val","Cost_CurrentYear_val","Cost_BudgetYearOne_val","Cost_BudgetYearTwo_val","Cost_BudgetYearThree_val","Cost_BudgetYearFour_val","Cost_Total_val","Cost_BudgetYearFive_val","Cost_ToComplete_val","ManufacturerList_Manufacturer_Name_val","ManufacturerList_Manufacturer_Location_val","ManufacturerList_Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val","ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning","QuantityPerAssembly_val","QuantityForBudgetYearList_QuantityForBudgetYear_BudgetYear_val","QuantityForBudgetYearList_QuantityForBudgetYear_Cost_BudgetYearOne_val","QuantityForBudgetYearList_QuantityForBudgetYear_Cost_BudgetYearTwo_val","QuantityForBudgetYearList_QuantityForBudgetYear_Cost_Total_val","QuantityForBudgetYearList_QuantityForBudgetYear_Cost_BudgetYearThree_val","QuantityForBudgetYearList_QuantityForBudgetYear_Cost_BudgetYearFive_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Airframe/Engines/Accessories: MC-130J Economic Order Quantity Items","","12","84","0","0","0","0","0","0","84","","","Lockheed Martin","Marietta GA","0","0","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-051c46b7b10d7990f42aa21568cfd38fc10dc009-0-dadd357eecb49cbb1b4876ffaebedd29eaf4b3a4","","","","","","","","051c46b7b10d7990f42aa21568cfd38fc10dc009-0-7541c3c2d2235956985d7b4b092f3d39713bcb02","051c46b7b10d7990f42aa21568cfd38fc10dc009","root.record.ItemExhibitList.P5Item","051c46b7b10d7990f42aa21568cfd38fc10dc009-0-e5b29adc990be37e7b73c0b87b15787ca717ec1b"
"EOQ","","0","20","","","","","","","","","","","","","","","","","0","","","","","","","4f95c30a7a42b871c7d0d8f058ec4f041a03e1c0-0-739d430f988a49a7c775e377740ced4669515c47","4f95c30a7a42b871c7d0d8f058ec4f041a03e1c0","root.record.ItemExhibitList.P5Item","4f95c30a7a42b871c7d0d8f058ec4f041a03e1c0-0-291f11fdab5419b3966d979835a49e1308bd97ba"
"Airframe: EOQ","","12","92","0","0","0","","","","92","","","Lockheed Martin","Marietta GA","0","0","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-5b3fe1a3045586dd9b2a824d8135d062777ea274-0-35a940c51cd54c625a7bf7adabb368fa0c110356","","","","","","","","5b3fe1a3045586dd9b2a824d8135d062777ea274-0-a364bdaa93e42d850fde4a02546d2e8cb051586e","5b3fe1a3045586dd9b2a824d8135d062777ea274","root.record.ItemExhibitList.P5Item","5b3fe1a3045586dd9b2a824d8135d062777ea274-0-d54a5670967b6c6f759dfa53fb42e4c8add8c6a6"
"For FY 2016 EOQ/Long Lead","","0","","10.311","","","","","","","","","","","","","","","","0","","","","","","","5c53766253032ebe940da7fe2e9719bfbad8ca56-0-e69f40084c7c6f3eda881d5dc40b005f01f1a4fe","5c53766253032ebe940da7fe2e9719bfbad8ca56","root.record.ItemExhibitList.P5Item","5c53766253032ebe940da7fe2e9719bfbad8ca56-0-478cf92af26ddde38422c67b522657187d45eacb"
"For FY 2017 EOQ/Long Lead","","0","","2.234","5.499","","","","","","","","","","","","","","","0","","","","","","","5c53766253032ebe940da7fe2e9719bfbad8ca56-1-94f03aa2f6deb75555eaf319fb825dc1961bc3ea","5c53766253032ebe940da7fe2e9719bfbad8ca56","root.record.ItemExhibitList.P5Item","5c53766253032ebe940da7fe2e9719bfbad8ca56-0-478cf92af26ddde38422c67b522657187d45eacb"
"For FY 2018 EOQ/Long Lead","","0","","2.234","5.499","","","","","","","","","","","","","","","0","","","","","","","5c53766253032ebe940da7fe2e9719bfbad8ca56-2-bc16c3b76c3d5299441656f2bfa6232d296296aa","5c53766253032ebe940da7fe2e9719bfbad8ca56","root.record.ItemExhibitList.P5Item","5c53766253032ebe940da7fe2e9719bfbad8ca56-0-478cf92af26ddde38422c67b522657187d45eacb"
"For FY 2019 EOQ/Long Lead","","0","","1.718","4.296","","","","","","","","","","","","","","","0","","","","","","","5c53766253032ebe940da7fe2e9719bfbad8ca56-3-e8898175180cac93b0c4d02a9b350c783fcf11fd","5c53766253032ebe940da7fe2e9719bfbad8ca56","root.record.ItemExhibitList.P5Item","5c53766253032ebe940da7fe2e9719bfbad8ca56-0-478cf92af26ddde38422c67b522657187d45eacb"
"Airframe For FY 2013 EOQ/Long Lead","","0","38.984","","","","","","","","","","","","","","","","","0","","","","","","","c501430b1175b85b6e62d1be810a4090e94f5711-0-f14aa46f559e5745f8c193e57b27b26e55976489","c501430b1175b85b6e62d1be810a4090e94f5711","root.record.ItemExhibitList.P5Item","c501430b1175b85b6e62d1be810a4090e94f5711-0-c903fc4b8a2ecadac46dea3a601fd88fbc67d6cd"
"Airframe For FY 2014 EOQ/Long Lead","","0","53.858","","","","","","","","","","","","","","","","","0","","","","","","","c501430b1175b85b6e62d1be810a4090e94f5711-1-a8603eed1dd8462b62ded0355bf3232698f490d6","c501430b1175b85b6e62d1be810a4090e94f5711","root.record.ItemExhibitList.P5Item","c501430b1175b85b6e62d1be810a4090e94f5711-0-c903fc4b8a2ecadac46dea3a601fd88fbc67d6cd"
"Airframe For FY 2015 EOQ/Long Lead","","0","86.742","","","","","","","","","","","","","","","","","0","","","","","","","c501430b1175b85b6e62d1be810a4090e94f5711-2-6bdd4bca4ebc4a64d7de439fd0b1bf881fbf531d","c501430b1175b85b6e62d1be810a4090e94f5711","root.record.ItemExhibitList.P5Item","c501430b1175b85b6e62d1be810a4090e94f5711-0-c903fc4b8a2ecadac46dea3a601fd88fbc67d6cd"
