"Name_val","Name_@footnote","WhenRequiredInMonths_val","QuantityPerAssembly_val","Cost_AllPriorYears_val","Cost_PriorYear_val","Cost_CurrentYear_val","Cost_BudgetYearOne_val","Cost_BudgetYearTwo_val","Cost_BudgetYearThree_val","Cost_BudgetYearFour_val","Cost_BudgetYearFive_val","Cost_ToComplete_val","Cost_Total_val","ManufacturerList_Manufacturer_Name_val","ManufacturerList_Manufacturer_Location_val","ManufacturerList_Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"GFE Other","","0","0","86.028","","","","","","","","","","","","","","","22280713174a76e0cb7141642ef20990b40d4483-0-6f106b8fc42ebe40633eb9f032968d19213c2c8d","22280713174a76e0cb7141642ef20990b40d4483","root.record.ItemExhibitList.P5Item","22280713174a76e0cb7141642ef20990b40d4483-0-a698a39fa0604a33fa5c2a296af85910f086343e"
"GFE Com/Nav","","0","0","19.831","3.357","2.579","","","","","","","","","","","","","22280713174a76e0cb7141642ef20990b40d4483-1-a720b4d24970faa53dd330b7ce91a46bd5a540ec","22280713174a76e0cb7141642ef20990b40d4483","root.record.ItemExhibitList.P5Item","22280713174a76e0cb7141642ef20990b40d4483-0-a698a39fa0604a33fa5c2a296af85910f086343e"
"GFE EW","","0","0","21.802","7.796","2.684","","","","","","","","","","","","","22280713174a76e0cb7141642ef20990b40d4483-2-ec0ce6b4d7a5e527d59ef54a5f0831148c0a26e9","22280713174a76e0cb7141642ef20990b40d4483","root.record.ItemExhibitList.P5Item","22280713174a76e0cb7141642ef20990b40d4483-0-a698a39fa0604a33fa5c2a296af85910f086343e"
"GFE Com/Nav","","0","0","","","","2","","","","","","","","","","","","22280713174a76e0cb7141642ef20990b40d4483-0-24b51e81cd6b1f16f0678d0fcf7b92b142d69087","22280713174a76e0cb7141642ef20990b40d4483","root.record.ItemExhibitList.P5Item","22280713174a76e0cb7141642ef20990b40d4483-1-9ac248b97987ce7cc20cb45fcc76bddd35c0b3c2"
"GFE EW","","0","0","","","","2","","","","","","","","","","","","22280713174a76e0cb7141642ef20990b40d4483-1-2af0028cc84ab35a6644e19f198dab796d5623b8","22280713174a76e0cb7141642ef20990b40d4483","root.record.ItemExhibitList.P5Item","22280713174a76e0cb7141642ef20990b40d4483-1-9ac248b97987ce7cc20cb45fcc76bddd35c0b3c2"
"GFE Electronics","","0","0","22.805","0","4.164","4.243","","","","","","","","","","","","4f95c30a7a42b871c7d0d8f058ec4f041a03e1c0-0-10e64b7a32010f2397d98c83b9f53cdc716ad10e","4f95c30a7a42b871c7d0d8f058ec4f041a03e1c0","root.record.ItemExhibitList.P5Item","4f95c30a7a42b871c7d0d8f058ec4f041a03e1c0-0-291f11fdab5419b3966d979835a49e1308bd97ba"
"GFE Other","","0","0","2.292","0","0.287","0.293","","","","","","","","","","","","4f95c30a7a42b871c7d0d8f058ec4f041a03e1c0-1-8f52b94d94fe3ccf6d63fa5e783faa02006bf60e","4f95c30a7a42b871c7d0d8f058ec4f041a03e1c0","root.record.ItemExhibitList.P5Item","4f95c30a7a42b871c7d0d8f058ec4f041a03e1c0-0-291f11fdab5419b3966d979835a49e1308bd97ba"
"Engines/Eng ACC: Long Lead Material","FY17 Advance Procurement funding is requested for long-lead requirements necessary to support procurement of 44 CTOL JSF aircraft in FY18.","9","1","498.011","92.154","101.257","88.99","147.678","89.485","93.331","93.331","3839.053","5043.29","Pratt & Whitney","East Hartford, CT","9","9","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-790a190d186bbe24493dfb9f94e07f9db4ea0ac7-0-68bb58a79a16233e78626e59c47f3f4533ef38ae","790a190d186bbe24493dfb9f94e07f9db4ea0ac7-0-8975ed8c36beef856216943f40f406ea63183105","790a190d186bbe24493dfb9f94e07f9db4ea0ac7","root.record.ItemExhibitList.P5Item","790a190d186bbe24493dfb9f94e07f9db4ea0ac7-0-bcc2e9db6a72377b6e4ad7bbd84f9ee5c441599c"
"Other GFE","","0","1","32.177","","","","","","","","","","","","","","","8f197b07ce7b949e7fe3317b9f68bdd0917e8b01-0-6fbd7977b3356aa665c97ef82d0d7ecba357d1cd","8f197b07ce7b949e7fe3317b9f68bdd0917e8b01","root.record.ItemExhibitList.P5Item","8f197b07ce7b949e7fe3317b9f68bdd0917e8b01-0-78e7c5fe40e983d368ae3e111af3a16c62e1e481"
"JTIDS","","0","1","16.955","","","","","","","","","","","","","","","8f197b07ce7b949e7fe3317b9f68bdd0917e8b01-1-4db2cad6e983a883d7439d0dbdc8cb7385895f8c","8f197b07ce7b949e7fe3317b9f68bdd0917e8b01","root.record.ItemExhibitList.P5Item","8f197b07ce7b949e7fe3317b9f68bdd0917e8b01-0-78e7c5fe40e983d368ae3e111af3a16c62e1e481"
"Engines","","0","1","14.9","","","","","","","","","","","","","","","8f197b07ce7b949e7fe3317b9f68bdd0917e8b01-2-d50602dccfcd38280e7f2ae202b2d7abf987e87b","8f197b07ce7b949e7fe3317b9f68bdd0917e8b01","root.record.ItemExhibitList.P5Item","8f197b07ce7b949e7fe3317b9f68bdd0917e8b01-0-78e7c5fe40e983d368ae3e111af3a16c62e1e481"
