"FiscalYear_val","PCOLocation_val","AwardDate_val","FirstDeliveryDate_val","Quantity_val","UnitCost_val","FundingVehicle_val","SpecsAvailableNow_val","RFPIssueDate_val","ContractMethod_val","ContractType_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"2015","See End Item P-5A","2014-12","2016-07","1","1.529","Various","","","","","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-00f4b522d43c6ceefeb689c826cc994951d41270","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-f902627b9ce9ad852fb5d0b53e8b25507e2ad247"
"2017","See End Item P-5A","2017-05","2018-12","588","1.529","Various","","","","","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-1-340742c9b78bae455237daa04d24e86bc81bd679","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-f902627b9ce9ad852fb5d0b53e8b25507e2ad247"
"2015","See End Item P-5A","2014-12","2016-07","0","0.284","Various","","","","","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-dd6edab61a2f8992d97b0a731330ab8e4fd68bba","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-1-340bac6d709942c3870934893fd9bf2a7ed97047"
"2017","See End Item P-5A","2017-05","2018-12","595","0.284","Various","","","","","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-1-df109f10bc67a22216c86b41bbe14c97a9306e59","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-1-340bac6d709942c3870934893fd9bf2a7ed97047"
"2015","See End Item P-5A","2014-12","2016-07","7","11.882","Various","","","","","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-450b7024a38f0d10e9fc3004ad626779c0a47c18","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-2-448b9c27bbab6bd5e0df7f176f7930bff5cdeb91"
"2017","See End Item P-5A","2017-05","2018-12","595","11.882","Various","","","","","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-1-a51a3c02104ec8fbf6915a493c718a26ea2d89e3","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-2-448b9c27bbab6bd5e0df7f176f7930bff5cdeb91"
"2015","See End Item P-5A","2014-12","2016-07","2","2.583","Various","","","","","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-4d2ad1756e2f4643e04434f16b154f4b99d6db53","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-3-9b0bc367e2558df62cfc79220e8ee07e61ebb371"
"2017","See End Item P-5A","2017-05","2018-12","595","2.583","Various","","","","","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-1-9b75880302804245e0ba7cb3770b5941bb809ce5","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-3-9b0bc367e2558df62cfc79220e8ee07e61ebb371"
"2015","See End Item P-5A","2014-12","2016-07","0","0.594","Various","","","","","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-34e6c75360da18d6e384a345c3a575acfe143d90","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-4-47c0864ce2e984541f6145bb31a4e3a822597854"
"2017","See End Item P-5A","2017-05","2018-12","588","0.594","Various","","","","","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-1-fc43eaeb4f211728b5e799b0460023f527c62104","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-4-47c0864ce2e984541f6145bb31a4e3a822597854"
