"Name_val","WhenRequiredInMonths_val","QuantityPerAssembly_val","SCNProductionLeadtime_val","Cost_AllPriorYears_val","Cost_PriorYear_val","Cost_CurrentYear_val","Cost_BudgetYearOne_val","Cost_BudgetYearTwo_val","Cost_BudgetYearThree_val","Cost_BudgetYearFour_val","Cost_BudgetYearFive_val","Cost_Continuing_val","Cost_Total_val","Cost_ToComplete_val","ManufacturerList_Manufacturer_Name_val","ManufacturerList_Manufacturer_Location_val","ManufacturerList_Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val","ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning","ForFY_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Launch Motor","14","1","14","9.46","0.905","0","0.899","","","","","","","","See End Item P-5A/NA","See End Item P-5A","14","14","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-e3042dfed6a34733200157067eb6f78427aaa688","","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-f902627b9ce9ad852fb5d0b53e8b25507e2ad247","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-75350ccce8978767d53e1a899530295af7aa0cbc"
"Flight Motor","12","1","12","2.983","0.17","0","0.169","","","","","","","","See End Item P-5A/NA","See End Item P-5A","12","12","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-1-f88bb03ef7c35e3c91bd81168bf55a25f17fe9cb","","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-1-340bac6d709942c3870934893fd9bf2a7ed97047","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-75350ccce8978767d53e1a899530295af7aa0cbc"
"Warhead","19","1","19","72.424","7.018","0","7.07","","","","","","","","See End Item P-5A/NA","See End Item P-5A","19","19","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-2-5bb1d619428f4d0ebc5a418df988889e93636c45","","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-2-448b9c27bbab6bd5e0df7f176f7930bff5cdeb91","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-75350ccce8978767d53e1a899530295af7aa0cbc"
"Gyro","13","1","13","16.181","1.548","0","1.537","","","","","","","","See End Item P-5A/NA","See End Item P-5A","13","13","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-3-e477dc2de21eefd687dab970971675a2dd8c99f4","","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-3-9b0bc367e2558df62cfc79220e8ee07e61ebb371","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-75350ccce8978767d53e1a899530295af7aa0cbc"
"Flight Motor Case Kit","10","1","12","3.669","0.351","0","0.349","","","","","","","","See End Item P-5A/NA","See End Item P-5A","12","12","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-4-452d3e376194fb8bbac58f2932f63fa960a9df15","","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-4-47c0864ce2e984541f6145bb31a4e3a822597854","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-75350ccce8978767d53e1a899530295af7aa0cbc"
"2B Sensor","18","1","18","57.158","8.533","0","8.475","","","","","","","","See End Item P-5A/NA","See End Item P-5A","18","18","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-5-58d92abda37a100cc62c06be5feee6f1012d92df","","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-5-850507b3d18d3095519d4d74a61efb1a6aabfb1d","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-75350ccce8978767d53e1a899530295af7aa0cbc"
"Control Surface Actuator","13","1","13","9.575","0.916","0","0.91","","","","","","","","See End Item P-5A/NA","See End Item P-5A","13","13","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-6-b8a9bf9ba9a4607d7603ff5ea1404ec91193b948","","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-6-ed72cd5d8dfd324050906fb7b80eaf082cac853c","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-75350ccce8978767d53e1a899530295af7aa0cbc"
"Beacon Shutter Actuator","11","1","12","5.674","0.543","0","0.54","","","","","","","","See End Item P-5A/NA","See End Item P-5A","12","12","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-7-719c576df9156c8f231b349a4d6ac557c21976fd","","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-7-7e83c776ed570075c2be2e0d93e317fdcf7406d9","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-75350ccce8978767d53e1a899530295af7aa0cbc"
"CFE","6","26","6","342.743","125.162","114.494","116.685","","","","","","","","See End Item P-5A/NA","See End Item P-5A","6","6","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-25468c90530de4e049f06e2c4c0a3d290cfdc3b4-0-354380396499911e8766987aa74ab6e3b0c8f433","","25468c90530de4e049f06e2c4c0a3d290cfdc3b4-0-e31dab8fabaff6878659ce82515904dea5d8ecbb","25468c90530de4e049f06e2c4c0a3d290cfdc3b4","root.record.ItemExhibitList.P5Item","25468c90530de4e049f06e2c4c0a3d290cfdc3b4-0-e93866a97530ca09e457578b12c73498ec902aa5"
"GFE","6","26","6","342.743","32.176","95.436","68.475","","","","","","","","See End Item P-5A/NA","See End Item P-5A","6","6","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-25468c90530de4e049f06e2c4c0a3d290cfdc3b4-1-1d80eb3ea5ec5abf2f5316fc2be95a1b7807265e","","25468c90530de4e049f06e2c4c0a3d290cfdc3b4-1-88b70d4f984d8191e8117f3108ae90197d499527","25468c90530de4e049f06e2c4c0a3d290cfdc3b4","root.record.ItemExhibitList.P5Item","25468c90530de4e049f06e2c4c0a3d290cfdc3b4-0-e93866a97530ca09e457578b12c73498ec902aa5"
