"Name_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Army Active","1008","1704","595","815","1410","","","","","70.352","87.525","84.871","80.652","165.523","","","","","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-8420fcf36a9c0c5ee9fce0575da7cee4c29a99f7","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-75350ccce8978767d53e1a899530295af7aa0cbc"
"Army Active","311","850","309","83","392","","","","","72.877","168.163","73.508","15.567","89.075","","","","","0561521cebf08349168b642b91c8d05bc7d3e65e-0-5608d0047fd4c94f221f653e079470ea9e10c5b1","0561521cebf08349168b642b91c8d05bc7d3e65e","root.record.ItemExhibitList.P5Item","0561521cebf08349168b642b91c8d05bc7d3e65e-0-8b8f43d223f5b1c9b08dd64b8a53dc422a4d7f64"
"Army Active","","","","","","","","","","3.657","3.717","4.915","","4.915","","","","","05f3d20bf97cf889b04bf11a72c518aef82e92a4-0-2eced120fe411f985afb4ebd7e9c00f91043939e","05f3d20bf97cf889b04bf11a72c518aef82e92a4","root.record.ItemExhibitList.P5Item","05f3d20bf97cf889b04bf11a72c518aef82e92a4-0-1fdaf9966e8af1cfefbb2c0d2f4c1c53deda1b64"
"Army Active","","","","","","","","","","","0.984","","","","","","","","0707044696fc9f97fc5f9cdec688e54f11b61b8e-0-8c44c6ecee838f070cc3bbdbfa2fd8d23caa3dc0","0707044696fc9f97fc5f9cdec688e54f11b61b8e","root.record.ItemExhibitList.P5Item","0707044696fc9f97fc5f9cdec688e54f11b61b8e-0-501d9d6416fdec5578d474c5ee5ac560e6aad6b0"
"Army National Guard","","","","","","","","","","0.667","","","","","","","","","0707044696fc9f97fc5f9cdec688e54f11b61b8e-1-ad3fdc3c085598892e9cacf24d228da1a093f7a7","0707044696fc9f97fc5f9cdec688e54f11b61b8e","root.record.ItemExhibitList.P5Item","0707044696fc9f97fc5f9cdec688e54f11b61b8e-0-501d9d6416fdec5578d474c5ee5ac560e6aad6b0"
"Army Active","2710","1372","1321","","1321","","","","","165.137","249.763","188.138","33.032","221.17","","","","","0741a57148a7370e69404170cd88e66b1f8cdc97-0-378d87934a34190fbed51dd00b105a5a1a111a13","0741a57148a7370e69404170cd88e66b1f8cdc97","root.record.ItemExhibitList.P5Item","0741a57148a7370e69404170cd88e66b1f8cdc97-0-488e19c4072d91930b4b7cc5c2c341c7b500a3ee"
"Army National Guard","453","587","573","","573","","","","","24.742","49.99","49.711","","49.711","","","","","0741a57148a7370e69404170cd88e66b1f8cdc97-1-48889f1823f1ad1d898f7095c13aa7b698a7d3b7","0741a57148a7370e69404170cd88e66b1f8cdc97","root.record.ItemExhibitList.P5Item","0741a57148a7370e69404170cd88e66b1f8cdc97-0-488e19c4072d91930b4b7cc5c2c341c7b500a3ee"
"Army Reserve","71","128","128","","128","","","","","2.159","4.655","4.665","","4.665","","","","","0741a57148a7370e69404170cd88e66b1f8cdc97-2-b66f4a4ccb862b3b877f82837d6a41e982f51259","0741a57148a7370e69404170cd88e66b1f8cdc97","root.record.ItemExhibitList.P5Item","0741a57148a7370e69404170cd88e66b1f8cdc97-0-488e19c4072d91930b4b7cc5c2c341c7b500a3ee"
"Army Active","","","","","","","","","","6.046","6.284","","","","","","","","0b019e9859b658925f8cc253738f656dc7f9a9ee-0-0c1c493e9603356c5fc915c644eeacde6fa72950","0b019e9859b658925f8cc253738f656dc7f9a9ee","root.record.ItemExhibitList.P5Item","0b019e9859b658925f8cc253738f656dc7f9a9ee-0-aa3bf1fe351e495ce32a2a4b7d069e72dec659e1"
"Army National Guard","","","","","","","","","","12.446","13.867","","","","","","","","0b019e9859b658925f8cc253738f656dc7f9a9ee-1-66cdb3f9368a0aad06a1585dc15f2e3a72b17edd","0b019e9859b658925f8cc253738f656dc7f9a9ee","root.record.ItemExhibitList.P5Item","0b019e9859b658925f8cc253738f656dc7f9a9ee-0-aa3bf1fe351e495ce32a2a4b7d069e72dec659e1"
