"val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"0101113F","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-211e4ad83f2db2f3e82ba40d04882937964dc097","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root","00a7ac30601f89dbd482dd9b3d95bc21c4349755-33831026485083448e9ee9bb3d5225edf6c2dcc8"
"0305239M","00d80ab471aa62b1c9c271e06b7efa51714173df-0-c8c587e35b803e1a78eca2e972f1397395e9eb4f","00d80ab471aa62b1c9c271e06b7efa51714173df","root","00d80ab471aa62b1c9c271e06b7efa51714173df-34a8ede06cb7622035138e3ce539c537d85b5e01"
"0305234N","00d80ab471aa62b1c9c271e06b7efa51714173df-1-cac5f0d6257d6052d617fe31bd6b83fd38c980f6","00d80ab471aa62b1c9c271e06b7efa51714173df","root","00d80ab471aa62b1c9c271e06b7efa51714173df-34a8ede06cb7622035138e3ce539c537d85b5e01"
"0604441F","01cb48bdd8dbef542f320b0ec82544b015318621-0-d0c53fb87189f168845b942debefe00e227c6f64","01cb48bdd8dbef542f320b0ec82544b015318621","root","01cb48bdd8dbef542f320b0ec82544b015318621-565cd54de9d35d1cc7bdf66fe45fa67a560a4bcb"
"0604800F","03f8e8bfc7d123974bf811b66730b57a76e0a8f4-0-2bcc9308bb8f5fe85a2a9f290f856b614e1ae52c","03f8e8bfc7d123974bf811b66730b57a76e0a8f4","root","03f8e8bfc7d123974bf811b66730b57a76e0a8f4-98b5869479309f51546660417725f19e06e9eb57"
"0207224F","051c46b7b10d7990f42aa21568cfd38fc10dc009-0-db08f4741ac7c50d00341b8aa4def3a14851048f","051c46b7b10d7990f42aa21568cfd38fc10dc009","root","051c46b7b10d7990f42aa21568cfd38fc10dc009-9e3edb9844c2a40a5c44af6de0ae48d82246b395"
"0207237F","051c46b7b10d7990f42aa21568cfd38fc10dc009-1-069e1d9d4028bcd8f51981fec65c1b0c067b6c9b","051c46b7b10d7990f42aa21568cfd38fc10dc009","root","051c46b7b10d7990f42aa21568cfd38fc10dc009-9e3edb9844c2a40a5c44af6de0ae48d82246b395"
"0401132F","051c46b7b10d7990f42aa21568cfd38fc10dc009-2-fb5d1a868699785de26ce527cb5f42ac17b2a17e","051c46b7b10d7990f42aa21568cfd38fc10dc009","root","051c46b7b10d7990f42aa21568cfd38fc10dc009-9e3edb9844c2a40a5c44af6de0ae48d82246b395"
"0604611A","0561521cebf08349168b642b91c8d05bc7d3e65e-0-2d4157aa553e1e16695b205d3889ea6ff8540240","0561521cebf08349168b642b91c8d05bc7d3e65e","root","0561521cebf08349168b642b91c8d05bc7d3e65e-601a2c35522d261a505dc0f4447931672637cdcb"
"0305208A","0741a57148a7370e69404170cd88e66b1f8cdc97-0-309c38352ac44997d2803ee17733389c806dbc4c","0741a57148a7370e69404170cd88e66b1f8cdc97","root","0741a57148a7370e69404170cd88e66b1f8cdc97-71723746066502a2c8713518532069743044baac"
