"Name_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","ModsOutYearDelta_Quantity_BudgetYearTwo_val","ModsOutYearDelta_Quantity_BudgetYearThree_val","ModsOutYearDelta_Quantity_BudgetYearFour_val","ModsOutYearDelta_Quantity_BudgetYearFive_val","ModsOutYearDelta_Cost_BudgetYearTwo_val","ModsOutYearDelta_Cost_BudgetYearThree_val","ModsOutYearDelta_Cost_BudgetYearFour_val","ModsOutYearDelta_Cost_BudgetYearFive_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Army Active","1008","1704","595","815","1410","640","637","738","745","70.352","87.525","84.871","80.652","165.523","69.212","69.185","68.981","68.885","","","","","","","","","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-a9a0c87ad7fefd66318031ee267c85d644692731","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-1445f52fb0e6e55a9f98ac403c1db4f3132b9720"
"Air Force Active","","","","","","","","","","139.083","126.883","93.076","0","93.076","116.584","94.576","86.52","93.54","","","","","","","","","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-fc50532a460980ebdc8bdaf6087b5b4f316aaeab","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root","00a7ac30601f89dbd482dd9b3d95bc21c4349755-33831026485083448e9ee9bb3d5225edf6c2dcc8"
"Air National Guard","","","","","","","","","","","0","0","0","0","0","0","0","0","","","","","","","","","00a7ac30601f89dbd482dd9b3d95bc21c4349755-1-776f510d2bd111bf8aa28b406a62878c0db0e1e3","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root","00a7ac30601f89dbd482dd9b3d95bc21c4349755-33831026485083448e9ee9bb3d5225edf6c2dcc8"
"Air Force Reserve","","","","","","","","","","23.031","18.029","15.944","0","15.944","16.531","10.947","8.289","3.378","","","","","","","","","00a7ac30601f89dbd482dd9b3d95bc21c4349755-2-d10ebdc4285e1da21805f9ec0c0587859d26fc52","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root","00a7ac30601f89dbd482dd9b3d95bc21c4349755-33831026485083448e9ee9bb3d5225edf6c2dcc8"
"Air Force Active","0","0","0","0","0","0","0","0","0","72.311","80.135","98.107","0","98.107","93.441","32.454","33.024","33.619","","","","","","","","","03b29a7857f1e54db06f9825b28d4eed204735b6-0-fdd1efefa81867d205bd05b9bbc22c775abfc54f","03b29a7857f1e54db06f9825b28d4eed204735b6","root","03b29a7857f1e54db06f9825b28d4eed204735b6-aa1c45d386e5dc75a1031785089f1a03559908dc"
"Air National Guard","0","0","0","0","0","0","0","0","0","23.129","1.993","10.781","0","10.781","10.548","8.94","9.098","9.261","","","","","","","","","03b29a7857f1e54db06f9825b28d4eed204735b6-1-49bb0947d5d4e6ccb1bb8da5e5f823ebacaf18ed","03b29a7857f1e54db06f9825b28d4eed204735b6","root","03b29a7857f1e54db06f9825b28d4eed204735b6-aa1c45d386e5dc75a1031785089f1a03559908dc"
"Air Force Reserve","0","0","0","0","0","0","0","0","0","0.319","0.282","0.327","0","0.327","0.333","0.339","0.345","0.351","","","","","","","","","03b29a7857f1e54db06f9825b28d4eed204735b6-2-f088bc8379b7e7e44e7a197b245dbd891cc2e5d0","03b29a7857f1e54db06f9825b28d4eed204735b6","root","03b29a7857f1e54db06f9825b28d4eed204735b6-aa1c45d386e5dc75a1031785089f1a03559908dc"
"Army Active","311","850","309","83","392","370","367","422","670","72.877","168.163","73.508","15.567","89.075","89.52","88.702","100.539","143.917","","","","","","","","","0561521cebf08349168b642b91c8d05bc7d3e65e-0-f18013e4af7815101a1433bf7b7306029c6c3d8a","0561521cebf08349168b642b91c8d05bc7d3e65e","root","0561521cebf08349168b642b91c8d05bc7d3e65e-601a2c35522d261a505dc0f4447931672637cdcb"
"Army Active","","","","","","","","","","3.657","3.717","4.915","","4.915","4.941","5.658","5.689","5.791","","","","","","","","","05f3d20bf97cf889b04bf11a72c518aef82e92a4-0-08aaacdb992d9e5ce95f3f0209b03001cd7f5c5d","05f3d20bf97cf889b04bf11a72c518aef82e92a4","root","05f3d20bf97cf889b04bf11a72c518aef82e92a4-3f7799e1135a97cb7fc95b9d0612c57be8066e1e"
"Army Active","","","","","","","","","","2.508","5.85","4.718","","4.718","3.985","4.003","4","3.971","","","","","","","","","0640d6fffd6d41bb4baa2adeec7d733418bbe424-0-56ecdd9dfc80bc6d328d3a0d0ebf0af6481cf42e","0640d6fffd6d41bb4baa2adeec7d733418bbe424","root","0640d6fffd6d41bb4baa2adeec7d733418bbe424-f98db618a9a4d972f05f29fff4c1d605795db577"
"Army Active","","","","","","","","","","","0.984","","","","","","","","","","","","","","","","0707044696fc9f97fc5f9cdec688e54f11b61b8e-0-6138d2748a5ca9665dfa6484003d41c5104a7ab9","0707044696fc9f97fc5f9cdec688e54f11b61b8e","root","0707044696fc9f97fc5f9cdec688e54f11b61b8e-a84a475ec41d5e3145f1cc22dd55439a522d0bde"
"Army National Guard","","","","","","","","","","0.667","","","","","","","","","","","","","","","","","0707044696fc9f97fc5f9cdec688e54f11b61b8e-1-64c5d09e2aa3ef4df2d1a39d68bcb16b08aaa619","0707044696fc9f97fc5f9cdec688e54f11b61b8e","root","0707044696fc9f97fc5f9cdec688e54f11b61b8e-a84a475ec41d5e3145f1cc22dd55439a522d0bde"
"Army Active","2710","1372","1321","","1321","1404","1491","","","165.137","249.763","188.138","33.032","221.17","218.333","217.079","","","","","","","","","","","0741a57148a7370e69404170cd88e66b1f8cdc97-0-ba788100542b57ad693d3c36553ade52ccbf3811","0741a57148a7370e69404170cd88e66b1f8cdc97","root","0741a57148a7370e69404170cd88e66b1f8cdc97-71723746066502a2c8713518532069743044baac"
"Army National Guard","453","587","573","","573","579","651","","","24.742","49.99","49.711","","49.711","50.52","62.2","","","","","","","","","","","0741a57148a7370e69404170cd88e66b1f8cdc97-1-1ac8dd9b602b8b1e0b3e8b688aa1a7a81f606030","0741a57148a7370e69404170cd88e66b1f8cdc97","root","0741a57148a7370e69404170cd88e66b1f8cdc97-71723746066502a2c8713518532069743044baac"
"Army Reserve","71","128","128","","128","128","128","","","2.159","4.655","4.665","","4.665","4.665","4.665","","","","","","","","","","","0741a57148a7370e69404170cd88e66b1f8cdc97-2-fb705f46fd2d4d26c82a133e4eafcf2cb1b17ee5","0741a57148a7370e69404170cd88e66b1f8cdc97","root","0741a57148a7370e69404170cd88e66b1f8cdc97-71723746066502a2c8713518532069743044baac"
