"Month_val","Amount_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"2014-02","1","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-0-39f79b0fd7efaf642ac21bb9b02142ce7e815df6","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-0-b99be965993e59635a5fb5ad84340fb2dfc6cc05"
"2014-03","1","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-1-1a7f12d954ee7c5f5a59fe0026f206ae608f2580","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-0-b99be965993e59635a5fb5ad84340fb2dfc6cc05"
"2014-04","1","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-2-56f82d1323ce5c392269e65e482a6df8a1bfffa3","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-0-b99be965993e59635a5fb5ad84340fb2dfc6cc05"
"2014-05","1","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-3-2667ebbf3e67374c30e7a694416cb84139f21822","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-0-b99be965993e59635a5fb5ad84340fb2dfc6cc05"
"2015-02","1","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-0-8d89192cc0bd0bcbedab7a22a8d58396f08f773e","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-1-e2f1d1606fb44c6fa9e72811ee3db5e5dc8c7c5e"
"2015-03","1","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-1-e87988ab2d151ec7bd40ad328997894da84238bd","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-1-e2f1d1606fb44c6fa9e72811ee3db5e5dc8c7c5e"
"2015-04","1","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-2-741edfd4e474b6aaff30db6bc7fc379cca82bf67","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-1-e2f1d1606fb44c6fa9e72811ee3db5e5dc8c7c5e"
"2015-05","1","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-3-61e23cd6baeca517c872a57bcd5b0ea16016c1de","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-1-e2f1d1606fb44c6fa9e72811ee3db5e5dc8c7c5e"
"2015-06","1","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-4-9d9c73f8c9bf2ef9916619b4fb7f616f77e76676","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-1-e2f1d1606fb44c6fa9e72811ee3db5e5dc8c7c5e"
"2015-07","1","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-5-63728e8fd580d959c5c9f32165c9994b07f89a8c","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-1-e2f1d1606fb44c6fa9e72811ee3db5e5dc8c7c5e"
