"ServiceAgencyName_val","ServiceAgencyName_@footnote","ServiceAgencySuffix_val","ProcQuantity_val","ProcQuantity_@footnote","MonthlyDeliveryList_MonthlyDelivery","AcceptedBeforeOct1_val","Remarks_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Army","","BASE","1008","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-2734cbb92d9ce1a9e9ec4dbb7e69650804d61249","","","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-ecb124273dafa671b3abb65e87b6701a46e3793d","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-de7af938d2055ac1adff690f8b4e9282b5760c8e"
"Marine Corps","","Base","136","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-1-6ebf76edce63ded38f1002a79a3fac9ac3896590","","","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-1-07c61b7febb0aa3bdb60c0ad10400c97d5b5e8c5","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-de7af938d2055ac1adff690f8b4e9282b5760c8e"
"Army","","BASE","1704","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-71d27aea13595a8ad8e5ec8713a7e655f560154d","","","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-009444603919b009768eb7bd2b4ff8b2f086b3dd","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-1-28108104e2ffb2bdf210501ac67018f8986a55c7"
"Marine Corps","","BASE","1114","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-1-544ab5d1cecef4e7a5d7c4861a2e4d64aa207d01","","","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-1-5fe5ab17bc205a185fd6b7094f7ecf98eae53423","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-1-28108104e2ffb2bdf210501ac67018f8986a55c7"
"Army","","Base","595","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-882d7903c466bb4ad706bd9eb364cf41d250eefb","","","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-834e85e45e6ba29ffdef44d9a96197a8c7b56198","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-2-a6ce9c69a97759b7489b745d93a4e42f2f7b6f5a"
"Marine Corps","","BASE","60","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-1-05794757d575889f52f13683fc4339ac24c38d10","","","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-1-6c40af1edeb00f0805f8c138e7b6fff7e91624dd","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-2-a6ce9c69a97759b7489b745d93a4e42f2f7b6f5a"
"Army","","OCO","815","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-82330dc92cfe7096429ddc6281268adcc0492bc9","","","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-4a125bcc055129c676e59ac15562794562ee3aa8","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-4d3baf2e40912f6be6dbdcb6ddc7e1fea42a010b"
"Navy","","","3","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-00d80ab471aa62b1c9c271e06b7efa51714173df-0-ae93ff3640023a6b206602d9a0bf9a63b8c9a755","","","00d80ab471aa62b1c9c271e06b7efa51714173df-0-ac5302219651ec818ecaad9fa06ab7a3682dd085","00d80ab471aa62b1c9c271e06b7efa51714173df","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","00d80ab471aa62b1c9c271e06b7efa51714173df-0-08f2a9256f27c38041fa9aae34565a1f4acfac75"
"Navy","","","3","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-00d80ab471aa62b1c9c271e06b7efa51714173df-0-cc2cc73dce1de0aa96757d532222e14b5c0bd3eb","","","00d80ab471aa62b1c9c271e06b7efa51714173df-0-b1f760ed44e70b5b09405a9e5c165a8b585a0633","00d80ab471aa62b1c9c271e06b7efa51714173df","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","00d80ab471aa62b1c9c271e06b7efa51714173df-1-deaccfe5b3c5a9e6560b65b687ca3c690249e118"
"Navy","","","3","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-00d80ab471aa62b1c9c271e06b7efa51714173df-0-79e1c46f96bc30fd7d4adc544b47226422844975","","","00d80ab471aa62b1c9c271e06b7efa51714173df-0-55bf830730be751f70d7ea52e25237baa72007a4","00d80ab471aa62b1c9c271e06b7efa51714173df","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","00d80ab471aa62b1c9c271e06b7efa51714173df-2-2017ee90fbd61c051bc8fc55d4527b33d3071fde"
