"Month_val","Amount_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"2017-12","4","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-0-52697b59ecc7da9336954eb72f2665b35dfe513a","7ddfbe85b91a6affaacd7630ba558cac6f849fa5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-0-2dcf19798866f1fdc371fbffdf820990ea500a68"
"2018-12","5","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-0-fc3b3331f41e1e7f11f940255f5700c15f3710ea","7ddfbe85b91a6affaacd7630ba558cac6f849fa5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-1-8c76b137e30de4ace8386f890c404444b5599e68"
"2019-12","3","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-0-dc040bab44e073bd7b2f10237a879bcc77850bfd","7ddfbe85b91a6affaacd7630ba558cac6f849fa5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-0-b4c6ec6d8aaece50901d09e87eff15df038deea3"
"2020-12","6","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-0-4b7ffdedc6947642c58e834c5956cc3592c2c5d3","7ddfbe85b91a6affaacd7630ba558cac6f849fa5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-1-31821035abea992d2e943f0c0c7769ecdc6dbcda"
"2021-12","5","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-0-a54f943456901a4e84ba27748019e3812fcc5940","7ddfbe85b91a6affaacd7630ba558cac6f849fa5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-2-b63475cba9992111546536aab9e5a310dee3d71b"
"2022-12","4","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-0-b48ff33300b69937e897772c5149093e717fbabf","7ddfbe85b91a6affaacd7630ba558cac6f849fa5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-3-dc5bd9afc51e679acb2b8546c9fc73c0cc82fd27"
"2014-01","2","a4b42ea41376af149fde0a56a4fda0978d60b49b-0-bd4c69e52894eccbf37eea9a9158705d6eca6aa8","a4b42ea41376af149fde0a56a4fda0978d60b49b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","a4b42ea41376af149fde0a56a4fda0978d60b49b-0-03a8d77623a0174cb1de425ab2bd99a4ed51d9b7"
"2014-10","1","a4b42ea41376af149fde0a56a4fda0978d60b49b-1-08b66675904df64dd784bfa0fc892cb003d9c5d9","a4b42ea41376af149fde0a56a4fda0978d60b49b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","a4b42ea41376af149fde0a56a4fda0978d60b49b-0-03a8d77623a0174cb1de425ab2bd99a4ed51d9b7"
"2016-04","1","a4b42ea41376af149fde0a56a4fda0978d60b49b-2-8398c995c2a82da919bce4b573e2736164a0f5b0","a4b42ea41376af149fde0a56a4fda0978d60b49b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","a4b42ea41376af149fde0a56a4fda0978d60b49b-0-03a8d77623a0174cb1de425ab2bd99a4ed51d9b7"
"2016-08","1","a4b42ea41376af149fde0a56a4fda0978d60b49b-3-ebbb31eebb6778983da3a1e2c962fb68e7f24a34","a4b42ea41376af149fde0a56a4fda0978d60b49b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","a4b42ea41376af149fde0a56a4fda0978d60b49b-0-03a8d77623a0174cb1de425ab2bd99a4ed51d9b7"
"2014-10","2","a4b42ea41376af149fde0a56a4fda0978d60b49b-0-6d24bb62d045d8333467e46bc63f718a66b21edd","a4b42ea41376af149fde0a56a4fda0978d60b49b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","a4b42ea41376af149fde0a56a4fda0978d60b49b-0-4f61fe761376b0fe6b3e7bd29374f1db97ae1cff"
"2015-10","2","a4b42ea41376af149fde0a56a4fda0978d60b49b-1-587e4ffa21c376bd9ae21a0e90123a93caf5a275","a4b42ea41376af149fde0a56a4fda0978d60b49b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","a4b42ea41376af149fde0a56a4fda0978d60b49b-0-4f61fe761376b0fe6b3e7bd29374f1db97ae1cff"
"2015-12","4","a4b42ea41376af149fde0a56a4fda0978d60b49b-0-9e5643ae9e593ed829f5d9b856aa87c60fd015e1","a4b42ea41376af149fde0a56a4fda0978d60b49b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","a4b42ea41376af149fde0a56a4fda0978d60b49b-0-b5ceda9d44f0ad8ff4a6634bb7cac339657c733a"
"2016-06","1","a4b42ea41376af149fde0a56a4fda0978d60b49b-1-3b21b03aac5085ab8f703dff6d8646cc5a5328d2","a4b42ea41376af149fde0a56a4fda0978d60b49b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","a4b42ea41376af149fde0a56a4fda0978d60b49b-0-b5ceda9d44f0ad8ff4a6634bb7cac339657c733a"
"2017-01","2","a4b42ea41376af149fde0a56a4fda0978d60b49b-0-872f5f8c1851fa9e4aa99222982a52de0bb4217c","a4b42ea41376af149fde0a56a4fda0978d60b49b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","a4b42ea41376af149fde0a56a4fda0978d60b49b-0-26d49daa229e246e900cdff1f245b6821c95ee3f"
"2018-03","2","a4b42ea41376af149fde0a56a4fda0978d60b49b-1-39363824829afcd190f0f361ece081b0b846858c","a4b42ea41376af149fde0a56a4fda0978d60b49b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","a4b42ea41376af149fde0a56a4fda0978d60b49b-0-26d49daa229e246e900cdff1f245b6821c95ee3f"
"2014-02","1","de08184513d1e1f65d84300ccaf6c8414cb8e42a-0-c484de0a496bd196ccf5027036b79992fbf11c6a","de08184513d1e1f65d84300ccaf6c8414cb8e42a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","de08184513d1e1f65d84300ccaf6c8414cb8e42a-0-b87d9c504550cfa00c4ed8df0216940043b185eb"
"2015-02","1","de08184513d1e1f65d84300ccaf6c8414cb8e42a-1-751d04ef56a855de2706d1c5ffb7da467ddbd5ee","de08184513d1e1f65d84300ccaf6c8414cb8e42a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","de08184513d1e1f65d84300ccaf6c8414cb8e42a-0-b87d9c504550cfa00c4ed8df0216940043b185eb"
"2012-01","2","de08184513d1e1f65d84300ccaf6c8414cb8e42a-0-c0df5ea10f40942fb955c6dac25436b4864666a8","de08184513d1e1f65d84300ccaf6c8414cb8e42a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","de08184513d1e1f65d84300ccaf6c8414cb8e42a-1-493260bc10045470166c03a4b1c28e0e046f5721"
"2014-05","1","de08184513d1e1f65d84300ccaf6c8414cb8e42a-1-3606e2b2178fb4543c7d417b9fdc3eab70502a4a","de08184513d1e1f65d84300ccaf6c8414cb8e42a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","de08184513d1e1f65d84300ccaf6c8414cb8e42a-1-493260bc10045470166c03a4b1c28e0e046f5721"
"2013-07","2","de08184513d1e1f65d84300ccaf6c8414cb8e42a-0-e012de58bb9b49110a9a41c6df4bfd30abf09fc8","de08184513d1e1f65d84300ccaf6c8414cb8e42a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","de08184513d1e1f65d84300ccaf6c8414cb8e42a-2-5babb6dad8f580fecbd3c2411af2e95c43b9d369"
"2014-12","1","de08184513d1e1f65d84300ccaf6c8414cb8e42a-1-4c300abaf5ae9c85d942c52f9d5bc7c2a7eeb1f3","de08184513d1e1f65d84300ccaf6c8414cb8e42a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","de08184513d1e1f65d84300ccaf6c8414cb8e42a-2-5babb6dad8f580fecbd3c2411af2e95c43b9d369"
"2014-10","3","de08184513d1e1f65d84300ccaf6c8414cb8e42a-0-e7ab2828fcc408d776d610b64d2267c03caf5404","de08184513d1e1f65d84300ccaf6c8414cb8e42a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","de08184513d1e1f65d84300ccaf6c8414cb8e42a-3-47fbf1a6ee00d25b8a6323903afa7a1b7f944a3f"
"2015-10","1","de08184513d1e1f65d84300ccaf6c8414cb8e42a-1-25196d87c090b2fefd607137111d4bb5301dc5c1","de08184513d1e1f65d84300ccaf6c8414cb8e42a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","de08184513d1e1f65d84300ccaf6c8414cb8e42a-3-47fbf1a6ee00d25b8a6323903afa7a1b7f944a3f"
"2015-12","4","de08184513d1e1f65d84300ccaf6c8414cb8e42a-0-8711431d44f92f7fef06584ddf8f96fb9e4897aa","de08184513d1e1f65d84300ccaf6c8414cb8e42a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","de08184513d1e1f65d84300ccaf6c8414cb8e42a-4-2930ff27b76090c314af2e7db5a29654248adc9b"
"2016-10","1","de08184513d1e1f65d84300ccaf6c8414cb8e42a-1-9bb7e266c1ddfc8c94c29b88f123272c9511b645","de08184513d1e1f65d84300ccaf6c8414cb8e42a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","de08184513d1e1f65d84300ccaf6c8414cb8e42a-4-2930ff27b76090c314af2e7db5a29654248adc9b"
"2014-01","2","de08184513d1e1f65d84300ccaf6c8414cb8e42a-0-3c4fbe55625b8684d773dba6f975852171133f1b","de08184513d1e1f65d84300ccaf6c8414cb8e42a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","de08184513d1e1f65d84300ccaf6c8414cb8e42a-0-9a0674b38e1cb0ef4094854c6cab02b163c05b54"
"2015-04","1","de08184513d1e1f65d84300ccaf6c8414cb8e42a-1-d311e60cb55109cc9e659820634a2b8dfa4d925a","de08184513d1e1f65d84300ccaf6c8414cb8e42a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","de08184513d1e1f65d84300ccaf6c8414cb8e42a-0-9a0674b38e1cb0ef4094854c6cab02b163c05b54"
"2015-08","1","de08184513d1e1f65d84300ccaf6c8414cb8e42a-2-f4c45f5db1e923628fdefe2a44dd3ac9a07d591e","de08184513d1e1f65d84300ccaf6c8414cb8e42a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","de08184513d1e1f65d84300ccaf6c8414cb8e42a-0-9a0674b38e1cb0ef4094854c6cab02b163c05b54"
"2015-09","1","de08184513d1e1f65d84300ccaf6c8414cb8e42a-3-340bd37a5a2783c7dd1185538dee8c1fa209f69c","de08184513d1e1f65d84300ccaf6c8414cb8e42a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","de08184513d1e1f65d84300ccaf6c8414cb8e42a-0-9a0674b38e1cb0ef4094854c6cab02b163c05b54"
"2016-10","3","de08184513d1e1f65d84300ccaf6c8414cb8e42a-0-27017ee3ae9b9450a065763866bb1ddc7686dcf4","de08184513d1e1f65d84300ccaf6c8414cb8e42a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","de08184513d1e1f65d84300ccaf6c8414cb8e42a-0-d9ccb6b329a82016d35007fe21df6583df7a8e5c"
"2017-10","4","de08184513d1e1f65d84300ccaf6c8414cb8e42a-0-ea6987adf41a08cca81d6f242f157cd7e2e6d190","de08184513d1e1f65d84300ccaf6c8414cb8e42a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","de08184513d1e1f65d84300ccaf6c8414cb8e42a-1-d76f8d7461173598a058d5e51397df75df193ce8"
"2018-10","5","de08184513d1e1f65d84300ccaf6c8414cb8e42a-0-711aa690cb598a886532ff3f9daee45b2af4d3b6","de08184513d1e1f65d84300ccaf6c8414cb8e42a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","de08184513d1e1f65d84300ccaf6c8414cb8e42a-2-3789e72bbd07d3e322980ed0a2dd8ad9981cf3d3"
"2019-10","4","de08184513d1e1f65d84300ccaf6c8414cb8e42a-0-9954fea372f7707f4f6ab6132faf6651054bdfc5","de08184513d1e1f65d84300ccaf6c8414cb8e42a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","de08184513d1e1f65d84300ccaf6c8414cb8e42a-0-39a8d2d31e0ba39e949b74ff9b2fc0a02178d674"
"2020-10","5","de08184513d1e1f65d84300ccaf6c8414cb8e42a-0-3c5b9d980d79f98622d69e1b8b538d6dfb7f7333","de08184513d1e1f65d84300ccaf6c8414cb8e42a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","de08184513d1e1f65d84300ccaf6c8414cb8e42a-1-f9bfb3eca371ee76ae756e6b605d8df3373cb77c"
"2014-01","2","100d75c4952b99fe669e096bab6fc423ca20ff77-0-7fcdd0355375e3299af81ca40e4ab63ac81843c8","100d75c4952b99fe669e096bab6fc423ca20ff77","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","100d75c4952b99fe669e096bab6fc423ca20ff77-0-14b483f12ec2080363593bb87b7f3fa4e2b141ae"
"2014-10","1","100d75c4952b99fe669e096bab6fc423ca20ff77-1-826755189a73811187ca13891ce17c25d2a3d376","100d75c4952b99fe669e096bab6fc423ca20ff77","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","100d75c4952b99fe669e096bab6fc423ca20ff77-0-14b483f12ec2080363593bb87b7f3fa4e2b141ae"
"2016-04","1","100d75c4952b99fe669e096bab6fc423ca20ff77-2-fa8b255f2c63353c911fddf4b8b1d4e5b6ea7761","100d75c4952b99fe669e096bab6fc423ca20ff77","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","100d75c4952b99fe669e096bab6fc423ca20ff77-0-14b483f12ec2080363593bb87b7f3fa4e2b141ae"
"2016-08","1","100d75c4952b99fe669e096bab6fc423ca20ff77-3-9a5667be689a2d54c733b587530045cd91b8a252","100d75c4952b99fe669e096bab6fc423ca20ff77","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","100d75c4952b99fe669e096bab6fc423ca20ff77-0-14b483f12ec2080363593bb87b7f3fa4e2b141ae"
