"Month_val","Amount_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"2017-12","4","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-0-44a500721abef3cf0b66ee2febaf4232ba4de73c","7ddfbe85b91a6affaacd7630ba558cac6f849fa5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-0-2dcf19798866f1fdc371fbffdf820990ea500a68"
"2018-12","5","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-0-984b654c40918916386849b072122ea800c00d73","7ddfbe85b91a6affaacd7630ba558cac6f849fa5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-1-8c76b137e30de4ace8386f890c404444b5599e68"
"2019-12","3","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-0-b6a18ad5ad451d566b79e51daceef1d8d9462ba5","7ddfbe85b91a6affaacd7630ba558cac6f849fa5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-0-b4c6ec6d8aaece50901d09e87eff15df038deea3"
"2020-12","6","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-0-87a605b44b1042684c8a4a8f89ad092106841372","7ddfbe85b91a6affaacd7630ba558cac6f849fa5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-1-31821035abea992d2e943f0c0c7769ecdc6dbcda"
"2021-12","5","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-0-e5af075ad06fade30c9bff40906840d84eb15f60","7ddfbe85b91a6affaacd7630ba558cac6f849fa5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-2-b63475cba9992111546536aab9e5a310dee3d71b"
"2022-12","4","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-0-55242a6ba3336dae9784dd18922d1ee995adf773","7ddfbe85b91a6affaacd7630ba558cac6f849fa5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","7ddfbe85b91a6affaacd7630ba558cac6f849fa5-3-dc5bd9afc51e679acb2b8546c9fc73c0cc82fd27"
"2014-01","2","a4b42ea41376af149fde0a56a4fda0978d60b49b-0-c3672ba24caefa3a2b5984de1b7f2561672e1280","a4b42ea41376af149fde0a56a4fda0978d60b49b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","a4b42ea41376af149fde0a56a4fda0978d60b49b-0-03a8d77623a0174cb1de425ab2bd99a4ed51d9b7"
"2014-10","1","a4b42ea41376af149fde0a56a4fda0978d60b49b-1-5f860bf9f7a3055ae3fd39469dab4b0a975ce7b5","a4b42ea41376af149fde0a56a4fda0978d60b49b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","a4b42ea41376af149fde0a56a4fda0978d60b49b-0-03a8d77623a0174cb1de425ab2bd99a4ed51d9b7"
"2016-04","1","a4b42ea41376af149fde0a56a4fda0978d60b49b-2-25c28aa7e6dde08b1f8165c24348bccc1ca264d3","a4b42ea41376af149fde0a56a4fda0978d60b49b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","a4b42ea41376af149fde0a56a4fda0978d60b49b-0-03a8d77623a0174cb1de425ab2bd99a4ed51d9b7"
"2016-08","1","a4b42ea41376af149fde0a56a4fda0978d60b49b-3-68c3c1ff49d282be488d1a5b0dde3fbe1b6b3b9d","a4b42ea41376af149fde0a56a4fda0978d60b49b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","a4b42ea41376af149fde0a56a4fda0978d60b49b-0-03a8d77623a0174cb1de425ab2bd99a4ed51d9b7"
