"Month_val","Amount_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"2017-05","66.000","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-0bf2e7878ecb3a2ade1d5d53ddbf37e52e7964ba","0b89057bc4c074ca43d800323dbfe9fbbffd59f3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-ef7bb7f0c8ad004bf8e5f78e707f2503dc546b6d"
"2017-06","66.000","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-1-a1c13919b772983733f7a4ce0fd312cb39c4715b","0b89057bc4c074ca43d800323dbfe9fbbffd59f3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-ef7bb7f0c8ad004bf8e5f78e707f2503dc546b6d"
"2017-07","66.000","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-2-e0e73810d4286a0bfb0f2770fd489767ffeae9cf","0b89057bc4c074ca43d800323dbfe9fbbffd59f3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-ef7bb7f0c8ad004bf8e5f78e707f2503dc546b6d"
"2017-08","66.000","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-3-e2c767ee6469126fdb3384ee40b17e8abbc83300","0b89057bc4c074ca43d800323dbfe9fbbffd59f3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-ef7bb7f0c8ad004bf8e5f78e707f2503dc546b6d"
"2017-09","66.000","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-4-60d9e818c5a4cec5c24d99022c5deea1c81b54f6","0b89057bc4c074ca43d800323dbfe9fbbffd59f3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-ef7bb7f0c8ad004bf8e5f78e707f2503dc546b6d"
"2017-10","66.000","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-5-609103f135a537baba734af28cd0fe255028d679","0b89057bc4c074ca43d800323dbfe9fbbffd59f3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-ef7bb7f0c8ad004bf8e5f78e707f2503dc546b6d"
"2017-11","66.000","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-6-2274080786a1794432ff7c3b560647c6140c8e23","0b89057bc4c074ca43d800323dbfe9fbbffd59f3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-ef7bb7f0c8ad004bf8e5f78e707f2503dc546b6d"
"2017-12","66.000","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-7-4ffa5c759e8cdd581a6fe094f1efb9ee46d96714","0b89057bc4c074ca43d800323dbfe9fbbffd59f3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-ef7bb7f0c8ad004bf8e5f78e707f2503dc546b6d"
"2018-01","66.000","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-8-57642814769dc410340f5724bf224efea3769092","0b89057bc4c074ca43d800323dbfe9fbbffd59f3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-ef7bb7f0c8ad004bf8e5f78e707f2503dc546b6d"
"2018-02","68.000","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-9-fe6a18dc6a25737a4def6aa8efdbfb43f32da00a","0b89057bc4c074ca43d800323dbfe9fbbffd59f3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-ef7bb7f0c8ad004bf8e5f78e707f2503dc546b6d"
