"Title_val","Funding_PriorYear_val","Funding_CurrentYear_val","Funding_BudgetYearOne_val","Funding_BudgetYearOneBase_val","Funding_BudgetYearOneOCO_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Rate/Misc Adjustments","0.000","0.000","-0.065","-0.065","","002a9b1877f94d54a1412e77795ea7b02676b1b4-0-682ef953f4d1280ebf2767fdf858f4696b619ece","002a9b1877f94d54a1412e77795ea7b02676b1b4","root","002a9b1877f94d54a1412e77795ea7b02676b1b4-bcb6daa8f1a854a34d949cd943c71418d8d65a60"
"Baseline Adjustments","23.000","","","","","0057f9a3bdc0c5231142ee4d7395e15c8de2ed68-0-8c4851c5c04f37e27dfaaa6c4417586b8800b461","0057f9a3bdc0c5231142ee4d7395e15c8de2ed68","root","0057f9a3bdc0c5231142ee4d7395e15c8de2ed68-729a5fc7ce15d53c10704caf991304e08d16a3ca"
"Adjustments to Budget Years","","","-14.524","-14.524","","00ef9305fcfeec04080bdf5fc30f392d194cf0e9-0-75eeec4efe2b883d34f66c5ed9c80c31e4269555","00ef9305fcfeec04080bdf5fc30f392d194cf0e9","root","00ef9305fcfeec04080bdf5fc30f392d194cf0e9-dfaa1a9920e9073acce651add327046894a84976"
"Other Adjustments","0.000","0.000","-0.219","-0.219","","00f9cbb9aaf9e34127d5f1143a233d06306e4928-0-207fbd8f424b80bb75fa8f446679b8c3ec4d6da6","00f9cbb9aaf9e34127d5f1143a233d06306e4928","root","00f9cbb9aaf9e34127d5f1143a233d06306e4928-714079d7ecfa6d5627d3a35d5fc9bccc58f4fe70"
"Other Adjustments","0.000","0.000","18.454","18.454","","01018166ec2c1c69c683e9a2fc6f4cbd263681ed-0-3fec08af096107f43d5203a52e244638519915d9","01018166ec2c1c69c683e9a2fc6f4cbd263681ed","root","01018166ec2c1c69c683e9a2fc6f4cbd263681ed-1e0dc4a1dc0b1bc150cd77c721485a3774abb0f0"
"Rate/Misc Adjustments","0.000","0.000","-0.036","-0.036","","0113e27e66f15566b86d270241ca3a8b4c476285-0-e582ea3702190f2cf2e3657b7a7aa3ebf007f3ea","0113e27e66f15566b86d270241ca3a8b4c476285","root","0113e27e66f15566b86d270241ca3a8b4c476285-104d7f2dbfcd708a088fcddfd727f47dc39e2a68"
"Other Adjustments","0.000","0.000","-14.650","-14.650","","01bbdafffadea297596e2d6557aeba06816dc89a-0-6113e37a7daf527213ddf38f4d41ae4db8c263a3","01bbdafffadea297596e2d6557aeba06816dc89a","root","01bbdafffadea297596e2d6557aeba06816dc89a-fc31b14ac3475b25db662cf99e7d3b1f244e63db"
"Other Adjustments 1","","","1.944","1.944","","0231f88bee16e5e7804133f2a1af229a97d8b4ed-0-ca21bd7b60fc04b857f8dbd02105aaa00072ec23","0231f88bee16e5e7804133f2a1af229a97d8b4ed","root","0231f88bee16e5e7804133f2a1af229a97d8b4ed-32017bcaf12cb739866f8cd45d6fca9bd41f3823"
"Other Adjustments","0.000","0.000","-0.899","-0.899","","02f30ed72bdf5e60663491c893076b50c1f983f9-0-9de73df6a5782d5f27bcc75e174828be3133015c","02f30ed72bdf5e60663491c893076b50c1f983f9","root","02f30ed72bdf5e60663491c893076b50c1f983f9-d548aeccf087bc486072a8fdd67450f8889b1389"
"Other Adjustments","0.000","0.000","-4.677","-4.677","","03165c85441d5ab54f75c404fa762618afdf7ee9-0-ab27267af0ddd2c9c013720b3653202cb00ab5a9","03165c85441d5ab54f75c404fa762618afdf7ee9","root","03165c85441d5ab54f75c404fa762618afdf7ee9-f224661d901fff6eed6856e34e38e4254e0f3573"
"Other adjustments","-0.284","0.000","-5.917","-5.917","","03b816021b0d74a4d22df20a69d805392d11fc00-0-67116e80488fc4506a4cdd369c71453733faa479","03b816021b0d74a4d22df20a69d805392d11fc00","root","03b816021b0d74a4d22df20a69d805392d11fc00-9ce07ad409f17ccf6423e6ddf2926a6ffc188dea"
"Program Adjustments","0.000","0.000","-2.256","-2.256","","043656b0dbe3f28e69416d7fe86b2c4ca9d54d94-0-adb7dcd24f2e4f798a899024f3f253b65b3ced40","043656b0dbe3f28e69416d7fe86b2c4ca9d54d94","root","043656b0dbe3f28e69416d7fe86b2c4ca9d54d94-f77d35b5b302a25d6b85fd0c1f9d0dd1d9ce7742"
"Rate/Misc Adjustments","0.000","0.000","1.992","1.992","","043656b0dbe3f28e69416d7fe86b2c4ca9d54d94-1-a345ce45f9d4e65d15285408d571738a5737f11f","043656b0dbe3f28e69416d7fe86b2c4ca9d54d94","root","043656b0dbe3f28e69416d7fe86b2c4ca9d54d94-f77d35b5b302a25d6b85fd0c1f9d0dd1d9ce7742"
"Other Adjustments","0.000","0.000","-6.156","-6.156","","043a5de3a3bacd64e184ee3930eec0af052acfdd-0-5b964abb5b8aa8f554ceb2128bbd85f11999595a","043a5de3a3bacd64e184ee3930eec0af052acfdd","root","043a5de3a3bacd64e184ee3930eec0af052acfdd-2c3f1c1b71738f778cc6f00cf7b3546ed9211d88"
"Program Adjustments","0.000","0.000","-0.824","-0.824","","043b757942f4bd11fb01c1ea211aae0284f38f63-0-edb9a5cfccaa45abeea6f8f061ff252395265e31","043b757942f4bd11fb01c1ea211aae0284f38f63","root","043b757942f4bd11fb01c1ea211aae0284f38f63-e70028bf67cd2f166be15eba4dcde178d3b2434f"
"Rate/Misc Adjustments","0.000","0.000","-1.229","-1.229","","043b757942f4bd11fb01c1ea211aae0284f38f63-1-39b2bd9937104d13a17f5413b33cfb2c2885258c","043b757942f4bd11fb01c1ea211aae0284f38f63","root","043b757942f4bd11fb01c1ea211aae0284f38f63-e70028bf67cd2f166be15eba4dcde178d3b2434f"
