"id","fiscal_year.meta.partial.fields","timestamp_iso8601.meta.partial.fields","timestamp.meta.partial.fields","source.meta.partial.fields","data_type.meta.partial.fields","catalog.meta.partial.fields","classification.meta.partial.fields","source_filename.meta.partial.fields","resource.meta.partial.fields","type.meta.partial.fields","value.BudgetYear.record.partial.fields","value.LineItemTitle.record.partial.fields","value.LineItemNumber.record.partial.fields","@quantityUnitName.record.partial.fields","@quantityUnits.record.partial.fields","value.BudgetSubActivityTitle.record.partial.fields","value.SubmissionDate.record.partial.fields","value.BudgetActivityTitle.record.partial.fields","value.BudgetCycle.record.partial.fields","value.Description.record.partial.fields","value.ServiceAgencyName.record.partial.fields","value.TotalCost.BudgetYearFour.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.Quantity.BudgetYearFour.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.TotalCost.BudgetYearThree.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.Quantity.BudgetYearThree.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.TotalCost.BudgetYearOneBase.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.Quantity.BudgetYearOneBase.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.TotalCost.PriorYear.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.Quantity.PriorYear.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.TotalCost.CurrentYear.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.Quantity.CurrentYear.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.TotalCost.BudgetYearTwo.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.Quantity.BudgetYearTwo.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.TotalCost.BudgetYearOne.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.Quantity.BudgetYearOne.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.Name.Component.ComponentList.ComponentSplit.record.partial.fields","value.P1LineNumber.record.partial.fields","@totalCostUnits.record.partial.fields","@unitCostUnits.record.partial.fields","value.Justification.record.partial.fields","value.ProgramElementNumber.OtherRelatedProgramElementList.record.partial.fields","value.AppropriationTitle.record.partial.fields","value.CostType.record.partial.fields","value.AppropriationNumber.record.partial.fields","value.BudgetActivityNumber.record.partial.fields","value.BudgetSubActivityNumber.record.partial.fields","value.TotalCost.BudgetYearFive.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.TotalCost.BudgetYearOneOCO.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.Quantity.BudgetYearOneOCO.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.Code.record.partial.fields","@manufacturerRateUnits.record.partial.fields","value.MDAPCode.record.partial.fields","value.Quantity.BudgetYearFive.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.TotalCost.AllPriorYears.Cost.Component.ComponentList.ComponentSplit.record.partial.fields",
"c5e06f285ac8dc7e7691bc89fb530734","2014","2014-12-15T20:56:57+00:00","1418677017","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2014.xml","procurement-amended","2014","2014","Large Aircraft Infrared Countermeasures","LAIRCM","Each","Each","Strategic Aircraft","2013-05","Modification of Inservice Aircraft","PBAmended","The Large Aircraft Infrared Countermeasures (LAIRCM) system provides a significantly improved defensive capability for the Department of Defense to counter the proliferating infrared (IR) man-portable air defense systems (MANPADS) missile threats.  This system is fully automatic following power-up and consists of group A aircraft modification kits and group B equipment.  The LAIRCM system [AN/AQQ-24(V)] consists of Missile Warning Sensors (MWS) Guardian Laser Transmitter Assemblies (GLTA)/Small Laser Transmitter Assemblies (SLTA) a colorless eye-safe multiband laser Control Indicator Unit (CIU) a system processor to detect track and counter incoming IR missiles and repeaters as needed by the platform.Enhancements and retrofits to the current configuration were planned for purchase and installation in FY08 and beyond.  These enhancements include retrofits of the SLTA to a smaller lighter GLTA. In addition the current AAR-54 sensor will be replaced by a more effective infrared (IR) Next Generation Missile Warning Sensor (NexGen MWS). The processor and CIU are also slated to be replaced with updated versions that address Diminishing Manufacturing Sources (DMS) and improve reliability.	The LAIRCM production modification funds individual platforms via their P-1 line items through FY12 (P-1 lines: C-130J #65; C-17 #48; C-5 #43; C-130 #63; and HC/MC-130 Recap #75).  The production modification funding continues in FY13 via the LAIRCM P-1 line item (#35).  This change consolidates all Air Force LAIRCM production funding under a single P-1 line item and facilitates improved financial reporting and flexibility in meeting warfighter requirements.  However each individual platform program office retains program management requirements generation and reporting responsibilities for their LAIRCM modification programs.Funding for this exhibit contained in PE 0401134F.The total $168.6M in FY13 funding is comprised of $139.8M OCO and $28.8M in baseline.The total FY14 funding $121.2M is comprised of $27.2M in baseline and $94.0M OCO.  This OCO funding modifies C-130J and HC/MC-130J aircraft operating in theater or in direct support of combat operations purchases.","Air Force","26.115","","25.688","","27.197","","0.000","","164.725","","25.791","","106.047","","Air Force Active","","","","","","","","","","","26.588","78.85","","A","","","","",
"c5e06f285ac8dc7e7691bc89fb530734","2014","2014-12-15T20:56:57+00:00","1418677017","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2014.xml","procurement-amended","2014","2014","Large Aircraft Infrared Countermeasures","LAIRCM","Each","Each","Strategic Aircraft","2013-05","Modification of Inservice Aircraft","PBAmended","The Large Aircraft Infrared Countermeasures (LAIRCM) system provides a significantly improved defensive capability for the Department of Defense to counter the proliferating infrared (IR) man-portable air defense systems (MANPADS) missile threats.  This system is fully automatic following power-up and consists of group A aircraft modification kits and group B equipment.  The LAIRCM system [AN/AQQ-24(V)] consists of Missile Warning Sensors (MWS) Guardian Laser Transmitter Assemblies (GLTA)/Small Laser Transmitter Assemblies (SLTA) a colorless eye-safe multiband laser Control Indicator Unit (CIU) a system processor to detect track and counter incoming IR missiles and repeaters as needed by the platform.Enhancements and retrofits to the current configuration were planned for purchase and installation in FY08 and beyond.  These enhancements include retrofits of the SLTA to a smaller lighter GLTA. In addition the current AAR-54 sensor will be replaced by a more effective infrared (IR) Next Generation Missile Warning Sensor (NexGen MWS). The processor and CIU are also slated to be replaced with updated versions that address Diminishing Manufacturing Sources (DMS) and improve reliability.	The LAIRCM production modification funds individual platforms via their P-1 line items through FY12 (P-1 lines: C-130J #65; C-17 #48; C-5 #43; C-130 #63; and HC/MC-130 Recap #75).  The production modification funding continues in FY13 via the LAIRCM P-1 line item (#35).  This change consolidates all Air Force LAIRCM production funding under a single P-1 line item and facilitates improved financial reporting and flexibility in meeting warfighter requirements.  However each individual platform program office retains program management requirements generation and reporting responsibilities for their LAIRCM modification programs.Funding for this exhibit contained in PE 0401134F.The total $168.6M in FY13 funding is comprised of $139.8M OCO and $28.8M in baseline.The total FY14 funding $121.2M is comprised of $27.2M in baseline and $94.0M OCO.  This OCO funding modifies C-130J and HC/MC-130J aircraft operating in theater or in direct support of combat operations purchases.","Air Force","","","","","","","","","","","","","15.2","","Air National Guard","","","","","","","","","","","","15.2","","A","","","","",
"c5e06f285ac8dc7e7691bc89fb530734","2014","2014-12-15T20:56:57+00:00","1418677017","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2014.xml","procurement-amended","2014","2014","Large Aircraft Infrared Countermeasures","LAIRCM","Each","Each","Strategic Aircraft","2013-05","Modification of Inservice Aircraft","PBAmended","The Large Aircraft Infrared Countermeasures (LAIRCM) system provides a significantly improved defensive capability for the Department of Defense to counter the proliferating infrared (IR) man-portable air defense systems (MANPADS) missile threats.  This system is fully automatic following power-up and consists of group A aircraft modification kits and group B equipment.  The LAIRCM system [AN/AQQ-24(V)] consists of Missile Warning Sensors (MWS) Guardian Laser Transmitter Assemblies (GLTA)/Small Laser Transmitter Assemblies (SLTA) a colorless eye-safe multiband laser Control Indicator Unit (CIU) a system processor to detect track and counter incoming IR missiles and repeaters as needed by the platform.Enhancements and retrofits to the current configuration were planned for purchase and installation in FY08 and beyond.  These enhancements include retrofits of the SLTA to a smaller lighter GLTA. In addition the current AAR-54 sensor will be replaced by a more effective infrared (IR) Next Generation Missile Warning Sensor (NexGen MWS). The processor and CIU are also slated to be replaced with updated versions that address Diminishing Manufacturing Sources (DMS) and improve reliability.	The LAIRCM production modification funds individual platforms via their P-1 line items through FY12 (P-1 lines: C-130J #65; C-17 #48; C-5 #43; C-130 #63; and HC/MC-130 Recap #75).  The production modification funding continues in FY13 via the LAIRCM P-1 line item (#35).  This change consolidates all Air Force LAIRCM production funding under a single P-1 line item and facilitates improved financial reporting and flexibility in meeting warfighter requirements.  However each individual platform program office retains program management requirements generation and reporting responsibilities for their LAIRCM modification programs.Funding for this exhibit contained in PE 0401134F.The total $168.6M in FY13 funding is comprised of $139.8M OCO and $28.8M in baseline.The total FY14 funding $121.2M is comprised of $27.2M in baseline and $94.0M OCO.  This OCO funding modifies C-130J and HC/MC-130J aircraft operating in theater or in direct support of combat operations purchases.","Air Force","","","","","","","","","3.875","","","","","","Air Force Reserve","32","Millions","Millions","Where applicable justification for individual modifications is provided in the P-3A exhibits.","0401134F","Aircraft Procurement Air Force","AB","3010F","5","1","","","","A","","","","",
"863e1570b2ff9af0469cac228a04637d","2014","2014-12-15T20:56:58+00:00","1418677018","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2014.xml","procurement-amended","2014","2014","C-130","C13000","Each","Each","Other Aircraft","2013-05","Modification of Inservice Aircraft","PBAmended","FY12 funding totals include $175.521M appropriated for Overseas Contingency Operations. This line item funds modifications to the C-130 and Special Mission C-130 aircraft.  The four engine C-130 provides theater airlift and carries either 92 troops 64 paratroopers 74 litter patients or 6 standard 463-L pallets.  The primary modifications budgeted in FY14 are the Systems/Structure mod (Center Wing Replacement) the Identify Friend or Foe/Selective Identification Feature (IFF/SIF) Mode 5 upgrade and the Minimize C-130 Communication Navigation Surveillance/Air Traffic Management (CNS/ATM) program. Beginning in FY12 procurement funding for C-130 Avionics Modernization Program (AMP) was moved to a separate budget line (P-1 line #46).  Prior year funds are shown here. The specific modifications budgeted and programmed are listed below.FY14 OCO Funds:  This NEW START effort funds the modification of 21 HC-130s with the AAR-47(V)2. This upgrade provides improved sensors that eliminate sensor blackening (a known failure mode) increases temperature tolerance and sensitivity and includes a laser detector and a hostile fire indicator to alert crews of small arms RPG and laser threats.  The upgraded sensors and processors are "plug and play" with the existing AAR-47 system and will only require a unit-level field installation.  Small arms RPGs and laser threats are the most common threats HC-130s are exposed to; HC-130 employs no warning system to alert crews of these threats.  Unacceptable IR missile false alarm rate of current system has desensitized aircrews.Funding for this exhibit contained in PEs 0401115F 0504343F.","Air Force","35.145","","23.195","","31.383","","185.498","","59.005","","25.264","","31.705","","Air Force Active","","","","","","","","","","","49.782","0.322","","A","","257298","","1169.889",
"863e1570b2ff9af0469cac228a04637d","2014","2014-12-15T20:56:58+00:00","1418677018","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2014.xml","procurement-amended","2014","2014","C-130","C13000","Each","Each","Other Aircraft","2013-05","Modification of Inservice Aircraft","PBAmended","FY12 funding totals include $175.521M appropriated for Overseas Contingency Operations. This line item funds modifications to the C-130 and Special Mission C-130 aircraft.  The four engine C-130 provides theater airlift and carries either 92 troops 64 paratroopers 74 litter patients or 6 standard 463-L pallets.  The primary modifications budgeted in FY14 are the Systems/Structure mod (Center Wing Replacement) the Identify Friend or Foe/Selective Identification Feature (IFF/SIF) Mode 5 upgrade and the Minimize C-130 Communication Navigation Surveillance/Air Traffic Management (CNS/ATM) program. Beginning in FY12 procurement funding for C-130 Avionics Modernization Program (AMP) was moved to a separate budget line (P-1 line #46).  Prior year funds are shown here. The specific modifications budgeted and programmed are listed below.FY14 OCO Funds:  This NEW START effort funds the modification of 21 HC-130s with the AAR-47(V)2. This upgrade provides improved sensors that eliminate sensor blackening (a known failure mode) increases temperature tolerance and sensitivity and includes a laser detector and a hostile fire indicator to alert crews of small arms RPG and laser threats.  The upgraded sensors and processors are "plug and play" with the existing AAR-47 system and will only require a unit-level field installation.  Small arms RPGs and laser threats are the most common threats HC-130s are exposed to; HC-130 employs no warning system to alert crews of these threats.  Unacceptable IR missile false alarm rate of current system has desensitized aircrews.Funding for this exhibit contained in PEs 0401115F 0504343F.","Air Force","11.368","","4.99","","8.26","","21.225","","9.398","","7.143","","9.196","","Air National Guard","","","","","","","","","","","24.58","0.936","","A","","257298","","237.712",
"863e1570b2ff9af0469cac228a04637d","2014","2014-12-15T20:56:58+00:00","1418677018","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2014.xml","procurement-amended","2014","2014","C-130","C13000","Each","Each","Other Aircraft","2013-05","Modification of Inservice Aircraft","PBAmended","FY12 funding totals include $175.521M appropriated for Overseas Contingency Operations. This line item funds modifications to the C-130 and Special Mission C-130 aircraft.  The four engine C-130 provides theater airlift and carries either 92 troops 64 paratroopers 74 litter patients or 6 standard 463-L pallets.  The primary modifications budgeted in FY14 are the Systems/Structure mod (Center Wing Replacement) the Identify Friend or Foe/Selective Identification Feature (IFF/SIF) Mode 5 upgrade and the Minimize C-130 Communication Navigation Surveillance/Air Traffic Management (CNS/ATM) program. Beginning in FY12 procurement funding for C-130 Avionics Modernization Program (AMP) was moved to a separate budget line (P-1 line #46).  Prior year funds are shown here. The specific modifications budgeted and programmed are listed below.FY14 OCO Funds:  This NEW START effort funds the modification of 21 HC-130s with the AAR-47(V)2. This upgrade provides improved sensors that eliminate sensor blackening (a known failure mode) increases temperature tolerance and sensitivity and includes a laser detector and a hostile fire indicator to alert crews of small arms RPG and laser threats.  The upgraded sensors and processors are "plug and play" with the existing AAR-47 system and will only require a unit-level field installation.  Small arms RPGs and laser threats are the most common threats HC-130s are exposed to; HC-130 employs no warning system to alert crews of these threats.  Unacceptable IR missile false alarm rate of current system has desensitized aircrews.Funding for this exhibit contained in PEs 0401115F 0504343F.","Air Force","15.557","","7.278","","18.934","","13.492","","10.85","","3.821","","19.294","","Air Force Reserve","59","Millions","Millions","","0207217F","","","","","","21.758","0.36","","A","","257298","","147.722",
"863e1570b2ff9af0469cac228a04637d","2014","2014-12-15T20:56:58+00:00","1418677018","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2014.xml","procurement-amended","2014","2014","C-130","C13000","Each","Each","Other Aircraft","2013-05","Modification of Inservice Aircraft","PBAmended","FY12 funding totals include $175.521M appropriated for Overseas Contingency Operations. This line item funds modifications to the C-130 and Special Mission C-130 aircraft.  The four engine C-130 provides theater airlift and carries either 92 troops 64 paratroopers 74 litter patients or 6 standard 463-L pallets.  The primary modifications budgeted in FY14 are the Systems/Structure mod (Center Wing Replacement) the Identify Friend or Foe/Selective Identification Feature (IFF/SIF) Mode 5 upgrade and the Minimize C-130 Communication Navigation Surveillance/Air Traffic Management (CNS/ATM) program. Beginning in FY12 procurement funding for C-130 Avionics Modernization Program (AMP) was moved to a separate budget line (P-1 line #46).  Prior year funds are shown here. The specific modifications budgeted and programmed are listed below.FY14 OCO Funds:  This NEW START effort funds the modification of 21 HC-130s with the AAR-47(V)2. This upgrade provides improved sensors that eliminate sensor blackening (a known failure mode) increases temperature tolerance and sensitivity and includes a laser detector and a hostile fire indicator to alert crews of small arms RPG and laser threats.  The upgraded sensors and processors are "plug and play" with the existing AAR-47 system and will only require a unit-level field installation.  Small arms RPGs and laser threats are the most common threats HC-130s are exposed to; HC-130 employs no warning system to alert crews of these threats.  Unacceptable IR missile false alarm rate of current system has desensitized aircrews.Funding for this exhibit contained in PEs 0401115F 0504343F.","Air Force","15.557","","7.278","","18.934","","13.492","","10.85","","3.821","","19.294","","Air Force Reserve","59","Millions","Millions","","0401115F","","","","","","21.758","0.36","","A","","257298","","147.722",
"863e1570b2ff9af0469cac228a04637d","2014","2014-12-15T20:56:58+00:00","1418677018","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2014.xml","procurement-amended","2014","2014","C-130","C13000","Each","Each","Other Aircraft","2013-05","Modification of Inservice Aircraft","PBAmended","FY12 funding totals include $175.521M appropriated for Overseas Contingency Operations. This line item funds modifications to the C-130 and Special Mission C-130 aircraft.  The four engine C-130 provides theater airlift and carries either 92 troops 64 paratroopers 74 litter patients or 6 standard 463-L pallets.  The primary modifications budgeted in FY14 are the Systems/Structure mod (Center Wing Replacement) the Identify Friend or Foe/Selective Identification Feature (IFF/SIF) Mode 5 upgrade and the Minimize C-130 Communication Navigation Surveillance/Air Traffic Management (CNS/ATM) program. Beginning in FY12 procurement funding for C-130 Avionics Modernization Program (AMP) was moved to a separate budget line (P-1 line #46).  Prior year funds are shown here. The specific modifications budgeted and programmed are listed below.FY14 OCO Funds:  This NEW START effort funds the modification of 21 HC-130s with the AAR-47(V)2. This upgrade provides improved sensors that eliminate sensor blackening (a known failure mode) increases temperature tolerance and sensitivity and includes a laser detector and a hostile fire indicator to alert crews of small arms RPG and laser threats.  The upgraded sensors and processors are "plug and play" with the existing AAR-47 system and will only require a unit-level field installation.  Small arms RPGs and laser threats are the most common threats HC-130s are exposed to; HC-130 employs no warning system to alert crews of these threats.  Unacceptable IR missile false alarm rate of current system has desensitized aircrews.Funding for this exhibit contained in PEs 0401115F 0504343F.","Air Force","15.557","","7.278","","18.934","","13.492","","10.85","","3.821","","19.294","","Air Force Reserve","59","Millions","Millions","","0404011F","","","","","","21.758","0.36","","A","","257298","","147.722",
"863e1570b2ff9af0469cac228a04637d","2014","2014-12-15T20:56:58+00:00","1418677018","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2014.xml","procurement-amended","2014","2014","C-130","C13000","Each","Each","Other Aircraft","2013-05","Modification of Inservice Aircraft","PBAmended","FY12 funding totals include $175.521M appropriated for Overseas Contingency Operations. This line item funds modifications to the C-130 and Special Mission C-130 aircraft.  The four engine C-130 provides theater airlift and carries either 92 troops 64 paratroopers 74 litter patients or 6 standard 463-L pallets.  The primary modifications budgeted in FY14 are the Systems/Structure mod (Center Wing Replacement) the Identify Friend or Foe/Selective Identification Feature (IFF/SIF) Mode 5 upgrade and the Minimize C-130 Communication Navigation Surveillance/Air Traffic Management (CNS/ATM) program. Beginning in FY12 procurement funding for C-130 Avionics Modernization Program (AMP) was moved to a separate budget line (P-1 line #46).  Prior year funds are shown here. The specific modifications budgeted and programmed are listed below.FY14 OCO Funds:  This NEW START effort funds the modification of 21 HC-130s with the AAR-47(V)2. This upgrade provides improved sensors that eliminate sensor blackening (a known failure mode) increases temperature tolerance and sensitivity and includes a laser detector and a hostile fire indicator to alert crews of small arms RPG and laser threats.  The upgraded sensors and processors are "plug and play" with the existing AAR-47 system and will only require a unit-level field installation.  Small arms RPGs and laser threats are the most common threats HC-130s are exposed to; HC-130 employs no warning system to alert crews of these threats.  Unacceptable IR missile false alarm rate of current system has desensitized aircrews.Funding for this exhibit contained in PEs 0401115F 0504343F.","Air Force","15.557","","7.278","","18.934","","13.492","","10.85","","3.821","","19.294","","Air Force Reserve","59","Millions","Millions","","0207442F","","","","","","21.758","0.36","","A","","257298","","147.722",
"863e1570b2ff9af0469cac228a04637d","2014","2014-12-15T20:56:58+00:00","1418677018","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2014.xml","procurement-amended","2014","2014","C-130","C13000","Each","Each","Other Aircraft","2013-05","Modification of Inservice Aircraft","PBAmended","FY12 funding totals include $175.521M appropriated for Overseas Contingency Operations. This line item funds modifications to the C-130 and Special Mission C-130 aircraft.  The four engine C-130 provides theater airlift and carries either 92 troops 64 paratroopers 74 litter patients or 6 standard 463-L pallets.  The primary modifications budgeted in FY14 are the Systems/Structure mod (Center Wing Replacement) the Identify Friend or Foe/Selective Identification Feature (IFF/SIF) Mode 5 upgrade and the Minimize C-130 Communication Navigation Surveillance/Air Traffic Management (CNS/ATM) program. Beginning in FY12 procurement funding for C-130 Avionics Modernization Program (AMP) was moved to a separate budget line (P-1 line #46).  Prior year funds are shown here. The specific modifications budgeted and programmed are listed below.FY14 OCO Funds:  This NEW START effort funds the modification of 21 HC-130s with the AAR-47(V)2. This upgrade provides improved sensors that eliminate sensor blackening (a known failure mode) increases temperature tolerance and sensitivity and includes a laser detector and a hostile fire indicator to alert crews of small arms RPG and laser threats.  The upgraded sensors and processors are "plug and play" with the existing AAR-47 system and will only require a unit-level field installation.  Small arms RPGs and laser threats are the most common threats HC-130s are exposed to; HC-130 employs no warning system to alert crews of these threats.  Unacceptable IR missile false alarm rate of current system has desensitized aircrews.Funding for this exhibit contained in PEs 0401115F 0504343F.","Air Force","15.557","","7.278","","18.934","","13.492","","10.85","","3.821","","19.294","","Air Force Reserve","59","Millions","Millions","","0401134F","","","","","","21.758","0.36","","A","","257298","","147.722",
