"id","fiscal_year.meta.partial.fields","timestamp_iso8601.meta.partial.fields","timestamp.meta.partial.fields","source.meta.partial.fields","data_type.meta.partial.fields","catalog.meta.partial.fields","classification.meta.partial.fields","source_filename.meta.partial.fields","resource.meta.partial.fields","type.meta.partial.fields","value.BudgetYearFour.TotalSparesCost.P18Item.ItemExhibitList.record.partial.fields","value.BudgetYearThree.TotalSparesCost.P18Item.ItemExhibitList.record.partial.fields","value.BudgetYearFive.TotalSparesCost.P18Item.ItemExhibitList.record.partial.fields","value.BudgetYearOneBase.TotalSparesCost.P18Item.ItemExhibitList.record.partial.fields","value.BudgetYearTwo.TotalSparesCost.P18Item.ItemExhibitList.record.partial.fields","value.CurrentYear.TotalSparesCost.P18Item.ItemExhibitList.record.partial.fields","value.PriorYear.TotalSparesCost.P18Item.ItemExhibitList.record.partial.fields","value.BudgetYearOne.TotalSparesCost.P18Item.ItemExhibitList.record.partial.fields","value.Total.TotalSparesCost.P18Item.ItemExhibitList.record.partial.fields","value.BudgetYearOneOCO.TotalSparesCost.P18Item.ItemExhibitList.record.partial.fields","value.Name.P18Item.ItemExhibitList.record.partial.fields","value.LineItemNumber.EndItem.EndItemList.EndItemBudgetActivity.InitialSpares.P18Item.ItemExhibitList.record.partial.fields","value.BudgetYearFour.Cost.EndItem.EndItemList.EndItemBudgetActivity.InitialSpares.P18Item.ItemExhibitList.record.partial.fields","value.BudgetYearThree.Cost.EndItem.EndItemList.EndItemBudgetActivity.InitialSpares.P18Item.ItemExhibitList.record.partial.fields","value.BudgetYearFive.Cost.EndItem.EndItemList.EndItemBudgetActivity.InitialSpares.P18Item.ItemExhibitList.record.partial.fields","value.BudgetYearOneBase.Cost.EndItem.EndItemList.EndItemBudgetActivity.InitialSpares.P18Item.ItemExhibitList.record.partial.fields","value.BudgetYearTwo.Cost.EndItem.EndItemList.EndItemBudgetActivity.InitialSpares.P18Item.ItemExhibitList.record.partial.fields","value.CurrentYear.Cost.EndItem.EndItemList.EndItemBudgetActivity.InitialSpares.P18Item.ItemExhibitList.record.partial.fields","value.PriorYear.Cost.EndItem.EndItemList.EndItemBudgetActivity.InitialSpares.P18Item.ItemExhibitList.record.partial.fields","value.BudgetYearOne.Cost.EndItem.EndItemList.EndItemBudgetActivity.InitialSpares.P18Item.ItemExhibitList.record.partial.fields","value.Total.Cost.EndItem.EndItemList.EndItemBudgetActivity.InitialSpares.P18Item.ItemExhibitList.record.partial.fields","value.BudgetYearOneOCO.Cost.EndItem.EndItemList.EndItemBudgetActivity.InitialSpares.P18Item.ItemExhibitList.record.partial.fields","value.Name.EndItem.EndItemList.EndItemBudgetActivity.InitialSpares.P18Item.ItemExhibitList.record.partial.fields","value.BudgetActivityNumber.EndItemBudgetActivity.InitialSpares.P18Item.ItemExhibitList.record.partial.fields","value.BudgetActivityTitle.EndItemBudgetActivity.InitialSpares.P18Item.ItemExhibitList.record.partial.fields","value.BudgetYearFour.SubtotalSparesCost.InitialSpares.P18Item.ItemExhibitList.record.partial.fields","value.BudgetYearThree.SubtotalSparesCost.InitialSpares.P18Item.ItemExhibitList.record.partial.fields","value.BudgetYearFive.SubtotalSparesCost.InitialSpares.P18Item.ItemExhibitList.record.partial.fields","value.BudgetYearOneBase.SubtotalSparesCost.InitialSpares.P18Item.ItemExhibitList.record.partial.fields","value.BudgetYearTwo.SubtotalSparesCost.InitialSpares.P18Item.ItemExhibitList.record.partial.fields","value.CurrentYear.SubtotalSparesCost.InitialSpares.P18Item.ItemExhibitList.record.partial.fields","value.PriorYear.SubtotalSparesCost.InitialSpares.P18Item.ItemExhibitList.record.partial.fields","value.BudgetYearOne.SubtotalSparesCost.InitialSpares.P18Item.ItemExhibitList.record.partial.fields","value.Total.SubtotalSparesCost.InitialSpares.P18Item.ItemExhibitList.record.partial.fields","value.BudgetYearOneOCO.SubtotalSparesCost.InitialSpares.P18Item.ItemExhibitList.record.partial.fields","value.MDAPCode.EndItem.EndItemList.EndItemBudgetActivity.InitialSpares.P18Item.ItemExhibitList.record.partial.fields",
"cafc18bb05fe53e84c3217cc52a2c2bc","2015","2014-12-15T20:56:12+00:00","1418676972","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.xml","procurement-amended","2015","653.275","658.586","0.595","465.614","678.763","397.748","680.683","511.024","3580.674","45.41","Initial Spares/Repair Parts","A01000","0.000","0.000","0.000","0.000","0.000","0.027","1.514","0.000","1.541","0.000","A-10 Squadrons","","","","","","","","","","","","","",
"cafc18bb05fe53e84c3217cc52a2c2bc","2015","2014-12-15T20:56:12+00:00","1418676972","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.xml","procurement-amended","2015","653.275","658.586","0.595","465.614","678.763","397.748","680.683","511.024","3580.674","45.41","Initial Spares/Repair Parts","10TRGT","0.584","0.573","0.595","0.653","0.618","0.376","0.485","0.653","3.884","0.000","Aerial Targets","","","","","","","","","","","","","",
"cafc18bb05fe53e84c3217cc52a2c2bc","2015","2014-12-15T20:56:12+00:00","1418676972","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.xml","procurement-amended","2015","653.275","658.586","0.595","465.614","678.763","397.748","680.683","511.024","3580.674","45.41","Initial Spares/Repair Parts","PRDTB3","0.000","3.248","0.000","6.79","6.098","8.256","11.837","6.79","36.229","0.000","Airborne Reconnaissance Systems","","","","","","","","","","","","","",
"cafc18bb05fe53e84c3217cc52a2c2bc","2015","2014-12-15T20:56:12+00:00","1418676972","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.xml","procurement-amended","2015","653.275","658.586","0.595","465.614","678.763","397.748","680.683","511.024","3580.674","45.41","Initial Spares/Repair Parts","OTHACF","3.337","3.296","0.000","4.131","3.598","2.386","1.917","14.131","28.665","10","Precision Attack Systems Procurement","","","","","","","","","","","","","",
"cafc18bb05fe53e84c3217cc52a2c2bc","2015","2014-12-15T20:56:12+00:00","1418676972","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.xml","procurement-amended","2015","653.275","658.586","0.595","465.614","678.763","397.748","680.683","511.024","3580.674","45.41","Initial Spares/Repair Parts","000999","0.000","0.000","0.000","3.886","0.38","0.932","0.000","3.886","5.198","0.000","Automated Test Systems","","","","","","","","","","","","","",
"cafc18bb05fe53e84c3217cc52a2c2bc","2015","2014-12-15T20:56:12+00:00","1418676972","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.xml","procurement-amended","2015","653.275","658.586","0.595","465.614","678.763","397.748","680.683","511.024","3580.674","45.41","Initial Spares/Repair Parts","B01B00","3.224","8.96","0.000","9.793","18.883","14.267","16.735","13.093","75.162","3.3","B-1B Squadrons","","","","","","","","","","","","","",
"cafc18bb05fe53e84c3217cc52a2c2bc","2015","2014-12-15T20:56:12+00:00","1418676972","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.xml","procurement-amended","2015","653.275","658.586","0.595","465.614","678.763","397.748","680.683","511.024","3580.674","45.41","Initial Spares/Repair Parts","B00200","2.595","2.255","0.000","0.421","0.767","3.078","6.029","0.421","15.145","0.000","B-2 Squadrons","","","","","","","","","","","","","224",
"cafc18bb05fe53e84c3217cc52a2c2bc","2015","2014-12-15T20:56:12+00:00","1418676972","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.xml","procurement-amended","2015","653.275","658.586","0.595","465.614","678.763","397.748","680.683","511.024","3580.674","45.41","Initial Spares/Repair Parts","B05200","1.688","5.318","0.000","7.894","6.719","2.753","0.000","7.894","24.372","0.000","B-52 Squadrons","","","","","","","","","","","","","",
"cafc18bb05fe53e84c3217cc52a2c2bc","2015","2014-12-15T20:56:12+00:00","1418676972","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.xml","procurement-amended","2015","653.275","658.586","0.595","465.614","678.763","397.748","680.683","511.024","3580.674","45.41","Initial Spares/Repair Parts","A01000","","","0.000","0.000","","","","22.91","22.91","22.91","BACN","","","","","","","","","","","","","",
"cafc18bb05fe53e84c3217cc52a2c2bc","2015","2014-12-15T20:56:12+00:00","1418676972","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.xml","procurement-amended","2015","653.275","658.586","0.595","465.614","678.763","397.748","680.683","511.024","3580.674","45.41","Initial Spares/Repair Parts","B01B00","0.000","0.000","0.000","1.087","1.364","0.953","0.000","1.087","3.404","0.000","Bomber Tactical Data Link","","","","","","","","","","","","","",
"cafc18bb05fe53e84c3217cc52a2c2bc","2015","2014-12-15T20:56:12+00:00","1418676972","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.xml","procurement-amended","2015","653.275","658.586","0.595","465.614","678.763","397.748","680.683","511.024","3580.674","45.41","Initial Spares/Repair Parts","C13000","6.172","6.057","0.000","0.000","5.054","0.000","0.000","0.000","17.283","0.000","C-130 Airlift Squadron","","","","","","","","","","","","","",
"cafc18bb05fe53e84c3217cc52a2c2bc","2015","2014-12-15T20:56:12+00:00","1418676972","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.xml","procurement-amended","2015","653.275","658.586","0.595","465.614","678.763","397.748","680.683","511.024","3580.674","45.41","Initial Spares/Repair Parts","C01700","12.951","13.099","0.000","14.105","14.336","10.218","7.401","14.105","72.11","0.000","C-17 Aircraft (IF)","","","","","","","","","","","","","",
"cafc18bb05fe53e84c3217cc52a2c2bc","2015","2014-12-15T20:56:12+00:00","1418676972","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.xml","procurement-amended","2015","653.275","658.586","0.595","465.614","678.763","397.748","680.683","511.024","3580.674","45.41","Initial Spares/Repair Parts","A01000","0.000","0.000","0.000","0.000","0.000","0.000","1.909","0.000","1.909","0.000","C-27J Airlift Squadrons","","","","","","","","","","","","","",
"cafc18bb05fe53e84c3217cc52a2c2bc","2015","2014-12-15T20:56:12+00:00","1418676972","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.xml","procurement-amended","2015","653.275","658.586","0.595","465.614","678.763","397.748","680.683","511.024","3580.674","45.41","Initial Spares/Repair Parts","OTHACF","0.261","0.256","0.000","0.037","0.275","0.192","0.000","0.037","1.021","0.000","C2ISR Tactical Data Link","","","","","","","","","","","","","",
"cafc18bb05fe53e84c3217cc52a2c2bc","2015","2014-12-15T20:56:12+00:00","1418676972","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.xml","procurement-amended","2015","653.275","658.586","0.595","465.614","678.763","397.748","680.683","511.024","3580.674","45.41","Initial Spares/Repair Parts","C005M0","0.000","0.000","0.000","0.000","0.000","131.933","117.097","0.000","249.03","0.000","C-5 Airlift Squadrons (IF)","","","","","","","","","","","","","327",
"cafc18bb05fe53e84c3217cc52a2c2bc","2015","2014-12-15T20:56:12+00:00","1418676972","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.xml","procurement-amended","2015","653.275","658.586","0.595","465.614","678.763","397.748","680.683","511.024","3580.674","45.41","Initial Spares/Repair Parts","CALL00","10.706","10.508","0.000","12.458","11.662","10.222","26.663","12.458","82.219","0.000","Compass Call","","","","","","","","","","","","","",
"cafc18bb05fe53e84c3217cc52a2c2bc","2015","2014-12-15T20:56:12+00:00","1418676972","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.xml","procurement-amended","2015","653.275","658.586","0.595","465.614","678.763","397.748","680.683","511.024","3580.674","45.41","Initial Spares/Repair Parts","OTHACF","0.153","0.15","0.000","0.171","0.161","0.097","0.127","0.171","0.859","0.000","Combat Developments","","","","","","","","","","","","","",
"cafc18bb05fe53e84c3217cc52a2c2bc","2015","2014-12-15T20:56:12+00:00","1418676972","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.xml","procurement-amended","2015","653.275","658.586","0.595","465.614","678.763","397.748","680.683","511.024","3580.674","45.41","Initial Spares/Repair Parts","000075","1.836","2.026","0.000","1.489","2.277","1.181","1.526","1.489","10.335","0.000","Combat Training Range Equipment","","","","","","","","","","","","","",
"cafc18bb05fe53e84c3217cc52a2c2bc","2015","2014-12-15T20:56:12+00:00","1418676972","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.xml","procurement-amended","2015","653.275","658.586","0.595","465.614","678.763","397.748","680.683","511.024","3580.674","45.41","Initial Spares/Repair Parts","V022A0","0.000","0.526","0.000","2.659","6.799","7.461","84.07","2.659","101.515","0.000","CV-22","","","","","","","","","","","","","212",
"cafc18bb05fe53e84c3217cc52a2c2bc","2015","2014-12-15T20:56:12+00:00","1418676972","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.xml","procurement-amended","2015","653.275","658.586","0.595","465.614","678.763","397.748","680.683","511.024","3580.674","45.41","Initial Spares/Repair Parts","E00300","21.621","22.173","0.000","2.957","33.756","11.681","16.278","2.957","108.466","0.000","Airborne Warning and Control System (AWACS)","","","","","","","","","","","","","",
"cafc18bb05fe53e84c3217cc52a2c2bc","2015","2014-12-15T20:56:12+00:00","1418676972","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.xml","procurement-amended","2015","653.275","658.586","0.595","465.614","678.763","397.748","680.683","511.024","3580.674","45.41","Initial Spares/Repair Parts","E00400","0.33","8.558","0.000","8.718","3.012","0.703","1.295","8.718","22.616","0.000","E-4B National Airborne Operations Center (NAOC)","","","","","","","","","","","","","",
"cafc18bb05fe53e84c3217cc52a2c2bc","2015","2014-12-15T20:56:12+00:00","1418676972","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.xml","procurement-amended","2015","653.275","658.586","0.595","465.614","678.763","397.748","680.683","511.024","3580.674","45.41","Initial Spares/Repair Parts","E00800","0.000","0.000","0.000","0.000","0.000","1.101","3.184","0.000","4.285","0.000","Joint Surveillance/Target Attack Radar System (JSTARS)","","","","","","","","","","","","","",
