"id","timestamp.meta.partial.fields","timestamp_iso8601.meta.partial.fields","fiscal_year.meta.partial.fields","source.meta.partial.fields","catalog.meta.partial.fields","data_type.meta.partial.fields","classification.meta.partial.fields","resource.meta.partial.fields","source_filename.meta.partial.fields","type.meta.partial.fields","value.ServiceAgencyName.record.partial.fields","value.BudgetYearOneBase.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.PriorYear.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.CurrentYear.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearOne.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearFour.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearThree.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearFive.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearOneBase.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.PriorYear.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.CurrentYear.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearTwo.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearOne.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearOneOCO.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.Name.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearOneBase.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.PriorYear.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.CurrentYear.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearOne.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearFour.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearThree.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearFive.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearOneBase.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.PriorYear.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.CurrentYear.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearTwo.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearOne.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearOneOCO.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearOneOCO.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearOneOCO.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearFour.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearThree.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearFive.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearTwo.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearFour.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearTwo.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearThree.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearFive.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields",
"1f5d446911aff39a449216741bf4f284","1418676970","2014-12-15T20:56:10+00:00","2015","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-amended","PROCUREMENT_JustificationBook_Army_PBAmended_2015.xml","2015","Army","","60","35","473","","","","","26.823","39.525","","192.62","192.62","Army Active","","23","","473","","","","","9.165","","","192.62","192.62","473","473","","","","","","","","",
"1f5d446911aff39a449216741bf4f284","1418676970","2014-12-15T20:56:10+00:00","2015","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-amended","PROCUREMENT_JustificationBook_Army_PBAmended_2015.xml","2015","Army","","60","35","473","","","","","26.823","39.525","","192.62","192.62","Army National Guard","","31","","","","","","","14.924","","","","","473","","","","","","","","","",
"1f5d446911aff39a449216741bf4f284","1418676970","2014-12-15T20:56:10+00:00","2015","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-amended","PROCUREMENT_JustificationBook_Army_PBAmended_2015.xml","2015","Army","","60","35","473","","","","","26.823","39.525","","192.62","192.62","Army Reserve","","6","35","","","","","","2.734","39.525","","","","473","","","","","","","","","",
"a35b3601d02aa0093ade15cab926677a","1418676970","2014-12-15T20:56:10+00:00","2015","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-amended","PROCUREMENT_JustificationBook_Army_PBAmended_2015.xml","2015","Army","","","","","","1.991","","14.731","158.804","373.24","7.252","211.731","197","Army Active","","","","","","1.991","","14.731","158.804","373.24","7.252","211.731","197","","","","","","","","","","",
"9bb0bf15207af4480aea53ffa6d930f9","1418676969","2014-12-15T20:56:09+00:00","2015","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-amended","PROCUREMENT_JustificationBook_Army_PBAmended_2015.xml","2015","Army","16","","4","18","4.97","4.969","42.967","185.09","","84.7","4.962","221.09","36","Army Active","16","","4","18","4.97","4.969","42.967","185.09","","84.7","4.962","221.09","36","2","2","","","24","","","","","24",
"3da15387598b67bc01e7659b241674cf","1418676968","2014-12-15T20:56:08+00:00","2015","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-amended","PROCUREMENT_JustificationBook_Army_PBAmended_2015.xml","2015","Army","1064","2942","2187","1124","48.064","33.055","50.763","28.194","39.992","44.677","28.511","30.774","2.58","Army Active","1062","2942","1881","1122","47.664","32.715","50.363","27.965","39.992","43.147","28.171","30.545","2.58","60","60","28","28","28","28","26","26","26","26",
"3da15387598b67bc01e7659b241674cf","1418676968","2014-12-15T20:56:08+00:00","2015","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-amended","PROCUREMENT_JustificationBook_Army_PBAmended_2015.xml","2015","Army","1064","2942","2187","1124","48.064","33.055","50.763","28.194","39.992","44.677","28.511","30.774","2.58","Army National Guard","2","","300","2","0.4","0.34","0.4","0.229","","1.5","0.34","0.229","","60","","28","28","28","28","2","2","2","2",
"3da15387598b67bc01e7659b241674cf","1418676968","2014-12-15T20:56:08+00:00","2015","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-amended","PROCUREMENT_JustificationBook_Army_PBAmended_2015.xml","2015","Army","1064","2942","2187","1124","48.064","33.055","50.763","28.194","39.992","44.677","28.511","30.774","2.58","Army Reserve","","","6","","","","","","","0.03","","","","60","","28","28","28","28","","","","",
"c372eba2780b53c45db07c4ce7763373","1418676968","2014-12-15T20:56:08+00:00","2015","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-amended","PROCUREMENT_JustificationBook_Army_PBAmended_2015.xml","2015","Army","","1","3","3","","","","","39.7","51.654","","51.5","51.5","Army Active","","1","3","3","","","","","39.7","51.654","","51.5","51.5","3","3","","","","","","","","",
"09e626a9f4a07d9b5a74e805ce99fdcf","1418676969","2014-12-15T20:56:09+00:00","2015","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-amended","PROCUREMENT_JustificationBook_Army_PBAmended_2015.xml","2015","","358","","","1018","7.914","7.782","8.159","7.392","7.184","12.149","7.604","12.372","4.98","Army Active","322","","","982","7.13","7.011","7.363","6.66","6.547","11.51","6.851","11.64","4.98","660","660","383","377","395","368","345","332","340","357",
"09e626a9f4a07d9b5a74e805ce99fdcf","1418676969","2014-12-15T20:56:09+00:00","2015","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-amended","PROCUREMENT_JustificationBook_Army_PBAmended_2015.xml","2015","","358","","","1018","7.914","7.782","8.159","7.392","7.184","12.149","7.604","12.372","4.98","Army National Guard","33","","","33","0.712","0.7","0.722","0.665","0.637","0.639","0.684","0.665","","660","","383","377","395","368","35","33","34","35",
