"id","timestamp.meta.partial.fields","timestamp_iso8601.meta.partial.fields","fiscal_year.meta.partial.fields","source.meta.partial.fields","catalog.meta.partial.fields","data_type.meta.partial.fields","classification.meta.partial.fields","resource.meta.partial.fields","source_filename.meta.partial.fields","type.meta.partial.fields","value.CostType.record.partial.fields","value.ProgramElementNumber.CodeBProgramElementList.record.partial.fields",
"6d5dc0fab7f7dd26286a2f8c6741c418","1418709972","2014-12-16T06:06:12+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","2014","AB","0604329F",
"f538a93ad4a70195ef84029e31ae9016","1418709994","2014-12-16T06:06:34+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_MasterJustificationBook_Navy_PB_2014.xml","2014","C","0204136N",
"c2d9c228782c28ac1f1116e16d32df1d","1418710037","2014-12-16T06:07:17+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_MasterJustificationBook_Navy_PB_2014.xml","2014","AB","0204228N",
"89d6a8f960f1dfa5714249192b7363a6","1418710044","2014-12-16T06:07:24+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_MasterJustificationBook_Navy_PB_2014.xml","2014","AB","0708017N",
"bfd8dd46dd1041c839d8bc18a00e0c90","1418710051","2014-12-16T06:07:31+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_MasterJustificationBook_Navy_PB_2014.xml","2014","AB","0204112N",
"50d8ce4020b9eceaacd5ea4a3a5a1349","1418710106","2014-12-16T06:08:26+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_JustificationBook_Army_PB_2014.xml","2014","AB","0604601A",
"25cc6ef176f761eb1a2672432c77cf97","1418710162","2014-12-16T06:09:22+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","2014","AB","0303610K",
"b869beac2cc2868674d373578766293e","1418710163","2014-12-16T06:09:23+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","2014","AB","0301144K",
"b869beac2cc2868674d373578766293e","1418710163","2014-12-16T06:09:23+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","2014","AB","0303149K",
"b869beac2cc2868674d373578766293e","1418710163","2014-12-16T06:09:23+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","2014","AB","0303122K",
"b869beac2cc2868674d373578766293e","1418710163","2014-12-16T06:09:23+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","2014","AB","0303134K",
"d040c83198740a22a2fcfdd311577f80","1418710163","2014-12-16T06:09:23+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","2014","AB","0303170K",
"3b09da9122f383701f378ddbd11c01af","1418710165","2014-12-16T06:09:25+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","2014","AB","0901532d8t",
"90374f61c437ff038e010f4c03654378","1418710161","2014-12-16T06:09:21+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","2014","AB","0901220SE",
"66b249f6eb108bae8f8b8c67a7c29bc0","1418710162","2014-12-16T06:09:22+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","2014","AB","0303150K",
"23ca6fc84faa1609340a89b2dedc887e","1418710162","2014-12-16T06:09:22+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","2014","AB","0303141K",
"4cf6b6d9d91d8861a40fb18f210a2a7d","1418710167","2014-12-16T06:09:27+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_JustificationBook_Missile_Defense_Agency_PB_2014.xml","2014","AB","0208866C",
"455154dac231a85f066478990ec69fa2","1418709949","2014-12-16T06:05:49+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","2014","AB","0205219F",
"7ee8a7d4102515b3d8f593f3bbfd8ddf","1418709947","2014-12-16T06:05:47+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","2014","AB","0305116F",
"daca1b19acdea18f7db986696d0ba784","1418709971","2014-12-16T06:06:11+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","2014","AB","0207161F",
"b732462fb73355101dff0ecaadb28fda","1418709997","2014-12-16T06:06:37+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_MasterJustificationBook_Navy_PB_2014.xml","2014","C","0605500N",
"39b7a561098ca617d9443f335e9d9a60","1418709993","2014-12-16T06:06:33+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_MasterJustificationBook_Navy_PB_2014.xml","2014","AB","0204154N",
"1a09dbf9d80037e403c1d607d8f795c0","1418710024","2014-12-16T06:07:04+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_MasterJustificationBook_Navy_PB_2014.xml","2014","AB","0204228N",
"a72de0084c6636d17bdf0d6f33fa6c87","1418710108","2014-12-16T06:08:28+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_JustificationBook_Army_PB_2014.xml","2014","AB","0604601A",
"23e4befe4c037a78f46f8f349b22e943","1418710108","2014-12-16T06:08:28+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_JustificationBook_Army_PB_2014.xml","2014","AB","0604601A",
"b9cf285628457e8139a833f9ecb358d3","1418710107","2014-12-16T06:08:27+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_JustificationBook_Army_PB_2014.xml","2014","AB","0604601A",
"5c611cd8a26918021070c6d88afc9d8c","1418710137","2014-12-16T06:08:57+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_JustificationBook_Army_PB_2014.xml","2014","AB","0604802A",
"73f5a66a696e39865672266afd6ac4d4","1418710163","2014-12-16T06:09:23+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","2014","AB","0303126K",
"f692f0987575e33a1aafe37906677c22","1418710162","2014-12-16T06:09:22+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","2014","AB","0303140K",
"5ea48dae512739221bda35d63625440d","1418710164","2014-12-16T06:09:24+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","2014","AB","0303135K",
"0855ad208396777433f55436c377ba59","1418710165","2014-12-16T06:09:25+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","2014","AB","0902199D8Z",
"6908a3ceb95135cd0f115750ea0f4896","1418710166","2014-12-16T06:09:26+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_JustificationBook_Missile_Defense_Agency_PB_2014.xml","2014","AB","0603881C",
"6908a3ceb95135cd0f115750ea0f4896","1418710166","2014-12-16T06:09:26+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_JustificationBook_Missile_Defense_Agency_PB_2014.xml","2014","AB","0603884C",
"6a12bb55062d515a983bf56e7f7e9b2a","1418710166","2014-12-16T06:09:26+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_JustificationBook_Missile_Defense_Agency_PB_2014.xml","2014","AB","0604881C",
"6a12bb55062d515a983bf56e7f7e9b2a","1418710166","2014-12-16T06:09:26+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_JustificationBook_Missile_Defense_Agency_PB_2014.xml","2014","AB","0604880C",
