"id","fiscal_year.meta.partial.fields","timestamp_iso8601.meta.partial.fields","timestamp.meta.partial.fields","source.meta.partial.fields","data_type.meta.partial.fields","catalog.meta.partial.fields","classification.meta.partial.fields","source_filename.meta.partial.fields","resource.meta.partial.fields","type.meta.partial.fields","value.ProgramElementNumber.CodeBProgramElementList.record.partial.fields","value.Cost.PriorYearsDelta.record.partial.fields",
"bdebf927a4b18cfeb80740fc89df6aea","2016","2015-02-03T15:52:07+00:00","1422978727","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_MasterJustificationBook_Navy_PB_2016.xml","procurement-base","2016","0204228N","",
"1e27747308f38ee863fecdedfcfa9582","2016","2015-02-03T15:52:18+00:00","1422978738","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_MasterJustificationBook_Navy_PB_2016.xml","procurement-base","2016","0603755N","",
"1e27747308f38ee863fecdedfcfa9582","2016","2015-02-03T15:52:18+00:00","1422978738","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_MasterJustificationBook_Navy_PB_2016.xml","procurement-base","2016","0603658N","",
"f773af0f7f4d86a402a9d406d3d7ac6d","2016","2015-02-03T15:52:17+00:00","1422978737","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_MasterJustificationBook_Navy_PB_2016.xml","procurement-base","2016","0204228N","",
"2d1b5b6a18e5408b9aca812b901c0f10","2016","2015-02-03T15:52:49+00:00","1422978769","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Navy_PB_2016.xml","procurement-base","2016","0204460M","",
"3563325e55b007baa97ddf0931988ce5","2016","2015-02-03T15:53:12+00:00","1422978792","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","procurement-base","2016","0101113F","",
"8677cf1a77ae12843c026515321ee647","2016","2015-02-03T15:53:07+00:00","1422978787","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","procurement-base","2016","0205219F","",
"4a321c87aed2c4a6a2a23b9e6c2aec55","2016","2015-02-03T15:53:18+00:00","1422978798","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","procurement-base","2016","0401132F","",
"b7c76ea6a258b9e0a6ccdb458eef9635","2016","2015-02-03T15:53:18+00:00","1422978798","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","procurement-base","2016","0305145F","",
"b7c76ea6a258b9e0a6ccdb458eef9635","2016","2015-02-03T15:53:18+00:00","1422978798","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","procurement-base","2016","0401218F","",
"6cd6c04fbeea33a3821d0a1663e3dc49","2016","2015-02-03T15:53:22+00:00","1422978802","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","procurement-base","2016","0205219F","",
