"id","fiscal_year.meta.partial.fields","timestamp_iso8601.meta.partial.fields","timestamp.meta.partial.fields","source.meta.partial.fields","data_type.meta.partial.fields","catalog.meta.partial.fields","classification.meta.partial.fields","source_filename.meta.partial.fields","resource.meta.partial.fields","type.meta.partial.fields","value.BudgetYear.record.partial.fields","value.LineItemTitle.record.partial.fields","value.LineItemNumber.record.partial.fields","value.Code.record.partial.fields","@quantityUnitName.record.partial.fields","@quantityUnits.record.partial.fields","value.BudgetSubActivityTitle.record.partial.fields","value.BudgetActivityTitle.record.partial.fields","value.BudgetCycle.record.partial.fields","value.SubmissionDate.record.partial.fields","value.Description.record.partial.fields","value.ServiceAgencyName.record.partial.fields","@totalCostUnits.record.partial.fields","@unitCostUnits.record.partial.fields","value.ProgramElementNumber.OtherRelatedProgramElementList.record.partial.fields","value.Justification.record.partial.fields","value.AppropriationTitle.record.partial.fields","value.AppropriationNumber.record.partial.fields","value.CostType.record.partial.fields","value.BudgetActivityNumber.record.partial.fields","value.BudgetSubActivityNumber.record.partial.fields","value.P1LineItemNumber.record.partial.fields","value.TotalCost.BudgetYearFour.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.Quantity.BudgetYearFour.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.TotalCost.BudgetYearTwo.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.Quantity.BudgetYearTwo.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.TotalCost.BudgetYearThree.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.Quantity.BudgetYearThree.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.TotalCost.BudgetYearFive.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.Quantity.BudgetYearFive.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.TotalCost.BudgetYearOne.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.Quantity.BudgetYearOne.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.TotalCost.BudgetYearOneBase.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.Quantity.BudgetYearOneBase.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.Name.Component.ComponentList.ComponentSplit.record.partial.fields","value.TotalCost.PriorYear.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.Quantity.PriorYear.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.TotalCost.CurrentYear.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.Quantity.CurrentYear.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.TotalCost.BudgetYearOneOCO.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.Quantity.BudgetYearOneOCO.Cost.Component.ComponentList.ComponentSplit.record.partial.fields",
"2d81c7e0f8ee28e15832cd9759f956ea","2013","2014-12-16T09:51:53+00:00","1418723513","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","MasterJustificationBook_Air_Force_PB_2013.xml","procurement-base","2013","2013","F-35","1","A","Each","Each","Tactical Forces","Combat Aircraft","PB","2012-02","The Joint Strike Fighter program will develop and field a family of aircraft that meets the needs of the United States and its international partners.  Specifically the Joint Strike Fighter (JSF) will meet USAF Conventional Take Off and Landing (CTOL) requirements with the F-35A variant the USMC with the Short Take-Off and Vertical Landing (STOVL) requirements with the F-35B variant and USN Carrier Variant (CV) requirements with the F-35C variant.  Commonality among the three variants is expected to reduce life cycle costs.  This is a joint program with no executive service.  Service Acquisition Executive (SAE) authority alternates between the Department of the Navy (DoN) and the Department of the Air Force (DAF) and currently resides with the Air Force.  The F-35 is the next generation strike fighter which entails increased aero performance stealth signature and countermeasures.  Its advanced avionics data links and adverse weather precision targeting incorporate the latest technology available.  The highly supportable affordable state-of-the-art aircraft commands and maintains global air superiority.  The production cost and quantities are interdependent due to one manufacturer for the program.  USAF regular procurement commenced in FY07 with Long-Lead in FY06; USMC procurement began in FY08 with Long-Lead in FY07; and USN procurement began in FY10 with Long-Lead in FY09.This program has associated Research Development Test and Evaluation (RDT&E) funding in PEs 0604800F and 0207142F.Flyaway unit cost includes recurring flyaway non-recurring flyaway and ancillary equipment.During execution the quantity in FY11 was reduced from 25 to 22 to pay over-target and concurrency costs for LRIPs 1 thru 3.","Air Force","Millions","Millions","0604800F","USAF procurement in FY 2013 provides funding for 19 aircraft with associated support and advance procurement for 19 aircraft in FY 2014.","Aircraft Procurement Air Force","3010F","AB","1","3","1","","","","","","","","","","","","","","","","","","","",
"426e5d1fc50a227ff16f2fc94d9601c2","2013","2014-12-16T09:51:53+00:00","1418723513","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","MasterJustificationBook_Air_Force_PB_2013.xml","procurement-base","2013","2013","F-22","3","A","Each","Each","Tactical Forces","Combat Aircraft","PB","2012-02","The F-22 Raptor represents the USAF's top priority for providing the Joint Force with air dominance operational access homeland and cruise missile defense for the next 20+ years.  The F-22 is a first-of-a-kind multi-mission fighter aircraft that combines stealth supercruise advanced maneuverability and integrated avionics to make it the world's most capable combat aircraft.The Air Force was granted OSD(C) approval to structure the multiyear procurement (MYP) for Lots 7-9 with an unfunded cancellation ceiling.  The cancellation ceiling amounts are $431M for Lot 8 (FY08) and $398M for Lot 9 (FY09).  In the event the multiyear contract is cancelled Air Staff will submit the required reprogramming actions for Congressional approval to ensure the actual cancellation cost is fully funded.The F-22 program is a 187 aircraft procurement Program of Record (POR) profile.  (Note: 187 total includes 179 production aircraft and 6 Production Representative Test Vehicle (PRTV) II aircraft and 2 EMD aircraft previously procured with RDT&E funds. The flyaway/weapon system costs listed above include costs from both aircraft procurement appropriation and "in production line" modernization funding.  They do not include costs associated with Other Useful Loads or Munitions.","Air Force","Millions","Millions","0207138F","","","","","","","","","","","","","","","","","","","","","","","","","","",
"426e5d1fc50a227ff16f2fc94d9601c2","2013","2014-12-16T09:51:53+00:00","1418723513","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","MasterJustificationBook_Air_Force_PB_2013.xml","procurement-base","2013","2013","F-22","3","A","Each","Each","Tactical Forces","Combat Aircraft","PB","2012-02","The F-22 Raptor represents the USAF's top priority for providing the Joint Force with air dominance operational access homeland and cruise missile defense for the next 20+ years.  The F-22 is a first-of-a-kind multi-mission fighter aircraft that combines stealth supercruise advanced maneuverability and integrated avionics to make it the world's most capable combat aircraft.The Air Force was granted OSD(C) approval to structure the multiyear procurement (MYP) for Lots 7-9 with an unfunded cancellation ceiling.  The cancellation ceiling amounts are $431M for Lot 8 (FY08) and $398M for Lot 9 (FY09).  In the event the multiyear contract is cancelled Air Staff will submit the required reprogramming actions for Congressional approval to ensure the actual cancellation cost is fully funded.The F-22 program is a 187 aircraft procurement Program of Record (POR) profile.  (Note: 187 total includes 179 production aircraft and 6 Production Representative Test Vehicle (PRTV) II aircraft and 2 EMD aircraft previously procured with RDT&E funds. The flyaway/weapon system costs listed above include costs from both aircraft procurement appropriation and "in production line" modernization funding.  They do not include costs associated with Other Useful Loads or Munitions.","Air Force","Millions","Millions","0604239F","No funding requested in FY13.","Aircraft Procurement Air Force","3010F","AB","1","3","3","","","","","","","","","","","","","","","","","","","",
"b97537ac17350c0ed59a623e725f7ef6","2013","2014-12-16T09:51:55+00:00","1418723515","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","MasterJustificationBook_Air_Force_PB_2013.xml","procurement-base","2013","2013","Common Vertical Lift Support Platform (CVLSP)","16","A","Each","Each","Helicopters","Other Aircraft","PB","2012-02","This document includes only FY12 funds for Common Vertical Lift Support Platform (CVLSP) program.  Funding in the FYDP has been deleted  as a result of program termination.  Due to system requirements the subsequent budget exhibits contain information reflecting procurements in FY12.  However the Air Force does not intend to procure these aircraft.  Due to the termination of the CVLSP program the UH-1N fleet sustainment and service life extension requirements will have to be addressed.Common Vertical Lift Support Platform (CVLSP) program will replace the current USAF UH-1N fleet of 62 aircraft with an aircraft with improved speed range capacity and survivability.  CVLSP Initial Operational Capability is planned for FY15.  The CVLSP platform is expected to be an in-production non-developmental Government Off-The-Shelf or Commercial Off-The-Shelf (GOTS/COTS) aircraft.  The Common Vertical Lift Support Platform (CVLSP) will provide vertical support for nuclear weapon convoy escort 24/7 adverse weather capable InterContinental Ballistic Missile (ICBM) emergency security response/operational support and mass passenger transport/Operational Support Airlift (OSA) in the National Capital Region. Other assigned missions include Pacific Air Forces (PACAF) OSA survival school support test and range support and combat aviation advisor training. This program has prior year Research Development Test and Evaluation Air Force (RDT&E AF) funding in PE 0604263F","Air Force","Millions","Millions","0604263F","No FY13 funding requested.","Aircraft Procurement Air Force","3010F","AB","4","1","16","","","","","","","","","","","","","","","","","","","",
"eb0aa88c241e2068ebb1939c4a138d55","2013","2014-12-16T09:51:58+00:00","1418723518","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","MasterJustificationBook_Air_Force_PB_2013.xml","procurement-base","2013","2013","AC-130 Recap AP","29","A","Each","","","","","","The AC-130 Recapitalization will replace and augment the aging USAF fleet of AC-130H Gunship aircraft which are experiencing airworthiness maintainability and operational limitations.  A common baseline aircraft configuration is being provided for the MC-130 Recap the HC-130 Recap and new AC-130 Recap programs.  The USAF will procure and provide 16 aircraft to USSOCOM along with initial spares and support for conversion into Gunships with Precision Strike Package (PSP) kits.The AC-130 Recap program also has USSOCOM funds to procure SOF-peculiar modifications to the common configured aircraft purchased by the USAF.Advance procurement (AP) funds long lead items required to maintain the production schedule.  These long lead items include structural components engine mounts engine components flap shafts and generators.  Congress added $120M of FY12 AP to fund long lead items for all FY13 C-130J variants.  $20M of that AP is in the FY12 AC-130 RECAP AP funding line for 2 FY13 AC-130J aircraft.","Air Force","Millions","Millions","0207224F","","","","","","","","","","","","","","","","","","","","","","","","","","",
"eb0aa88c241e2068ebb1939c4a138d55","2013","2014-12-16T09:51:58+00:00","1418723518","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","MasterJustificationBook_Air_Force_PB_2013.xml","procurement-base","2013","2013","AC-130 Recap AP","29","A","Each","Each","Other Aircraft","Other Aircraft","PB","2012-02","The AC-130 Recapitalization will replace and augment the aging USAF fleet of AC-130H Gunship aircraft which are experiencing airworthiness maintainability and operational limitations.  A common baseline aircraft configuration is being provided for the MC-130 Recap the HC-130 Recap and new AC-130 Recap programs.  The USAF will procure and provide 16 aircraft to USSOCOM along with initial spares and support for conversion into Gunships with Precision Strike Package (PSP) kits.The AC-130 Recap program also has USSOCOM funds to procure SOF-peculiar modifications to the common configured aircraft purchased by the USAF.Advance procurement (AP) funds long lead items required to maintain the production schedule.  These long lead items include structural components engine mounts engine components flap shafts and generators.  Congress added $120M of FY12 AP to fund long lead items for all FY13 C-130J variants.  $20M of that AP is in the FY12 AC-130 RECAP AP funding line for 2 FY13 AC-130J aircraft.","Air Force","Millions","Millions","0207230F","No FY13 funding requested","Aircraft Procurement Air Force","3010F","AB","4","5","29","","","","","","","","","","","","","","","","","","","",
"536d8e2c47738b9929d6634622ee11b7","2013","2014-12-16T09:51:54+00:00","1418723514","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","MasterJustificationBook_Air_Force_PB_2013.xml","procurement-base","2013","2013","HC-130 Recap AP","8","A","Each","","","","","","HC-130 recapitalization will replace and augment the aging USAF fleets of combat rescue HC-130P/N aircraft which are experiencing airworthiness maintainability and operational limitations.  A common baseline aircraft configuration is being provided for the HC-130 Recap the MC-130 Recap and new AC-130 Recap programs.   Beginning with the FY11 President's Budget the HC-130 Recap and MC-130 Recap programs are being reported separately for improved visibility.  FY08-10 HC-130 Recap program details are reported as part of the HC/MC Recap program.Advance procurement(AP) funds long lead items required to maintain the production schedule.  These long lead items include structural components engine mounts engine components flap shafts and generators.  Congress added $120M of FY12 AP to fund long lead items for all FY13 C-130J variants.  $10M of that AP is in the FY12 HC-130 RECAP AP funding line for 1 FY13 HC-130J aircraft.","Air Force","Millions","Millions","0605278F","","","","","","","","","","","","","","","","","","","","","","","","","","",
"536d8e2c47738b9929d6634622ee11b7","2013","2014-12-16T09:51:54+00:00","1418723514","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","MasterJustificationBook_Air_Force_PB_2013.xml","procurement-base","2013","2013","HC-130 Recap AP","8","A","Each","","","","","","HC-130 recapitalization will replace and augment the aging USAF fleets of combat rescue HC-130P/N aircraft which are experiencing airworthiness maintainability and operational limitations.  A common baseline aircraft configuration is being provided for the HC-130 Recap the MC-130 Recap and new AC-130 Recap programs.   Beginning with the FY11 President's Budget the HC-130 Recap and MC-130 Recap programs are being reported separately for improved visibility.  FY08-10 HC-130 Recap program details are reported as part of the HC/MC Recap program.Advance procurement(AP) funds long lead items required to maintain the production schedule.  These long lead items include structural components engine mounts engine components flap shafts and generators.  Congress added $120M of FY12 AP to fund long lead items for all FY13 C-130J variants.  $10M of that AP is in the FY12 HC-130 RECAP AP funding line for 1 FY13 HC-130J aircraft.","Air Force","Millions","Millions","0207230F","","","","","","","","","","","","","","","","","","","","","","","","","","",
"536d8e2c47738b9929d6634622ee11b7","2013","2014-12-16T09:51:54+00:00","1418723514","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","MasterJustificationBook_Air_Force_PB_2013.xml","procurement-base","2013","2013","HC-130 Recap AP","8","A","Each","Each","Other Airlift","Airlift Aircraft","PB","2012-02","HC-130 recapitalization will replace and augment the aging USAF fleets of combat rescue HC-130P/N aircraft which are experiencing airworthiness maintainability and operational limitations.  A common baseline aircraft configuration is being provided for the HC-130 Recap the MC-130 Recap and new AC-130 Recap programs.   Beginning with the FY11 President's Budget the HC-130 Recap and MC-130 Recap programs are being reported separately for improved visibility.  FY08-10 HC-130 Recap program details are reported as part of the HC/MC Recap program.Advance procurement(AP) funds long lead items required to maintain the production schedule.  These long lead items include structural components engine mounts engine components flap shafts and generators.  Congress added $120M of FY12 AP to fund long lead items for all FY13 C-130J variants.  $10M of that AP is in the FY12 HC-130 RECAP AP funding line for 1 FY13 HC-130J aircraft.","Air Force","Millions","Millions","0207237F","No FY13 funding requested","Aircraft Procurement Air Force","3010F","AB","2","3","8","","","","","","","","","","","","","","","","","","","",
"97406ddb84ba41218eb3a1d6b765c298","2013","2014-12-16T09:51:59+00:00","1418723519","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","MasterJustificationBook_Air_Force_PB_2013.xml","procurement-base","2013","2013","B-1 Post Production Support","84","A","Each","Each","Post Production Support","Aircraft Supt Equipment & Facilities","PB","2012-02","B-1B Automatic Test Equipment (ATE) acquisition and support of other depot level equipment and tooling and engineering repair enhancements.","Air Force","Millions","Millions","0604226F","","","","","","","","","","","","","","","","","","","","","","","","","","",
