"id","value.Description.record.partial.fields","value.BudgetYear.record.partial.fields","value.ServiceAgencyName.record.partial.fields","value.LineItemTitle.record.partial.fields","@totalCostUnits.record.partial.fields","value.LineItemNumber.record.partial.fields","value.P1LineNumber.record.partial.fields","@unitCostUnits.record.partial.fields","@quantityUnitName.record.partial.fields","value.Justification.record.partial.fields","value.ProgramElementNumber.OtherRelatedProgramElementList.record.partial.fields","@quantityUnits.record.partial.fields","value.AppropriationTitle.record.partial.fields","value.BudgetSubActivityTitle.record.partial.fields","value.AppropriationNumber.record.partial.fields","value.CostType.record.partial.fields","value.BudgetActivityNumber.record.partial.fields","value.BudgetSubActivityNumber.record.partial.fields","value.SubmissionDate.record.partial.fields","value.BudgetCycle.record.partial.fields","value.BudgetActivityTitle.record.partial.fields","timestamp.meta.partial.fields","timestamp_iso8601.meta.partial.fields","fiscal_year.meta.partial.fields","source.meta.partial.fields","catalog.meta.partial.fields","data_type.meta.partial.fields","classification.meta.partial.fields","resource.meta.partial.fields","source_filename.meta.partial.fields","type.meta.partial.fields","value.Code.record.partial.fields","value.Name.Component.ComponentList.ComponentSplit.record.partial.fields","value.TotalCost.CurrentYear.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.TotalCost.PriorYear.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.Quantity.PriorYear.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.TotalCost.BudgetYearFour.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.TotalCost.BudgetYearThree.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.TotalCost.BudgetYearFive.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.TotalCost.BudgetYearOneBase.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.TotalCost.BudgetYearTwo.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.TotalCost.BudgetYearOne.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.Quantity.BudgetYearOneBase.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.Quantity.CurrentYear.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.Quantity.BudgetYearTwo.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.Quantity.BudgetYearOne.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.Quantity.BudgetYearFour.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.Quantity.BudgetYearThree.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.Quantity.BudgetYearFive.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","@manufacturerRateUnits.record.partial.fields","value.MDAPCode.record.partial.fields","value.TotalCost.AllPriorYears.Cost.Component.ComponentList.ComponentSplit.record.partial.fields",
"102d2bdfc91ed32959a838558f47766f","The F/A-22 program is the next generation multi-mission air superiority fighter to counter emerging worldwide threats.  The F/A-22 is designed to penetrate enemy airspace and achieve a first-look first-kill capability against multiple targets.  The primary modification budgeted in FY14 is the Reliability and Maintainability Maturation Program.  The specific modifications budgeted and programmed are below.Funding for the exhibit contained in PE 0207138F.Note(s): F-22 Increment 3.2B is funded in the FY14 President's Budget.  The associated funding (FY16-FY18) has been realigned from the F-22 P-1 line into a new P-1 line for Increment 3.2B. Since this funding is outside of the FY14 President's Budget documentation requirements it will not be visible until the submit of the FY16 President's Budget.  Currently total F-22 budget is: FY2016: $276.890M; FY2017: $324.080M; and FY2018: $329.914MAll mods identified in the FY14PB documentation are validated by the Operational Requirements Document/F-22 Advanced Tactical Fighter - JROCM Feb '04","2014","Air Force","F-22A","","F02200","","","Each","","","Each","","Tactical Aircraft","","","","","2013-04","PB","Modification of Inservice Aircraft","1418709957","2014-12-16T06:05:57+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","2014","A","Air Force Active","236.65","203.157","","239.714","150.717","179.067","255.322","205.274","255.322","","","","","","","","","265","1176.455",
"102d2bdfc91ed32959a838558f47766f","The F/A-22 program is the next generation multi-mission air superiority fighter to counter emerging worldwide threats.  The F/A-22 is designed to penetrate enemy airspace and achieve a first-look first-kill capability against multiple targets.  The primary modification budgeted in FY14 is the Reliability and Maintainability Maturation Program.  The specific modifications budgeted and programmed are below.Funding for the exhibit contained in PE 0207138F.Note(s): F-22 Increment 3.2B is funded in the FY14 President's Budget.  The associated funding (FY16-FY18) has been realigned from the F-22 P-1 line into a new P-1 line for Increment 3.2B. Since this funding is outside of the FY14 President's Budget documentation requirements it will not be visible until the submit of the FY16 President's Budget.  Currently total F-22 budget is: FY2016: $276.890M; FY2017: $324.080M; and FY2018: $329.914MAll mods identified in the FY14PB documentation are validated by the Operational Requirements Document/F-22 Advanced Tactical Fighter - JROCM Feb '04","2014","Air Force","F-22A","Millions","F02200","36","Millions","Each","","0207138F","Each","","Tactical Aircraft","","","","","2013-04","PB","Modification of Inservice Aircraft","1418709957","2014-12-16T06:05:57+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","2014","A","Air National Guard","47.22","30.064","","16.409","34.063","16.068","30.508","32.31","30.508","","","","","","","","","265","268.202",
"102d2bdfc91ed32959a838558f47766f","The F/A-22 program is the next generation multi-mission air superiority fighter to counter emerging worldwide threats.  The F/A-22 is designed to penetrate enemy airspace and achieve a first-look first-kill capability against multiple targets.  The primary modification budgeted in FY14 is the Reliability and Maintainability Maturation Program.  The specific modifications budgeted and programmed are below.Funding for the exhibit contained in PE 0207138F.Note(s): F-22 Increment 3.2B is funded in the FY14 President's Budget.  The associated funding (FY16-FY18) has been realigned from the F-22 P-1 line into a new P-1 line for Increment 3.2B. Since this funding is outside of the FY14 President's Budget documentation requirements it will not be visible until the submit of the FY16 President's Budget.  Currently total F-22 budget is: FY2016: $276.890M; FY2017: $324.080M; and FY2018: $329.914MAll mods identified in the FY14PB documentation are validated by the Operational Requirements Document/F-22 Advanced Tactical Fighter - JROCM Feb '04","2014","Air Force","F-22A","Millions","F02200","36","Millions","Each","Where applicable justification for individual modifications is provided in the P-3A exhibits.","0207219F","Each","Aircraft Procurement Air Force","Tactical Aircraft","3010F","AB","5","2","2013-04","PB","Modification of Inservice Aircraft","1418709957","2014-12-16T06:05:57+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","2014","A","Air National Guard","47.22","30.064","","16.409","34.063","16.068","30.508","32.31","30.508","","","","","","","","","265","268.202",
"9e34cec36ca5d4fe3749a980953f7bc5","This line item funds modifications to the C-5 aircraft.  The four-engine C-5 carries outsized and heavy cargo (tanks helicopters etc.) between main operating bases.  Additionally the aircraft is capable of carrying 73 troops and 36 standard 463-L pallets.  Modifications enhance operational capability while improving flight safety reliability and maintainability.  Modifications budgeted and programmed are below.  Projected allocations for reserve component requirements (modification kits and installation costs) are subject to total force mission priorities and aircraft availability.  There are 95 C-5 aircraft in the Air Force fleet as of June 2012.  The C-5 fleet was delivered to the Air Force from 1969 to 1989.  Initial service life for the aircraft was 30000 flight hours.  The Air Force plans to retire 59 C-5A aircraft which will leave a total of 52 C-5B/C/M aircraft.  Nine C-5A aircraft were retired in 2011 and seven aircraft were retired in 2012 as of 5 Jun 2012.Funding for this exhibit contained in PE 0401119F.This is an FY14 "New Start" for modification 8966 C-5 Mission Systems Equipment-Lavatory.","2014","Air Force","C-5","","C00500","","","Each","","","Each","","Airlift Aircraft","","","","","2013-04","PB","Modification of Inservice Aircraft","1418709957","2014-12-16T06:05:57+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","2014","A","Air Force Active","6.967","36.587","","43.831","46.828","46.249","2.456","20.267","2.456","","","","","","","","","327","255.52",
"9e34cec36ca5d4fe3749a980953f7bc5","This line item funds modifications to the C-5 aircraft.  The four-engine C-5 carries outsized and heavy cargo (tanks helicopters etc.) between main operating bases.  Additionally the aircraft is capable of carrying 73 troops and 36 standard 463-L pallets.  Modifications enhance operational capability while improving flight safety reliability and maintainability.  Modifications budgeted and programmed are below.  Projected allocations for reserve component requirements (modification kits and installation costs) are subject to total force mission priorities and aircraft availability.  There are 95 C-5 aircraft in the Air Force fleet as of June 2012.  The C-5 fleet was delivered to the Air Force from 1969 to 1989.  Initial service life for the aircraft was 30000 flight hours.  The Air Force plans to retire 59 C-5A aircraft which will leave a total of 52 C-5B/C/M aircraft.  Nine C-5A aircraft were retired in 2011 and seven aircraft were retired in 2012 as of 5 Jun 2012.Funding for this exhibit contained in PE 0401119F.This is an FY14 "New Start" for modification 8966 C-5 Mission Systems Equipment-Lavatory.","2014","Air Force","C-5","","C00500","","","Each","","","Each","","Airlift Aircraft","","","","","2013-04","PB","Modification of Inservice Aircraft","1418709957","2014-12-16T06:05:57+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","2014","A","Air National Guard","0.000","0.000","","","","","","","","","","","","","","","","327","11.993",
"9e34cec36ca5d4fe3749a980953f7bc5","This line item funds modifications to the C-5 aircraft.  The four-engine C-5 carries outsized and heavy cargo (tanks helicopters etc.) between main operating bases.  Additionally the aircraft is capable of carrying 73 troops and 36 standard 463-L pallets.  Modifications enhance operational capability while improving flight safety reliability and maintainability.  Modifications budgeted and programmed are below.  Projected allocations for reserve component requirements (modification kits and installation costs) are subject to total force mission priorities and aircraft availability.  There are 95 C-5 aircraft in the Air Force fleet as of June 2012.  The C-5 fleet was delivered to the Air Force from 1969 to 1989.  Initial service life for the aircraft was 30000 flight hours.  The Air Force plans to retire 59 C-5A aircraft which will leave a total of 52 C-5B/C/M aircraft.  Nine C-5A aircraft were retired in 2011 and seven aircraft were retired in 2012 as of 5 Jun 2012.Funding for this exhibit contained in PE 0401119F.This is an FY14 "New Start" for modification 8966 C-5 Mission Systems Equipment-Lavatory.","2014","Air Force","C-5","Millions","C00500","38","Millions","Each","Where applicable justification for individual modifications is provided in the P-3A exhibits.","0401119F","Each","Aircraft Procurement Air Force","Airlift Aircraft","3010F","AB","5","3","2013-04","PB","Modification of Inservice Aircraft","1418709957","2014-12-16T06:05:57+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","2014","A","Air Force Reserve","0.000","34.453","","3.19","0.000","1.62","0.000","","0.000","","","","","","","","","327","64.606",
"e328f9970de08a2f518eb698fd3d46bb","The B-1B Lancer is a swing-wing supersonic long-range conventional bomber.  It carries the largest payload of both guided and unguided weapons in the Air Force inventory.  The multi-mission B-1B is the backbone of America's long-range bomber force and can rapidly deliver massive quantities of precision and non-precision weapons against any adversary anywhere in the world at any time.  The current service life extends beyond 2040.This line item funds modifications to the B-1B aircraft and associated simulators and equipment. The specific modifications budgeted and programmed are below.Funding for this exhibit contained in PE 0101126F.","2014","Air Force","B-1B","Millions","B01B00","30","Millions","Each","","0101126F","Each","","Strategic Aircraft","","","","","2013-04","PB","Modification of Inservice Aircraft","1418709954","2014-12-16T06:05:54+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","2014","A","Air Force Active","149.756","198.007","","102.804","130.423","70.212","132.222","141.643","132.222","","","","","","","","","","358.329",
"e328f9970de08a2f518eb698fd3d46bb","The B-1B Lancer is a swing-wing supersonic long-range conventional bomber.  It carries the largest payload of both guided and unguided weapons in the Air Force inventory.  The multi-mission B-1B is the backbone of America's long-range bomber force and can rapidly deliver massive quantities of precision and non-precision weapons against any adversary anywhere in the world at any time.  The current service life extends beyond 2040.This line item funds modifications to the B-1B aircraft and associated simulators and equipment. The specific modifications budgeted and programmed are below.Funding for this exhibit contained in PE 0101126F.","2014","Air Force","B-1B","Millions","B01B00","30","Millions","Each","","0207446F","Each","","Strategic Aircraft","","","","","2013-04","PB","Modification of Inservice Aircraft","1418709954","2014-12-16T06:05:54+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","2014","A","Air Force Active","149.756","198.007","","102.804","130.423","70.212","132.222","141.643","132.222","","","","","","","","","","358.329",
"e328f9970de08a2f518eb698fd3d46bb","The B-1B Lancer is a swing-wing supersonic long-range conventional bomber.  It carries the largest payload of both guided and unguided weapons in the Air Force inventory.  The multi-mission B-1B is the backbone of America's long-range bomber force and can rapidly deliver massive quantities of precision and non-precision weapons against any adversary anywhere in the world at any time.  The current service life extends beyond 2040.This line item funds modifications to the B-1B aircraft and associated simulators and equipment. The specific modifications budgeted and programmed are below.Funding for this exhibit contained in PE 0101126F.","2014","Air Force","B-1B","Millions","B01B00","30","Millions","Each","Where applicable justification for individual modifications is provided in the P-3A exhibits.","0809731F","Each","Aircraft Procurement Air Force","Strategic Aircraft","3010F","AB","5","1","2013-04","PB","Modification of Inservice Aircraft","1418709954","2014-12-16T06:05:54+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","2014","A","Air Force Active","149.756","198.007","","102.804","130.423","70.212","132.222","141.643","132.222","","","","","","","","","","358.329",
"e3138ae340ca375233c8eee7e9bf8711","HC-130 recapitalization will replace and augment the aging USAF fleets of combat rescue HC-130P/N aircraft which are experiencing airworthiness maintainability and operational limitations.  A common baseline aircraft configuration is being provided for the HC-130 Recap the MC-130 Recap and new AC-130 Recap programs.   Beginning with the FY11 President's Budget the HC-130 Recap and MC-130 Recap programs are being reported separately for improved visibility.  FY08-10 HC-130 Recap program details are reported as part of the HC/MC Recap program.Advance procurement (AP) funds long lead items required to maintain the production schedule.  These long lead items include structural components engine mounts engine components flap shafts and generators.  Congress added $120M of FY12 AP to fund long lead items for all FY13 C-130J variants.  $10M of that AP is in the FY12 HC-130 RECAP AP funding line for 1 FY13 HC-130J aircraft.This funding request incorporates a Multi-Year Procurement (MYP) for FY14 thru FY18.  In support of the FY14 MYP $48M of EOQ has been added in FY14.  Additionally funds for potential Diminishing Manufacturing Sources (DMS) life of type/last time buys are included.Funding for this exhibit is contained in PE 0207224F.","2014","Air Force","HC-130J","Millions","C130JH","8","Millions","Each","","0605278F","Each","","Other Airlift","","","","","2013-04","PB","Airlift Aircraft","1418709945","2014-12-16T06:05:45+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","2014","A","","","","","","","","","","","","","","","","","","","257","",
