"id","timestamp.meta","timestamp_iso8601.meta","fiscal_year.meta","source.meta","catalog.meta","data_type.meta","classification.meta","resource.meta","source_filename.meta","type.meta","value.Name.Manufacturer.ManufacturerList.Item.ItemList.Category.CategoryList.P40AItemGroup.ItemExhibitList.record","value.MinimumSustainingRate.Manufacturer.ManufacturerList.Item.ItemList.Category.CategoryList.P40AItemGroup.ItemExhibitList.record","value.Rate185.Manufacturer.ManufacturerList.Item.ItemList.Category.CategoryList.P40AItemGroup.ItemExhibitList.record","value.TotalLeadTimeAfterOct1InMonths.InitialQuantity.Manufacturer.ManufacturerList.Item.ItemList.Category.CategoryList.P40AItemGroup.ItemExhibitList.record","value.ProductionLeadTimeAfterOct1InMonths.InitialQuantity.Manufacturer.ManufacturerList.Item.ItemList.Category.CategoryList.P40AItemGroup.ItemExhibitList.record","value.AdminLeadTimeAfterOct1InMonths.InitialQuantity.Manufacturer.ManufacturerList.Item.ItemList.Category.CategoryList.P40AItemGroup.ItemExhibitList.record","value.AdminLeadTimeBeforeOct1InMonths.InitialQuantity.Manufacturer.ManufacturerList.Item.ItemList.Category.CategoryList.P40AItemGroup.ItemExhibitList.record","value.Location.Manufacturer.ManufacturerList.Item.ItemList.Category.CategoryList.P40AItemGroup.ItemExhibitList.record","value.MaximumProductionRate.Manufacturer.ManufacturerList.Item.ItemList.Category.CategoryList.P40AItemGroup.ItemExhibitList.record","value.Quantity.HistoryPlanning.HistoryPlanningList.Manufacturer.ManufacturerList.Item.ItemList.Category.CategoryList.P40AItemGroup.ItemExhibitList.record","value.FiscalYear.HistoryPlanning.HistoryPlanningList.Manufacturer.ManufacturerList.Item.ItemList.Category.CategoryList.P40AItemGroup.ItemExhibitList.record","value.AwardDate.HistoryPlanning.HistoryPlanningList.Manufacturer.ManufacturerList.Item.ItemList.Category.CategoryList.P40AItemGroup.ItemExhibitList.record","value.SpecsAvailableNow.HistoryPlanning.HistoryPlanningList.Manufacturer.ManufacturerList.Item.ItemList.Category.CategoryList.P40AItemGroup.ItemExhibitList.record","value.FundingVehicle.HistoryPlanning.HistoryPlanningList.Manufacturer.ManufacturerList.Item.ItemList.Category.CategoryList.P40AItemGroup.ItemExhibitList.record","value.PCOLocation.HistoryPlanning.HistoryPlanningList.Manufacturer.ManufacturerList.Item.ItemList.Category.CategoryList.P40AItemGroup.ItemExhibitList.record","value.FirstDeliveryDate.HistoryPlanning.HistoryPlanningList.Manufacturer.ManufacturerList.Item.ItemList.Category.CategoryList.P40AItemGroup.ItemExhibitList.record","value.ProcQuantity.MonthlyDeliverySchedule.MonthlyDeliveryScheduleList.HistoryPlanning.HistoryPlanningList.Manufacturer.ManufacturerList.Item.ItemList.Category.CategoryList.P40AItemGroup.ItemExhibitList.record","value.Amount.MonthlyDelivery.MonthlyDeliveryList.MonthlyDeliverySchedule.MonthlyDeliveryScheduleList.HistoryPlanning.HistoryPlanningList.Manufacturer.ManufacturerList.Item.ItemList.Category.CategoryList.P40AItemGroup.ItemExhibitList.record","value.Month.MonthlyDelivery.MonthlyDeliveryList.MonthlyDeliverySchedule.MonthlyDeliveryScheduleList.HistoryPlanning.HistoryPlanningList.Manufacturer.ManufacturerList.Item.ItemList.Category.CategoryList.P40AItemGroup.ItemExhibitList.record","value.ServiceAgencyName.MonthlyDeliverySchedule.MonthlyDeliveryScheduleList.HistoryPlanning.HistoryPlanningList.Manufacturer.ManufacturerList.Item.ItemList.Category.CategoryList.P40AItemGroup.ItemExhibitList.record","value.AcceptedBeforeOct1.MonthlyDeliverySchedule.MonthlyDeliveryScheduleList.HistoryPlanning.HistoryPlanningList.Manufacturer.ManufacturerList.Item.ItemList.Category.CategoryList.P40AItemGroup.ItemExhibitList.record","value.UnitCost.HistoryPlanning.HistoryPlanningList.Manufacturer.ManufacturerList.Item.ItemList.Category.CategoryList.P40AItemGroup.ItemExhibitList.record","value.TotalLeadTimeAfterOct1InMonths.ReorderQuantity.Manufacturer.ManufacturerList.Item.ItemList.Category.CategoryList.P40AItemGroup.ItemExhibitList.record","value.ProductionLeadTimeAfterOct1InMonths.ReorderQuantity.Manufacturer.ManufacturerList.Item.ItemList.Category.CategoryList.P40AItemGroup.ItemExhibitList.record","value.AdminLeadTimeAfterOct1InMonths.ReorderQuantity.Manufacturer.ManufacturerList.Item.ItemList.Category.CategoryList.P40AItemGroup.ItemExhibitList.record","value.AdminLeadTimeBeforeOct1InMonths.ReorderQuantity.Manufacturer.ManufacturerList.Item.ItemList.Category.CategoryList.P40AItemGroup.ItemExhibitList.record","value.RFPIssueDate.HistoryPlanning.HistoryPlanningList.Manufacturer.ManufacturerList.Item.ItemList.Category.CategoryList.P40AItemGroup.ItemExhibitList.record","value.ContractType.HistoryPlanning.HistoryPlanningList.Manufacturer.ManufacturerList.Item.ItemList.Category.CategoryList.P40AItemGroup.ItemExhibitList.record","value.ContractMethod.HistoryPlanning.HistoryPlanningList.Manufacturer.ManufacturerList.Item.ItemList.Category.CategoryList.P40AItemGroup.ItemExhibitList.record","value.OCO.HistoryPlanning.HistoryPlanningList.Manufacturer.ManufacturerList.Item.ItemList.Category.CategoryList.P40AItemGroup.ItemExhibitList.record","@footnote.FiscalYear.HistoryPlanning.HistoryPlanningList.Manufacturer.ManufacturerList.Item.ItemList.Category.CategoryList.P40AItemGroup.ItemExhibitList.record","@footnote.ProcQuantity.MonthlyDeliverySchedule.MonthlyDeliveryScheduleList.HistoryPlanning.HistoryPlanningList.Manufacturer.ManufacturerList.Item.ItemList.Category.CategoryList.P40AItemGroup.ItemExhibitList.record","value.RevisionsAvailableDate.HistoryPlanning.HistoryPlanningList.Manufacturer.ManufacturerList.Item.ItemList.Category.CategoryList.P40AItemGroup.ItemExhibitList.record","@footnote.Name.Manufacturer.ManufacturerList.Item.ItemList.Category.CategoryList.P40AItemGroup.ItemExhibitList.record",
"7996f594e2ac592eb0b0d26b1156949b","1418709975","2014-12-16T06:06:15+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","2014","GSA/GENERAL MOTORS","0.00","0.00","0","0","0","0","DETROIT MI","0.00","1","2012","2011-11","true","MIPR","AFMC/WR-ALC","2012-02","","","","","","16312.000","0","0","0","0","","","","","","","","",
"7996f594e2ac592eb0b0d26b1156949b","1418709975","2014-12-16T06:06:15+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","2014","GSA/UNKNOWN","0.00","0.00","0","0","0","0","UNKNOWN","0.00","3","2013","2013-05","true","MIPR","AFMC/WR-ALC","2013-08","","","","","","20711.000","","","","","","","","","","","","",
"7996f594e2ac592eb0b0d26b1156949b","1418709975","2014-12-16T06:06:15+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","2014","GSA/UNKNOWN","0.00","0.00","0","0","0","0","UNKNOWN","0.00","3","2014","2014-05","true","MIPR","AFMC/WR-ALC","2014-08","","","","","","19000.000","0","0","0","0","","","","","","","","",
"7996f594e2ac592eb0b0d26b1156949b","1418709975","2014-12-16T06:06:15+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","2014","GSA/UNKNOWN","0.00","0.00","0","0","0","0","UNKNOWN","0.00","1","2013","2013-05","true","MIPR","AFMC/WR-ALC","2013-08","","","","","","29666.000","0","0","0","0","","","","","","","","",
"7996f594e2ac592eb0b0d26b1156949b","1418709975","2014-12-16T06:06:15+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","2014","GSA/FORD","0.00","0.00","0","0","0","0","DEARBORN MI","0.00","28","2012","2012-02","true","MIPR","AFMC/WR-ALC","2012-05","","","","","","25834.680","0","0","0","0","","","","","","","","",
"7996f594e2ac592eb0b0d26b1156949b","1418709975","2014-12-16T06:06:15+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","2014","GSA/UNKNOWN","0.00","0.00","0","0","0","0","UNKNOWN","0.00","7","2013","2013-05","true","MIPR","AFMC/WR-ALC","2013-08","","","","","","29857.000","","","","","","","","","","","","",
"7996f594e2ac592eb0b0d26b1156949b","1418709975","2014-12-16T06:06:15+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","2014","GSA/UNKNOWN","0.00","0.00","0","0","0","0","UNKNOWN","0.00","9","2014","2014-05","true","MIPR","AFMC/WR-ALC","2014-08","","","","","","28000.000","0","0","0","0","","","","","","","","",
"7996f594e2ac592eb0b0d26b1156949b","1418709975","2014-12-16T06:06:15+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","2014","GSA/GENERAL MOTORS","0.00","0.00","0","0","0","0","DETROIT MI","0.00","30","2012","2012-04","true","MIPR","AFMC/WR-ALC","2012-07","","","","","","21161.930","0","0","0","0","","","","","","","","",
"7996f594e2ac592eb0b0d26b1156949b","1418709975","2014-12-16T06:06:15+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","2014","GSA/UNKNOWN","0.00","0.00","0","0","0","0","UNKNOWN","0.00","3","2013","2013-05","true","MIPR","AFMC/WR-ALC","2013-08","","","","","","24511.000","","","","","","","","","","","","",
"7996f594e2ac592eb0b0d26b1156949b","1418709975","2014-12-16T06:06:15+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","2014","GSA/UNKNOWN","0.00","0.00","0","0","0","0","UNKNOWN","0.00","20","2014","2014-05","true","MIPR","AFMC/WR-ALC","2014-08","","","","","","23050.000","0","0","0","0","","","","","","","","",
"7996f594e2ac592eb0b0d26b1156949b","1418709975","2014-12-16T06:06:15+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","2014","GSA/GENERAL MOTORS","0.00","0.00","0","0","0","0","OKLAHOMA CITY","0.00","2","2012","2012-03","true","MIPR","AFMC/WR-ALC","2012-04","","","","","","38817.500","0","0","0","0","","","","","","","","",
"7996f594e2ac592eb0b0d26b1156949b","1418709975","2014-12-16T06:06:15+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","2014","GSA/UNKNOWN","0.00","0.00","0","0","0","0","UNKNOWN","0.00","4","2013","2013-05","true","MIPR","AFMC/WR-ALC","2013-08","","","","","","38592.000","","","","","","","","","","","","",
"7996f594e2ac592eb0b0d26b1156949b","1418709975","2014-12-16T06:06:15+00:00","2014","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-base","PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","2014","GSA/UNKNOWN","0.00","0.00","0","0","0","0","UNKNOWN","0.00","10","2014","2014-05","true","MIPR","AFMC/WR-ALC","2014-08","","","","","","52900.000","0","0","0","0","","","","","","","","",
