"id","fiscal_year.meta.partial.fields","timestamp_iso8601.meta.partial.fields","timestamp.meta.partial.fields","source.meta.partial.fields","data_type.meta.partial.fields","catalog.meta.partial.fields","classification.meta.partial.fields","source_filename.meta.partial.fields","resource.meta.partial.fields","type.meta.partial.fields","value.BudgetYearFour.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearThree.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearFive.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearOneBase.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.PriorYear.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearTwo.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearOne.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearFour.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearThree.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearFive.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearOneBase.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.PriorYear.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearTwo.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearOne.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearFour.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearTwo.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearThree.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearFive.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearOne.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearOneBase.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearFour.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearTwo.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearThree.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearFive.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearOne.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearOneBase.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.Name.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.ServiceAgencyName.record.partial.fields","value.PriorYear.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.PriorYear.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.CurrentYear.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.CurrentYear.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.CurrentYear.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.CurrentYear.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields",
"24ab532995e36656c58d301b8048ace5","2015","2014-12-16T00:56:36+00:00","1418691396","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","procurement-base","2015","","","","13.159","154.864","","13.159","","","","","","","","","","","","13.159","13.159","","","","","","","Air Force Active","","140.962","","121.247","","121.247","",
"24ab532995e36656c58d301b8048ace5","2015","2014-12-16T00:56:36+00:00","1418691396","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","procurement-base","2015","","","","13.159","154.864","","13.159","","","","","","","","","","","","","","","","","","","","Air National Guard","","9.268","","121.247","","","",
"24ab532995e36656c58d301b8048ace5","2015","2014-12-16T00:56:36+00:00","1418691396","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","procurement-base","2015","","","","13.159","154.864","","13.159","","","","","","","","","","","","","","","","","","","","Air Force Reserve","Air Force","4.634","","121.247","","","",
"75f5e937301e3f5329956ca4f7dbbbe0","2015","2014-12-16T00:56:39+00:00","1418691399","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","procurement-base","2015","26.063","26.53","26.515","14.486","13.633","18.208","14.486","","","","","","","","26.063","18.208","26.53","26.515","14.486","14.486","","","","","","","Air Force Active","","13.633","","5.392","","5.392","",
"75f5e937301e3f5329956ca4f7dbbbe0","2015","2014-12-16T00:56:39+00:00","1418691399","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","procurement-base","2015","26.063","26.53","26.515","14.486","13.633","18.208","14.486","","","","","","","","","","","","","","","","","","","","Air Force Reserve","Air Force","0.000","","5.392","","","",
"4b70bd447618ac7893c11c8bad4a3911","2015","2014-12-16T00:57:03+00:00","1418691423","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","procurement-base","2015","","","","14.568","3.948","","14.568","","","","","","","","","","","","13.968","13.968","","","","","","","Air Force Active","","3.948","","12.106","","10.769","",
"4b70bd447618ac7893c11c8bad4a3911","2015","2014-12-16T00:57:03+00:00","1418691423","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","procurement-base","2015","","","","14.568","3.948","","14.568","","","","","","","","","","","","","","","","","","","","Air National Guard","","","","12.106","","0.334","",
"4b70bd447618ac7893c11c8bad4a3911","2015","2014-12-16T00:57:03+00:00","1418691423","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","procurement-base","2015","","","","14.568","3.948","","14.568","","","","","","","","","","","","0.6","0.6","","","","","","","Air Force Reserve","Air Force","","","12.106","","1.003","",
"91cac22670632fc506f33a4fb8d47983","2015","2014-12-16T00:56:59+00:00","1418691419","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","procurement-base","2015","0.000","0.000","0.000","9.565","9.353","0.000","9.565","","","","","","","","0.000","0.000","0.000","0.000","9.27","9.27","","","","","","","Air Force Active","","9.058","","7.387","","7.092","",
"91cac22670632fc506f33a4fb8d47983","2015","2014-12-16T00:56:59+00:00","1418691419","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","procurement-base","2015","0.000","0.000","0.000","9.565","9.353","0.000","9.565","","","","","","","","0.000","0.000","0.000","0.000","0.15","0.15","","","","","","","Air National Guard","","0.15","","7.387","","0.15","",
