"id","fiscal_year.meta.partial.fields","timestamp_iso8601.meta.partial.fields","timestamp.meta.partial.fields","source.meta.partial.fields","data_type.meta.partial.fields","catalog.meta.partial.fields","classification.meta.partial.fields","source_filename.meta.partial.fields","resource.meta.partial.fields","type.meta.partial.fields","value.BudgetYearFour.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearThree.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearFive.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearOneBase.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearTwo.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.PriorYear.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.CurrentYear.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearOne.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearFour.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearThree.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearFive.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearOneBase.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearTwo.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.PriorYear.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.CurrentYear.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearOne.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearFour.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearThree.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearFive.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearFour.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearThree.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearFive.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.Name.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.ServiceAgencyName.record.partial.fields","value.BudgetYearOneBase.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearTwo.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.PriorYear.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.CurrentYear.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearOne.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearOneBase.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearTwo.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.PriorYear.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.CurrentYear.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearOne.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.Cost.PriorYearsDelta.record.partial.fields","value.BudgetYearOneOCO.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearOneOCO.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearOneOCO.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearOneOCO.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.Quantity.PriorYearsDelta.record.partial.fields","value.BudgetYearFour.Cost.ModsOutYearDelta.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearThree.Cost.ModsOutYearDelta.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearFive.Cost.ModsOutYearDelta.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearTwo.Cost.ModsOutYearDelta.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearFour.Quantity.ModsOutYearDelta.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearThree.Quantity.ModsOutYearDelta.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearFive.Quantity.ModsOutYearDelta.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearTwo.Quantity.ModsOutYearDelta.Component.ComponentList.SecondaryDistribution.record.partial.fields",
"4cc126d8d1cd53d640928b7dbadeb624","2016","2015-02-03T15:51:49+00:00","1422978709","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_MasterJustificationBook_Navy_PB_2016.xml","procurement-base","2016","10.374","12.045","10.582","8.916","15.234","17.487","4.035","8.916","","","","","","","","","10.374","12.045","10.582","","","","Navy Reserve","Navy","8.916","15.234","17.487","4.035","8.916","","","","","","","","","","","","","","","","","","","",
"e97af54262048ded182d30abbdeab5cf","2016","2015-02-03T15:51:44+00:00","1422978704","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_MasterJustificationBook_Navy_PB_2016.xml","procurement-base","2016","3.682","0.639","3.754","5.816","1.417","2.992","4.918","5.816","","","","","","","","","3.682","0.639","3.754","","","","Navy Reserve","Navy","5.816","1.417","2.992","4.918","5.816","","","","","","","","","","","","","","","","","","","",
"2d1b5b6a18e5408b9aca812b901c0f10","2016","2015-02-03T15:52:49+00:00","1422978769","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Navy_PB_2016.xml","procurement-base","2016","23.535","19.602","24.042","35.118","25.183","102.522","17.295","35.118","","","","","","","","","16.882","15.936","17.251","","","","Navy Active","Navy","29.691","21.27","100.38","14.743","29.691","","","2","","","","","","","","","","","","","","","","",
"2d1b5b6a18e5408b9aca812b901c0f10","2016","2015-02-03T15:52:49+00:00","1422978769","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Navy_PB_2016.xml","procurement-base","2016","23.535","19.602","24.042","35.118","25.183","102.522","17.295","35.118","","","","","","","","","6.653","3.666","6.791","","","","Navy Reserve","Navy","5.427","3.913","2.142","2.552","5.427","","","","","","","","","","","","","","","","","","","",
"e738f56ded22ae774c37337c46fbd0e4","2016","2015-02-03T15:52:46+00:00","1422978766","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Navy_PB_2016.xml","procurement-base","2016","18.068","17.698","18.222","14.467","15.4","38.062","23.999","14.467","","","","","","","","","15.506","15.187","15.608","","","","Navy Active","Navy","13.977","14.902","33.306","20.803","13.977","","","","1","","","","","","","","","","","","","","","",
"e738f56ded22ae774c37337c46fbd0e4","2016","2015-02-03T15:52:46+00:00","1422978766","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Navy_PB_2016.xml","procurement-base","2016","18.068","17.698","18.222","14.467","15.4","38.062","23.999","14.467","","","","","","","","","2.562","2.511","2.614","","","","Navy Reserve","Navy","0.49","0.498","4.756","3.196","0.49","","","","","","","","","","","","","","","","","","","",
"bb958abc5796502105fa874774318040","2016","2015-02-03T15:52:56+00:00","1422978776","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Navy_PB_2016.xml","procurement-base","2016","1.35","1.307","1.377","0.962","0.771","2.189","1.662","0.962","","","","","","","","","0.788","0.772","0.804","","","","Navy Active","Navy","0.242","0.41","1.101","0.841","0.242","","","","","","","","","","","","","","","","","","","",
"bb958abc5796502105fa874774318040","2016","2015-02-03T15:52:56+00:00","1422978776","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Navy_PB_2016.xml","procurement-base","2016","1.35","1.307","1.377","0.962","0.771","2.189","1.662","0.962","","","","","","","","","0.562","0.535","0.573","","","","Navy Reserve","Navy","0.72","0.361","1.088","0.821","0.72","","","","","","","","","","","","","","","","","","","",
"4439f398ff05ab00d2a6dad11f97c0f2","2016","2015-02-03T15:52:51+00:00","1422978771","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Navy_PB_2016.xml","procurement-base","2016","59.894","73","61.133","66.123","81.504","53.829","67.075","66.123","","","","","","","","","55.36","68.497","56.506","","","","Navy Active","Navy","63.006","77.292","49.247","61.739","63.006","","","","","","","","","","","","","","","","","","","",
"4439f398ff05ab00d2a6dad11f97c0f2","2016","2015-02-03T15:52:51+00:00","1422978771","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Navy_PB_2016.xml","procurement-base","2016","59.894","73","61.133","66.123","81.504","53.829","67.075","66.123","","","","","","","","","4.534","4.503","4.627","","","","Navy Reserve","Navy","3.117","4.212","4.582","5.336","3.117","","","","","","","","","","","","","","","","","","","",
