"id","catalog.meta","resource.meta","type.meta","data_type.meta","timestamp.meta","timestamp_iso8601.meta","source.meta","source_filename.meta","fiscal_year.meta","classification.meta","@monetaryUnit.record","value.ProgramElementNumber.record","value.ProgramElementTitle.record","value.R1LineNumber.record","value.BudgetYear.record","value.BudgetCycle.record","value.SubmissionDate.record","value.ServiceAgencyName.record","value.AppropriationCode.record","value.AppropriationName.record","value.BudgetActivityNumber.record","value.BudgetActivityTitle.record","value.PriorYear.ProgramElementFunding.record","value.CurrentYear.ProgramElementFunding.record","value.BudgetYearOne.ProgramElementFunding.record","value.BudgetYearOneBase.ProgramElementFunding.record","value.BudgetYearOneOCO.ProgramElementFunding.record","value.BudgetYearTwo.ProgramElementFunding.record","value.BudgetYearThree.ProgramElementFunding.record","value.BudgetYearFour.ProgramElementFunding.record","value.BudgetYearFive.ProgramElementFunding.record","value.CostToComplete.ProgramElementFunding.record","value.TotalCost.ProgramElementFunding.record","value.ProgramElementNote.record","value.ProgramElementMissionDescription.record","value.ProjectNumber.Project.ProjectList.record","value.ProjectTitle.Project.ProjectList.record","value.PriorYear.ProjectFunding.Project.ProjectList.record","value.CurrentYear.ProjectFunding.Project.ProjectList.record","value.BudgetYearOne.ProjectFunding.Project.ProjectList.record","value.BudgetYearOneBase.ProjectFunding.Project.ProjectList.record","value.BudgetYearOneOCO.ProjectFunding.Project.ProjectList.record","value.BudgetYearTwo.ProjectFunding.Project.ProjectList.record","value.BudgetYearThree.ProjectFunding.Project.ProjectList.record","value.BudgetYearFour.ProjectFunding.Project.ProjectList.record","value.BudgetYearFive.ProjectFunding.Project.ProjectList.record","value.CostToComplete.ProjectFunding.Project.ProjectList.record","value.TotalCost.ProjectFunding.Project.ProjectList.record","value.Name.CostCategoryGroup.CostCategoryGroupList.R3Exhibit.Project.ProjectList.record","value.Name.CostCategoryItem.CostCategoryItemList.CostCategoryGroup.CostCategoryGroupList.R3Exhibit.Project.ProjectList.record","value.ContractMethod.CostCategoryItem.CostCategoryItemList.CostCategoryGroup.CostCategoryGroupList.R3Exhibit.Project.ProjectList.record","value.ContractType.CostCategoryItem.CostCategoryItemList.CostCategoryGroup.CostCategoryGroupList.R3Exhibit.Project.ProjectList.record","value.PerformingActivity.CostCategoryItem.CostCategoryItemList.CostCategoryGroup.CostCategoryGroupList.R3Exhibit.Project.ProjectList.record","value.PerformingActivityLocation.CostCategoryItem.CostCategoryItemList.CostCategoryGroup.CostCategoryGroupList.R3Exhibit.Project.ProjectList.record","value.TotalPreviousYears.Cost.CostCategoryItem.CostCategoryItemList.CostCategoryGroup.CostCategoryGroupList.R3Exhibit.Project.ProjectList.record","value.Amount.BudgetYearOne.Cost.CostCategoryItem.CostCategoryItemList.CostCategoryGroup.CostCategoryGroupList.R3Exhibit.Project.ProjectList.record","value.Amount.BudgetYearOneBase.Cost.CostCategoryItem.CostCategoryItemList.CostCategoryGroup.CostCategoryGroupList.R3Exhibit.Project.ProjectList.record","value.Amount.BudgetYearOneOCO.Cost.CostCategoryItem.CostCategoryItemList.CostCategoryGroup.CostCategoryGroupList.R3Exhibit.Project.ProjectList.record","value.CostToComplete.Cost.CostCategoryItem.CostCategoryItemList.CostCategoryGroup.CostCategoryGroupList.R3Exhibit.Project.ProjectList.record","value.TotalCost.Cost.CostCategoryItem.CostCategoryItemList.CostCategoryGroup.CostCategoryGroupList.R3Exhibit.Project.ProjectList.record","value.TargetValue.Cost.CostCategoryItem.CostCategoryItemList.CostCategoryGroup.CostCategoryGroupList.R3Exhibit.Project.ProjectList.record","value.Amount.PriorYear.Cost.CostCategoryItem.CostCategoryItemList.CostCategoryGroup.CostCategoryGroupList.R3Exhibit.Project.ProjectList.record","value.Amount.CurrentYear.Cost.CostCategoryItem.CostCategoryItemList.CostCategoryGroup.CostCategoryGroupList.R3Exhibit.Project.ProjectList.record","value.FundingVehicle.CostCategoryItem.CostCategoryItemList.CostCategoryGroup.CostCategoryGroupList.R3Exhibit.Project.ProjectList.record","value.AwardDate.PriorYear.Cost.CostCategoryItem.CostCategoryItemList.CostCategoryGroup.CostCategoryGroupList.R3Exhibit.Project.ProjectList.record","value.AwardDate.CurrentYear.Cost.CostCategoryItem.CostCategoryItemList.CostCategoryGroup.CostCategoryGroupList.R3Exhibit.Project.ProjectList.record","value.AwardDate.BudgetYearOneBase.Cost.CostCategoryItem.CostCategoryItemList.CostCategoryGroup.CostCategoryGroupList.R3Exhibit.Project.ProjectList.record",
"cb3b40628628387c7e115f55d322c5d9","dodbudget","rdte-amended","2015","record","1418676856","2014-12-15T20:54:16+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2015.xml","2015","public","Millions","0603747A","Soldier Support and Survivability","61","2015","PBAmended","2014-06","Army","2040","Research Development Test & Evaluation Army","4","Advanced Component Development & Prototypes (ACD&P)","15.936","11.685","14.102","9.602","4.500","10.582","10.774","11.368","9.689","Continuing","Continuing","Note: FY 2013 Previous President's Budget (FY 2014) amount shown in B. Program Change Summary is an electronic error and should be $10073.","This program element supports component development and prototyping for organizational equipment improved individual clothing and equipment that enhance Soldier battlefield effectiveness survivability and sustainment.  This program element also supports the component development and prototyping of joint service food and combat feeding equipment designed to reduce logistics burden.","610","Food Adv Development","3.576","5.185","3.482","3.482","","4.818","4.904","5.499","5.080","Continuing","Continuing","Management Services","Combat Feeding Program Management","","","RDECOM Natick MA","Natick MA","4.484","0.357","0.357","","Continuing","Continuing","Continuing","0.428","0.532","Various","2013-01","2014-04","2014-12",
"cb3b40628628387c7e115f55d322c5d9","dodbudget","rdte-amended","2015","record","1418676856","2014-12-15T20:54:16+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2015.xml","2015","public","Millions","0603747A","Soldier Support and Survivability","61","2015","PBAmended","2014-06","Army","2040","Research Development Test & Evaluation Army","4","Advanced Component Development & Prototypes (ACD&P)","15.936","11.685","14.102","9.602","4.500","10.582","10.774","11.368","9.689","Continuing","Continuing","Note: FY 2013 Previous President's Budget (FY 2014) amount shown in B. Program Change Summary is an electronic error and should be $10073.","This program element supports component development and prototyping for organizational equipment improved individual clothing and equipment that enhance Soldier battlefield effectiveness survivability and sustainment.  This program element also supports the component development and prototyping of joint service food and combat feeding equipment designed to reduce logistics burden.","610","Food Adv Development","3.576","5.185","3.482","3.482","","4.818","4.904","5.499","5.080","Continuing","Continuing","Management Services","SBIR+STTR","","","Various","Various","0.117","","","","0","0.117","0","","","TBD","","","",
"cb3b40628628387c7e115f55d322c5d9","dodbudget","rdte-amended","2015","record","1418676856","2014-12-15T20:54:16+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2015.xml","2015","public","Millions","0603747A","Soldier Support and Survivability","61","2015","PBAmended","2014-06","Army","2040","Research Development Test & Evaluation Army","4","Advanced Component Development & Prototypes (ACD&P)","15.936","11.685","14.102","9.602","4.500","10.582","10.774","11.368","9.689","Continuing","Continuing","Note: FY 2013 Previous President's Budget (FY 2014) amount shown in B. Program Change Summary is an electronic error and should be $10073.","This program element supports component development and prototyping for organizational equipment improved individual clothing and equipment that enhance Soldier battlefield effectiveness survivability and sustainment.  This program element also supports the component development and prototyping of joint service food and combat feeding equipment designed to reduce logistics burden.","610","Food Adv Development","3.576","5.185","3.482","3.482","","4.818","4.904","5.499","5.080","Continuing","Continuing","Product Development","Joint Service Food/Combat Feeding Equipment","","","RDECOM Natick MA","Natick MA","34.425","1.307","1.307","","Continuing","Continuing","Continuing","1.364","1.952","Various","2013-11","2014-03","2014-12",
"cb3b40628628387c7e115f55d322c5d9","dodbudget","rdte-amended","2015","record","1418676856","2014-12-15T20:54:16+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2015.xml","2015","public","Millions","0603747A","Soldier Support and Survivability","61","2015","PBAmended","2014-06","Army","2040","Research Development Test & Evaluation Army","4","Advanced Component Development & Prototypes (ACD&P)","15.936","11.685","14.102","9.602","4.500","10.582","10.774","11.368","9.689","Continuing","Continuing","Note: FY 2013 Previous President's Budget (FY 2014) amount shown in B. Program Change Summary is an electronic error and should be $10073.","This program element supports component development and prototyping for organizational equipment improved individual clothing and equipment that enhance Soldier battlefield effectiveness survivability and sustainment.  This program element also supports the component development and prototyping of joint service food and combat feeding equipment designed to reduce logistics burden.","610","Food Adv Development","3.576","5.185","3.482","3.482","","4.818","4.904","5.499","5.080","Continuing","Continuing","Product Development","Joint Service Food/Combat Feeding Equipment","","","Various","Various","22.664","1.385","1.385","","Continuing","Continuing","Continuing","1.266","2.066","Various","2013-11","2014-03","2014-12",
"cb3b40628628387c7e115f55d322c5d9","dodbudget","rdte-amended","2015","record","1418676856","2014-12-15T20:54:16+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2015.xml","2015","public","Millions","0603747A","Soldier Support and Survivability","61","2015","PBAmended","2014-06","Army","2040","Research Development Test & Evaluation Army","4","Advanced Component Development & Prototypes (ACD&P)","15.936","11.685","14.102","9.602","4.500","10.582","10.774","11.368","9.689","Continuing","Continuing","Note: FY 2013 Previous President's Budget (FY 2014) amount shown in B. Program Change Summary is an electronic error and should be $10073.","This program element supports component development and prototyping for organizational equipment improved individual clothing and equipment that enhance Soldier battlefield effectiveness survivability and sustainment.  This program element also supports the component development and prototyping of joint service food and combat feeding equipment designed to reduce logistics burden.","610","Food Adv Development","3.576","5.185","3.482","3.482","","4.818","4.904","5.499","5.080","Continuing","Continuing","Test and Evaluation","Joint Service Food/Combat Feeding Equipment","","","DTC/AEC","National Capitol Region","9.128","0.433","0.433","","Continuing","Continuing","Continuing","0.518","0.635","Various","2013-11","2014-05","2015-05",
"cb3b40628628387c7e115f55d322c5d9","dodbudget","rdte-amended","2015","record","1418676856","2014-12-15T20:54:16+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2015.xml","2015","public","Millions","0603747A","Soldier Support and Survivability","61","2015","PBAmended","2014-06","Army","2040","Research Development Test & Evaluation Army","4","Advanced Component Development & Prototypes (ACD&P)","15.936","11.685","14.102","9.602","4.500","10.582","10.774","11.368","9.689","Continuing","Continuing","Note: FY 2013 Previous President's Budget (FY 2014) amount shown in B. Program Change Summary is an electronic error and should be $10073.","This program element supports component development and prototyping for organizational equipment improved individual clothing and equipment that enhance Soldier battlefield effectiveness survivability and sustainment.  This program element also supports the component development and prototyping of joint service food and combat feeding equipment designed to reduce logistics burden.","C08","Rapid Equipping Force","12.360","6.500","10.620","6.120","4.500","5.764","5.870","5.869","4.609","Continuing","Continuing","Product Development","Dismounted Improvised Explosive Device (IED) Defeat","C","FFP","Various","Various","1.022","0.711","0.444","0.267","Continuing","Continuing","Continuing","0.894","0.444","","","","",
"cb3b40628628387c7e115f55d322c5d9","dodbudget","rdte-amended","2015","record","1418676856","2014-12-15T20:54:16+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2015.xml","2015","public","Millions","0603747A","Soldier Support and Survivability","61","2015","PBAmended","2014-06","Army","2040","Research Development Test & Evaluation Army","4","Advanced Component Development & Prototypes (ACD&P)","15.936","11.685","14.102","9.602","4.500","10.582","10.774","11.368","9.689","Continuing","Continuing","Note: FY 2013 Previous President's Budget (FY 2014) amount shown in B. Program Change Summary is an electronic error and should be $10073.","This program element supports component development and prototyping for organizational equipment improved individual clothing and equipment that enhance Soldier battlefield effectiveness survivability and sustainment.  This program element also supports the component development and prototyping of joint service food and combat feeding equipment designed to reduce logistics burden.","C08","Rapid Equipping Force","12.360","6.500","10.620","6.120","4.500","5.764","5.870","5.869","4.609","Continuing","Continuing","Product Development","Dismounted Operations Support","C","FFP","Various","Various","1.086","1.780","1.113","0.667","Continuing","Continuing","Continuing","0.969","1.113","","","","",
"cb3b40628628387c7e115f55d322c5d9","dodbudget","rdte-amended","2015","record","1418676856","2014-12-15T20:54:16+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2015.xml","2015","public","Millions","0603747A","Soldier Support and Survivability","61","2015","PBAmended","2014-06","Army","2040","Research Development Test & Evaluation Army","4","Advanced Component Development & Prototypes (ACD&P)","15.936","11.685","14.102","9.602","4.500","10.582","10.774","11.368","9.689","Continuing","Continuing","Note: FY 2013 Previous President's Budget (FY 2014) amount shown in B. Program Change Summary is an electronic error and should be $10073.","This program element supports component development and prototyping for organizational equipment improved individual clothing and equipment that enhance Soldier battlefield effectiveness survivability and sustainment.  This program element also supports the component development and prototyping of joint service food and combat feeding equipment designed to reduce logistics burden.","C08","Rapid Equipping Force","12.360","6.500","10.620","6.120","4.500","5.764","5.870","5.869","4.609","Continuing","Continuing","Product Development","Intelligence Surveillance and Reconnaissance (ISR) Shortfalls in Environmentally Inhospitable OE's","C","FFP","Various","Various","1.885","1.451","0.907","0.544","Continuing","Continuing","Continuing","1.923","0.907","","","","",
"cb3b40628628387c7e115f55d322c5d9","dodbudget","rdte-amended","2015","record","1418676856","2014-12-15T20:54:16+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2015.xml","2015","public","Millions","0603747A","Soldier Support and Survivability","61","2015","PBAmended","2014-06","Army","2040","Research Development Test & Evaluation Army","4","Advanced Component Development & Prototypes (ACD&P)","15.936","11.685","14.102","9.602","4.500","10.582","10.774","11.368","9.689","Continuing","Continuing","Note: FY 2013 Previous President's Budget (FY 2014) amount shown in B. Program Change Summary is an electronic error and should be $10073.","This program element supports component development and prototyping for organizational equipment improved individual clothing and equipment that enhance Soldier battlefield effectiveness survivability and sustainment.  This program element also supports the component development and prototyping of joint service food and combat feeding equipment designed to reduce logistics burden.","C08","Rapid Equipping Force","12.360","6.500","10.620","6.120","4.500","5.764","5.870","5.869","4.609","Continuing","Continuing","Product Development","Small Combat Outpost (COP) / Patrol Base (PB) Force Protection and Sustainment","C","FFP","Various","Various","1.853","","","","Continuing","Continuing","Continuing","1.885","","","","","",
"cb3b40628628387c7e115f55d322c5d9","dodbudget","rdte-amended","2015","record","1418676856","2014-12-15T20:54:16+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2015.xml","2015","public","Millions","0603747A","Soldier Support and Survivability","61","2015","PBAmended","2014-06","Army","2040","Research Development Test & Evaluation Army","4","Advanced Component Development & Prototypes (ACD&P)","15.936","11.685","14.102","9.602","4.500","10.582","10.774","11.368","9.689","Continuing","Continuing","Note: FY 2013 Previous President's Budget (FY 2014) amount shown in B. Program Change Summary is an electronic error and should be $10073.","This program element supports component development and prototyping for organizational equipment improved individual clothing and equipment that enhance Soldier battlefield effectiveness survivability and sustainment.  This program element also supports the component development and prototyping of joint service food and combat feeding equipment designed to reduce logistics burden.","C08","Rapid Equipping Force","12.360","6.500","10.620","6.120","4.500","5.764","5.870","5.869","4.609","Continuing","Continuing","Product Development","Other-REF RIPL Priorities (5-10)","C","FFP","Various","Various","4.154","","","","Continuing","Continuing","0","4.624","","","","","",
