"id","catalog.meta","resource.meta","type.meta","data_type.meta","timestamp.meta","timestamp_iso8601.meta","source.meta","source_filename.meta","fiscal_year.meta","classification.meta","@monetaryUnit.record","value.ProgramElementNumber.record","value.ProgramElementTitle.record","value.R1LineItemNumber.record","value.BudgetYear.record","value.BudgetCycle.record","value.SubmissionDate.record","value.ServiceAgencyName.record","value.AppropriationCode.record","value.AppropriationName.record","value.BudgetActivityNumber.record","value.BudgetActivityTitle.record","value.PriorYear.ProgramElementFunding.record","value.CurrentYear.ProgramElementFunding.record","value.BudgetYearOne.ProgramElementFunding.record","value.BudgetYearOneBase.ProgramElementFunding.record","value.BudgetYearOneOCO.ProgramElementFunding.record","value.BudgetYearTwo.ProgramElementFunding.record","value.BudgetYearThree.ProgramElementFunding.record","value.BudgetYearFour.ProgramElementFunding.record","value.BudgetYearFive.ProgramElementFunding.record","value.ProgramElementMissionDescription.record","value.ProjectNumber.Project.ProjectList.record","value.ProjectTitle.Project.ProjectList.record","value.PriorYear.ProjectFunding.Project.ProjectList.record","value.CurrentYear.ProjectFunding.Project.ProjectList.record","value.BudgetYearOne.ProjectFunding.Project.ProjectList.record","value.BudgetYearOneBase.ProjectFunding.Project.ProjectList.record","value.BudgetYearOneOCO.ProjectFunding.Project.ProjectList.record","value.BudgetYearTwo.ProjectFunding.Project.ProjectList.record","value.BudgetYearThree.ProjectFunding.Project.ProjectList.record","value.BudgetYearFour.ProjectFunding.Project.ProjectList.record","value.BudgetYearFive.ProjectFunding.Project.ProjectList.record","value.EventTitle.ScheduleDetail.ScheduleDetailList.R4aExhibit.Project.ProjectList.record","value.Quarter.Start.Schedule.ScheduleDetail.ScheduleDetailList.R4aExhibit.Project.ProjectList.record","value.Year.Start.Schedule.ScheduleDetail.ScheduleDetailList.R4aExhibit.Project.ProjectList.record","value.Quarter.End.Schedule.ScheduleDetail.ScheduleDetailList.R4aExhibit.Project.ProjectList.record","value.Year.End.Schedule.ScheduleDetail.ScheduleDetailList.R4aExhibit.Project.ProjectList.record",
"dd47fae362cf0a6e9e22f143611e480b","dodbudget","rdte-amended","2014","record","1418676852","2014-12-15T20:54:12+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2014.xml","2014","public","Millions","0604622A","Family of Heavy Tactical Vehicles","87","2014","PBAmended","2013-05","Army","2040","Research Development Test & Evaluation Army","5","System Development & Demonstration (SDD)","5.239","3.077","28.321","21.321","7.000","14.511","7.741","7.034","7.000","This program element aligns system development and demonstration of Heavy Tactical Vehicles with Future Modular Force requirements to support combat and combat support missions.  These missions include the following: line haul local haul and unit resupply. These trucks transport water ammunition and general cargo over all terrain and throughout the battle-space.  Funding will also be used for developing the Army's next generation of tactical trucks as part of the Army's Tactical Wheeled Vehicle Modernization Strategy. Funding in Project 659 supports the Family of Heavy Trucks (FHTV) Heavy Dump Truck (HDT). Funding in Project VR5 supports periodic evolutionary upgrade of survivability and crew protection for Heavy Tactical Vehicles as described in the Long Term Protection Strategy.In FY14 Army PM MRAP will execute research and development on survivability mobility and storage technologies. Within the survivability arena JPO MRAP will focus on improved underbody armor concepts to improve current capabilities and to accomplish this with no to only minimal increase in vehicle weight.  Additional survivability efforts will work toward RPG/Shaped Charge threat defeat mechanisms that have a higher probability of defeating this prolific threat as well as developments in Transparent Armor (TA) that will extend the life of the TA in order to reduce sustainment costs.  Additional analysis of black box data recorders from vehicles operating in a home station training profile will also give us opportunities to reduce operating and sustainment costs when operating CONUS. Due to the size and increased weight of the enduring MRAP variants mobility studies will be conducted to identify technologies that will regain levels of mobility that were traded off during previous survivability upgrades. Since a significant portion of the MRAP vehicles will be stored in APS locations PM MRAP will also conduct corrosion protection efforts to develop strategies to minimize degradation of systems that are held in long term storage."FY 2014 OCO funds support upgrades for vehicles in ongoing combat operations."","659","Family Of Hvy Tac Veh","0.000","0.050","26.272","19.272","7.000","9.464","3.000","3.000","3.000","Heavy Dump Truck (HDT) Test Assets","2","2014","2","2014",
"dd47fae362cf0a6e9e22f143611e480b","dodbudget","rdte-amended","2014","record","1418676852","2014-12-15T20:54:12+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2014.xml","2014","public","Millions","0604622A","Family of Heavy Tactical Vehicles","87","2014","PBAmended","2013-05","Army","2040","Research Development Test & Evaluation Army","5","System Development & Demonstration (SDD)","5.239","3.077","28.321","21.321","7.000","14.511","7.741","7.034","7.000","This program element aligns system development and demonstration of Heavy Tactical Vehicles with Future Modular Force requirements to support combat and combat support missions.  These missions include the following: line haul local haul and unit resupply. These trucks transport water ammunition and general cargo over all terrain and throughout the battle-space.  Funding will also be used for developing the Army's next generation of tactical trucks as part of the Army's Tactical Wheeled Vehicle Modernization Strategy. Funding in Project 659 supports the Family of Heavy Trucks (FHTV) Heavy Dump Truck (HDT). Funding in Project VR5 supports periodic evolutionary upgrade of survivability and crew protection for Heavy Tactical Vehicles as described in the Long Term Protection Strategy.In FY14 Army PM MRAP will execute research and development on survivability mobility and storage technologies. Within the survivability arena JPO MRAP will focus on improved underbody armor concepts to improve current capabilities and to accomplish this with no to only minimal increase in vehicle weight.  Additional survivability efforts will work toward RPG/Shaped Charge threat defeat mechanisms that have a higher probability of defeating this prolific threat as well as developments in Transparent Armor (TA) that will extend the life of the TA in order to reduce sustainment costs.  Additional analysis of black box data recorders from vehicles operating in a home station training profile will also give us opportunities to reduce operating and sustainment costs when operating CONUS. Due to the size and increased weight of the enduring MRAP variants mobility studies will be conducted to identify technologies that will regain levels of mobility that were traded off during previous survivability upgrades. Since a significant portion of the MRAP vehicles will be stored in APS locations PM MRAP will also conduct corrosion protection efforts to develop strategies to minimize degradation of systems that are held in long term storage."FY 2014 OCO funds support upgrades for vehicles in ongoing combat operations."","659","Family Of Hvy Tac Veh","0.000","0.050","26.272","19.272","7.000","9.464","3.000","3.000","3.000","Program Management Support","1","2013","4","2015",
"dd47fae362cf0a6e9e22f143611e480b","dodbudget","rdte-amended","2014","record","1418676852","2014-12-15T20:54:12+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2014.xml","2014","public","Millions","0604622A","Family of Heavy Tactical Vehicles","87","2014","PBAmended","2013-05","Army","2040","Research Development Test & Evaluation Army","5","System Development & Demonstration (SDD)","5.239","3.077","28.321","21.321","7.000","14.511","7.741","7.034","7.000","This program element aligns system development and demonstration of Heavy Tactical Vehicles with Future Modular Force requirements to support combat and combat support missions.  These missions include the following: line haul local haul and unit resupply. These trucks transport water ammunition and general cargo over all terrain and throughout the battle-space.  Funding will also be used for developing the Army's next generation of tactical trucks as part of the Army's Tactical Wheeled Vehicle Modernization Strategy. Funding in Project 659 supports the Family of Heavy Trucks (FHTV) Heavy Dump Truck (HDT). Funding in Project VR5 supports periodic evolutionary upgrade of survivability and crew protection for Heavy Tactical Vehicles as described in the Long Term Protection Strategy.In FY14 Army PM MRAP will execute research and development on survivability mobility and storage technologies. Within the survivability arena JPO MRAP will focus on improved underbody armor concepts to improve current capabilities and to accomplish this with no to only minimal increase in vehicle weight.  Additional survivability efforts will work toward RPG/Shaped Charge threat defeat mechanisms that have a higher probability of defeating this prolific threat as well as developments in Transparent Armor (TA) that will extend the life of the TA in order to reduce sustainment costs.  Additional analysis of black box data recorders from vehicles operating in a home station training profile will also give us opportunities to reduce operating and sustainment costs when operating CONUS. Due to the size and increased weight of the enduring MRAP variants mobility studies will be conducted to identify technologies that will regain levels of mobility that were traded off during previous survivability upgrades. Since a significant portion of the MRAP vehicles will be stored in APS locations PM MRAP will also conduct corrosion protection efforts to develop strategies to minimize degradation of systems that are held in long term storage."FY 2014 OCO funds support upgrades for vehicles in ongoing combat operations."","659","Family Of Hvy Tac Veh","0.000","0.050","26.272","19.272","7.000","9.464","3.000","3.000","3.000","Prototype Design and Integration","2","2014","4","2014",
"dd47fae362cf0a6e9e22f143611e480b","dodbudget","rdte-amended","2014","record","1418676852","2014-12-15T20:54:12+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2014.xml","2014","public","Millions","0604622A","Family of Heavy Tactical Vehicles","87","2014","PBAmended","2013-05","Army","2040","Research Development Test & Evaluation Army","5","System Development & Demonstration (SDD)","5.239","3.077","28.321","21.321","7.000","14.511","7.741","7.034","7.000","This program element aligns system development and demonstration of Heavy Tactical Vehicles with Future Modular Force requirements to support combat and combat support missions.  These missions include the following: line haul local haul and unit resupply. These trucks transport water ammunition and general cargo over all terrain and throughout the battle-space.  Funding will also be used for developing the Army's next generation of tactical trucks as part of the Army's Tactical Wheeled Vehicle Modernization Strategy. Funding in Project 659 supports the Family of Heavy Trucks (FHTV) Heavy Dump Truck (HDT). Funding in Project VR5 supports periodic evolutionary upgrade of survivability and crew protection for Heavy Tactical Vehicles as described in the Long Term Protection Strategy.In FY14 Army PM MRAP will execute research and development on survivability mobility and storage technologies. Within the survivability arena JPO MRAP will focus on improved underbody armor concepts to improve current capabilities and to accomplish this with no to only minimal increase in vehicle weight.  Additional survivability efforts will work toward RPG/Shaped Charge threat defeat mechanisms that have a higher probability of defeating this prolific threat as well as developments in Transparent Armor (TA) that will extend the life of the TA in order to reduce sustainment costs.  Additional analysis of black box data recorders from vehicles operating in a home station training profile will also give us opportunities to reduce operating and sustainment costs when operating CONUS. Due to the size and increased weight of the enduring MRAP variants mobility studies will be conducted to identify technologies that will regain levels of mobility that were traded off during previous survivability upgrades. Since a significant portion of the MRAP vehicles will be stored in APS locations PM MRAP will also conduct corrosion protection efforts to develop strategies to minimize degradation of systems that are held in long term storage."FY 2014 OCO funds support upgrades for vehicles in ongoing combat operations."","659","Family Of Hvy Tac Veh","0.000","0.050","26.272","19.272","7.000","9.464","3.000","3.000","3.000","Testing","3","2014","1","2016",
"dd47fae362cf0a6e9e22f143611e480b","dodbudget","rdte-amended","2014","record","1418676852","2014-12-15T20:54:12+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2014.xml","2014","public","Millions","0604622A","Family of Heavy Tactical Vehicles","87","2014","PBAmended","2013-05","Army","2040","Research Development Test & Evaluation Army","5","System Development & Demonstration (SDD)","5.239","3.077","28.321","21.321","7.000","14.511","7.741","7.034","7.000","This program element aligns system development and demonstration of Heavy Tactical Vehicles with Future Modular Force requirements to support combat and combat support missions.  These missions include the following: line haul local haul and unit resupply. These trucks transport water ammunition and general cargo over all terrain and throughout the battle-space.  Funding will also be used for developing the Army's next generation of tactical trucks as part of the Army's Tactical Wheeled Vehicle Modernization Strategy. Funding in Project 659 supports the Family of Heavy Trucks (FHTV) Heavy Dump Truck (HDT). Funding in Project VR5 supports periodic evolutionary upgrade of survivability and crew protection for Heavy Tactical Vehicles as described in the Long Term Protection Strategy.In FY14 Army PM MRAP will execute research and development on survivability mobility and storage technologies. Within the survivability arena JPO MRAP will focus on improved underbody armor concepts to improve current capabilities and to accomplish this with no to only minimal increase in vehicle weight.  Additional survivability efforts will work toward RPG/Shaped Charge threat defeat mechanisms that have a higher probability of defeating this prolific threat as well as developments in Transparent Armor (TA) that will extend the life of the TA in order to reduce sustainment costs.  Additional analysis of black box data recorders from vehicles operating in a home station training profile will also give us opportunities to reduce operating and sustainment costs when operating CONUS. Due to the size and increased weight of the enduring MRAP variants mobility studies will be conducted to identify technologies that will regain levels of mobility that were traded off during previous survivability upgrades. Since a significant portion of the MRAP vehicles will be stored in APS locations PM MRAP will also conduct corrosion protection efforts to develop strategies to minimize degradation of systems that are held in long term storage."FY 2014 OCO funds support upgrades for vehicles in ongoing combat operations."","659","Family Of Hvy Tac Veh","0.000","0.050","26.272","19.272","7.000","9.464","3.000","3.000","3.000","Maxx Pro & MATV Development","2","2014","2","2015",
"dd47fae362cf0a6e9e22f143611e480b","dodbudget","rdte-amended","2014","record","1418676852","2014-12-15T20:54:12+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2014.xml","2014","public","Millions","0604622A","Family of Heavy Tactical Vehicles","87","2014","PBAmended","2013-05","Army","2040","Research Development Test & Evaluation Army","5","System Development & Demonstration (SDD)","5.239","3.077","28.321","21.321","7.000","14.511","7.741","7.034","7.000","This program element aligns system development and demonstration of Heavy Tactical Vehicles with Future Modular Force requirements to support combat and combat support missions.  These missions include the following: line haul local haul and unit resupply. These trucks transport water ammunition and general cargo over all terrain and throughout the battle-space.  Funding will also be used for developing the Army's next generation of tactical trucks as part of the Army's Tactical Wheeled Vehicle Modernization Strategy. Funding in Project 659 supports the Family of Heavy Trucks (FHTV) Heavy Dump Truck (HDT). Funding in Project VR5 supports periodic evolutionary upgrade of survivability and crew protection for Heavy Tactical Vehicles as described in the Long Term Protection Strategy.In FY14 Army PM MRAP will execute research and development on survivability mobility and storage technologies. Within the survivability arena JPO MRAP will focus on improved underbody armor concepts to improve current capabilities and to accomplish this with no to only minimal increase in vehicle weight.  Additional survivability efforts will work toward RPG/Shaped Charge threat defeat mechanisms that have a higher probability of defeating this prolific threat as well as developments in Transparent Armor (TA) that will extend the life of the TA in order to reduce sustainment costs.  Additional analysis of black box data recorders from vehicles operating in a home station training profile will also give us opportunities to reduce operating and sustainment costs when operating CONUS. Due to the size and increased weight of the enduring MRAP variants mobility studies will be conducted to identify technologies that will regain levels of mobility that were traded off during previous survivability upgrades. Since a significant portion of the MRAP vehicles will be stored in APS locations PM MRAP will also conduct corrosion protection efforts to develop strategies to minimize degradation of systems that are held in long term storage."FY 2014 OCO funds support upgrades for vehicles in ongoing combat operations."","659","Family Of Hvy Tac Veh","0.000","0.050","26.272","19.272","7.000","9.464","3.000","3.000","3.000","Maxx Pro & MATV Test","2","2014","2","2015",
"dd47fae362cf0a6e9e22f143611e480b","dodbudget","rdte-amended","2014","record","1418676852","2014-12-15T20:54:12+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2014.xml","2014","public","Millions","0604622A","Family of Heavy Tactical Vehicles","87","2014","PBAmended","2013-05","Army","2040","Research Development Test & Evaluation Army","5","System Development & Demonstration (SDD)","5.239","3.077","28.321","21.321","7.000","14.511","7.741","7.034","7.000","This program element aligns system development and demonstration of Heavy Tactical Vehicles with Future Modular Force requirements to support combat and combat support missions.  These missions include the following: line haul local haul and unit resupply. These trucks transport water ammunition and general cargo over all terrain and throughout the battle-space.  Funding will also be used for developing the Army's next generation of tactical trucks as part of the Army's Tactical Wheeled Vehicle Modernization Strategy. Funding in Project 659 supports the Family of Heavy Trucks (FHTV) Heavy Dump Truck (HDT). Funding in Project VR5 supports periodic evolutionary upgrade of survivability and crew protection for Heavy Tactical Vehicles as described in the Long Term Protection Strategy.In FY14 Army PM MRAP will execute research and development on survivability mobility and storage technologies. Within the survivability arena JPO MRAP will focus on improved underbody armor concepts to improve current capabilities and to accomplish this with no to only minimal increase in vehicle weight.  Additional survivability efforts will work toward RPG/Shaped Charge threat defeat mechanisms that have a higher probability of defeating this prolific threat as well as developments in Transparent Armor (TA) that will extend the life of the TA in order to reduce sustainment costs.  Additional analysis of black box data recorders from vehicles operating in a home station training profile will also give us opportunities to reduce operating and sustainment costs when operating CONUS. Due to the size and increased weight of the enduring MRAP variants mobility studies will be conducted to identify technologies that will regain levels of mobility that were traded off during previous survivability upgrades. Since a significant portion of the MRAP vehicles will be stored in APS locations PM MRAP will also conduct corrosion protection efforts to develop strategies to minimize degradation of systems that are held in long term storage."FY 2014 OCO funds support upgrades for vehicles in ongoing combat operations."","65A","MOVEMENT TRACKING SYSTEM (MTS)","1.455","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","MTS Full Deployment","4","2013","4","2013",
"dd47fae362cf0a6e9e22f143611e480b","dodbudget","rdte-amended","2014","record","1418676852","2014-12-15T20:54:12+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2014.xml","2014","public","Millions","0604622A","Family of Heavy Tactical Vehicles","87","2014","PBAmended","2013-05","Army","2040","Research Development Test & Evaluation Army","5","System Development & Demonstration (SDD)","5.239","3.077","28.321","21.321","7.000","14.511","7.741","7.034","7.000","This program element aligns system development and demonstration of Heavy Tactical Vehicles with Future Modular Force requirements to support combat and combat support missions.  These missions include the following: line haul local haul and unit resupply. These trucks transport water ammunition and general cargo over all terrain and throughout the battle-space.  Funding will also be used for developing the Army's next generation of tactical trucks as part of the Army's Tactical Wheeled Vehicle Modernization Strategy. Funding in Project 659 supports the Family of Heavy Trucks (FHTV) Heavy Dump Truck (HDT). Funding in Project VR5 supports periodic evolutionary upgrade of survivability and crew protection for Heavy Tactical Vehicles as described in the Long Term Protection Strategy.In FY14 Army PM MRAP will execute research and development on survivability mobility and storage technologies. Within the survivability arena JPO MRAP will focus on improved underbody armor concepts to improve current capabilities and to accomplish this with no to only minimal increase in vehicle weight.  Additional survivability efforts will work toward RPG/Shaped Charge threat defeat mechanisms that have a higher probability of defeating this prolific threat as well as developments in Transparent Armor (TA) that will extend the life of the TA in order to reduce sustainment costs.  Additional analysis of black box data recorders from vehicles operating in a home station training profile will also give us opportunities to reduce operating and sustainment costs when operating CONUS. Due to the size and increased weight of the enduring MRAP variants mobility studies will be conducted to identify technologies that will regain levels of mobility that were traded off during previous survivability upgrades. Since a significant portion of the MRAP vehicles will be stored in APS locations PM MRAP will also conduct corrosion protection efforts to develop strategies to minimize degradation of systems that are held in long term storage."FY 2014 OCO funds support upgrades for vehicles in ongoing combat operations."","E50","TRAILER DEVELOPMENT","1.930","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","Tire Improvement","3","2012","4","2013",
"dd47fae362cf0a6e9e22f143611e480b","dodbudget","rdte-amended","2014","record","1418676852","2014-12-15T20:54:12+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2014.xml","2014","public","Millions","0604622A","Family of Heavy Tactical Vehicles","87","2014","PBAmended","2013-05","Army","2040","Research Development Test & Evaluation Army","5","System Development & Demonstration (SDD)","5.239","3.077","28.321","21.321","7.000","14.511","7.741","7.034","7.000","This program element aligns system development and demonstration of Heavy Tactical Vehicles with Future Modular Force requirements to support combat and combat support missions.  These missions include the following: line haul local haul and unit resupply. These trucks transport water ammunition and general cargo over all terrain and throughout the battle-space.  Funding will also be used for developing the Army's next generation of tactical trucks as part of the Army's Tactical Wheeled Vehicle Modernization Strategy. Funding in Project 659 supports the Family of Heavy Trucks (FHTV) Heavy Dump Truck (HDT). Funding in Project VR5 supports periodic evolutionary upgrade of survivability and crew protection for Heavy Tactical Vehicles as described in the Long Term Protection Strategy.In FY14 Army PM MRAP will execute research and development on survivability mobility and storage technologies. Within the survivability arena JPO MRAP will focus on improved underbody armor concepts to improve current capabilities and to accomplish this with no to only minimal increase in vehicle weight.  Additional survivability efforts will work toward RPG/Shaped Charge threat defeat mechanisms that have a higher probability of defeating this prolific threat as well as developments in Transparent Armor (TA) that will extend the life of the TA in order to reduce sustainment costs.  Additional analysis of black box data recorders from vehicles operating in a home station training profile will also give us opportunities to reduce operating and sustainment costs when operating CONUS. Due to the size and increased weight of the enduring MRAP variants mobility studies will be conducted to identify technologies that will regain levels of mobility that were traded off during previous survivability upgrades. Since a significant portion of the MRAP vehicles will be stored in APS locations PM MRAP will also conduct corrosion protection efforts to develop strategies to minimize degradation of systems that are held in long term storage."FY 2014 OCO funds support upgrades for vehicles in ongoing combat operations."","E50","TRAILER DEVELOPMENT","1.930","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","Next Generation Heavy Trailer Study","3","2012","1","2014",
"dd47fae362cf0a6e9e22f143611e480b","dodbudget","rdte-amended","2014","record","1418676852","2014-12-15T20:54:12+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2014.xml","2014","public","Millions","0604622A","Family of Heavy Tactical Vehicles","87","2014","PBAmended","2013-05","Army","2040","Research Development Test & Evaluation Army","5","System Development & Demonstration (SDD)","5.239","3.077","28.321","21.321","7.000","14.511","7.741","7.034","7.000","This program element aligns system development and demonstration of Heavy Tactical Vehicles with Future Modular Force requirements to support combat and combat support missions.  These missions include the following: line haul local haul and unit resupply. These trucks transport water ammunition and general cargo over all terrain and throughout the battle-space.  Funding will also be used for developing the Army's next generation of tactical trucks as part of the Army's Tactical Wheeled Vehicle Modernization Strategy. Funding in Project 659 supports the Family of Heavy Trucks (FHTV) Heavy Dump Truck (HDT). Funding in Project VR5 supports periodic evolutionary upgrade of survivability and crew protection for Heavy Tactical Vehicles as described in the Long Term Protection Strategy.In FY14 Army PM MRAP will execute research and development on survivability mobility and storage technologies. Within the survivability arena JPO MRAP will focus on improved underbody armor concepts to improve current capabilities and to accomplish this with no to only minimal increase in vehicle weight.  Additional survivability efforts will work toward RPG/Shaped Charge threat defeat mechanisms that have a higher probability of defeating this prolific threat as well as developments in Transparent Armor (TA) that will extend the life of the TA in order to reduce sustainment costs.  Additional analysis of black box data recorders from vehicles operating in a home station training profile will also give us opportunities to reduce operating and sustainment costs when operating CONUS. Due to the size and increased weight of the enduring MRAP variants mobility studies will be conducted to identify technologies that will regain levels of mobility that were traded off during previous survivability upgrades. Since a significant portion of the MRAP vehicles will be stored in APS locations PM MRAP will also conduct corrosion protection efforts to develop strategies to minimize degradation of systems that are held in long term storage."FY 2014 OCO funds support upgrades for vehicles in ongoing combat operations."","VR5","TWV Protection Kits","1.854","3.027","2.049","2.049","0.000","5.047","4.741","4.034","4.000","Armor Analysis of Alternatives (HET)","2","2012","4","2012",
