"id","catalog.meta","resource.meta","type.meta","data_type.meta","timestamp.meta","timestamp_iso8601.meta","source.meta","source_filename.meta","fiscal_year.meta","classification.meta","@monetaryUnit.record","value.ProgramElementNumber.record","value.ProgramElementTitle.record","value.R1LineNumber.record","value.BudgetYear.record","value.BudgetCycle.record","value.SubmissionDate.record","value.ServiceAgencyName.record","value.AppropriationCode.record","value.AppropriationName.record","value.BudgetActivityNumber.record","value.BudgetActivityTitle.record","value.PriorYear.ProgramElementFunding.record","value.CurrentYear.ProgramElementFunding.record","value.BudgetYearOne.ProgramElementFunding.record","value.BudgetYearOneBase.ProgramElementFunding.record","value.BudgetYearTwo.ProgramElementFunding.record","value.BudgetYearThree.ProgramElementFunding.record","value.BudgetYearFour.ProgramElementFunding.record","value.BudgetYearFive.ProgramElementFunding.record","value.CostToComplete.ProgramElementFunding.record","value.TotalCost.ProgramElementFunding.record","value.ProgramElementMissionDescription.record","value.ProgramElementNote.record","value.AllPriorYears.ProgramElementFunding.record","value.MdapCode.record","@format.record","value.PriorYearsDelta.record",
"22811fc4c2fcc9089b63f8e4631257bd","dodbudget","rdte-base","2015","record","1418697278","2014-12-16T02:34:38+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Missile_Defense_Agency_PB_2015.xml","2015","public","Millions","0603882C","Ballistic Missile Defense Midcourse Defense Segment","83","2015","PB","2014-03","Missile Defense Agency","0400","Research Development Test & Evaluation Defense-Wide","4","Advanced Component Development & Prototypes (ACD&P)","923.506","910.852","1003.768","1003.768","1131.060","937.998","690.524","628.342","Continuing","Continuing","The Ground-based Midcourse Defense (GMD) program is the element of the Ballistic Missile Defense System (BMDS) that provides combatant commanders with a continuously available (24 hours a day 7 days a week 365 days a year) capability to defend the Homeland against limited Intercontinental Ballistic Missile (ICBM) attacks. The GMD capability consists of Ground Based Interceptors (GBI) GMD Fire Control system (GFC) GMD Communications Network (GCN) In-Flight Interceptor Communications System Data Terminals (IDT) and all of the ground Launch Support Systems (LSS) (silos silo interface vaults (SIVs) environmental control systems command launch equipment (CLE) firing circuits and safety systems). The 30 operationally deployed GBIs located at Fort Greely Alaska (26 GBIs) and Vandenberg Air Force Base California (4 GBIs) each deliver a single Exoatmospheric Kill Vehicle (EKV) to defeat threat warheads in space during the midcourse phase of the ballistic trajectory. The GMD Fire Control System consists of fire control nodes in Fort Greely Alaska and Missile Defense Integration and Operations Center (MDIOC) Colorado Springs Colorado. IDTs are currently located in Fort Greely Alaska Vandenberg Air Force Base California Eareckson Air Station Alaska and the Missile Defense Agency (MDA) plans to deliver an additional IDT to Fort Drum New York. The GMD capability leverages integration of Ballistic Missile Defense System sensors in Japan Alaska California United Kingdom and Greenland. Development objectives for GMD include: testing and validating the performance of the Capability Enhancement I and II (CE-I and CE-II) GBIs development and testing of capability upgrades manufacturing additional GBIs in support of operational requirements flight testing upgrading fielded GBIs and conducting comprehensive component ground testing that will improve GBI reliability and minimize the number of GBIs required to destroy each ICBM threat.This Program Element includes support for the Discrimination Improvements for Homeland Defense (DIHD) effort. The goal of this effort is to develop and field an integrated set of Element capabilities to improve BMDS reliability lethality and discrimination.  The end result will be a deployed future BMDS architecture more capable of discriminating and destroying a reentry vehicle with a high degree of confidence that will improve Warfighter shot doctrine and preserve inventory.  This effort will encompass a DIHD Near-Term capability fielding and a DIHD Mid-Term capability fielding.    Cyber Operations sustains Missile Defense Agency (MDA) DoD Information Assurance Certification and Accreditation Program (DIACAP) and Controls Validation Testing (CVT) activities analysis of validation results risk assessments and reviews of Plans of Action and Milestones (POA&Ms) for MDA Ground-based Midcourse Defense (GMD) mission systems.The ICBM threat that endangers the United States is projected to make significant progress over the next decade in quantity of threats in rapid launch timeline with no warning and in complexity with the use of countermeasures. To counter this evolving threat MDA intends to upgrade several key components of the BMDS and GMD (i.e. Long Range Discriminating Radar (LRDR) and Discrimination Improvements for Homeland Defense (DIHD)).  Additionally MDA is developing a GMD redesigned Exoatmospheric Kill Vehicle (EKV) that will address the following three areas:  design to the evolving threat for increased performance; improve reliability availability maintainability testability and producibility; and increase in-flight communications to improve usage of off-board sensors information and situational awareness to combatant commanders for enabling new tactics such as shoot-assess-shoot.    MD40 Program-Wide Support (PWS) consists of essential non-headquarters management costs in support of the MDA functions and activities across the entire Ballistic Missile Defense System (BMDS).","N/A","2270.548","362","","",
"9fecf03ac6ec770589fde573799dc2db","dodbudget","rdte-base","2015","record","1418697283","2014-12-16T02:34:43+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Missile_Defense_Agency_PB_2015.xml","2015","public","Millions","0603898C","Ballistic Missile Defense Joint Warfighter Support","92","2015","PB","2014-03","Missile Defense Agency","0400","Research Development Test & Evaluation Defense-Wide","4","Advanced Component Development & Prototypes (ACD&P)","47.710","42.619","46.387","46.387","52.619","53.552","54.699","56.252","Continuing","Continuing","The Joint Warfighter Support Program (JWSP) is MDA's primary means for providing direct technical support to Combatant Commanders the Military Services and the Joint Staff on Ballistic Missile Defense System (BMDS) developments. It enables delivery of BMDS capabilities to Warfighters and ensures their participation in the identification and development of new BMD capabilities via the Warfighter Involvement Process. The JWSP Program allows the Warfighter and Material Developer to work together to identify gaps seams and needs in war fighting capability and develop enhancements to BMD System attributes through submission of Modification and Fielding Requests. The JWSP also provides for continuous 'round the clock' BMD system-related support to Warfighters deployed across the globe on a 24/7/365 basis. The program enables rapid delivery of responses to Warfighter Requests for Information and Requests for Analyses which is especially critical to mission success in protecting US forces and other defended assets during "Real World" threat events. The program supports delivery of product improvements to Warfighters through technical reviews allows employment of technical analyses to support development of shot doctrine and enables the inclusion of both Combatant Commander (COCOM) and Material Developer BMD-related objectives in COCOM/Joint Staff sponsored wargames and exercises which are used to sharpen and enhance joint BMD warfighting skills. MD40 Program-Wide Support (PWS) consists of essential non-headquarters management costs in support of the MDA functions and activities across the entire Ballistic Missile Defense System (BMDS). In keeping with congressional intent Program Wide Support is allocated on a pro-rata basis and therefore fluctuates by year based on the total MDA budget.","Beginning in FY2015 Joint Warfighter Support transfers from Budget Project MD03 to Budget Project MT03.","107.604","362","","",
"9de1abec07eb08d9d4e990f3be2d4544","dodbudget","rdte-base","2015","record","1418697284","2014-12-16T02:34:44+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Missile_Defense_Agency_PB_2015.xml","2015","public","Millions","0603914C","Ballistic Missile Defense Test","97","2015","PB","2014-03","Missile Defense Agency","0400","Research Development Test & Evaluation Defense-Wide","4","Advanced Component Development & Prototypes (ACD&P)","438.114","337.993","386.482","386.482","340.811","369.920","417.712","413.194","Continuing","Continuing","As part of the total Ballistic Missile Defense System (BMDS) the Test Program Element (PE) brings the BMDS element capabilities together for an integrated system-level test approach. Based on the Systems Engineering assessments of realistic threat scenarios test events demonstrate capability of the evolving integrated and layered missile defense system in a simultaneous test and operations environment. The Missile Defense Agency (MDA) in collaboration with its Integrated Master Test Plan (IMTP) stakeholders: Combatant Commands; Service Operational Test Agency (OTA); Director Operational Test & Evaluation (DOT&E); Director Developmental Test and Evaluation (DT&E); and Commander Joint Functional Component Command for Integrated Missile Defense (JFCC-IMD)employs a systematic review of BMDS testing that establishes a convention for setting test objectives that go beyond simply exercising newly delivered elements of the system. The BMDS Test Program establishes and documents in the IMTP the test requirements for the BMDS developed by Systems Engineering with specific focus on collecting the data needed for the verification validation and accreditation (VV&A) of the BMDS models and simulations (M&S). The BMDS performance evaluation strategy is to develop models and simulations (M&S) of the BMDS and compare predictions to empirical data collected through comprehensive flight and ground testing to validate accuracy. MDA testing is based on an integrated developmental and operational test program. The MDA Test Program is based on a commitment to deploy technology that is proven cost-effective and adaptable to an evolving security environment. This PE also provides funding to the OTA which is active in all phases of test planning execution and post-test analysis to include the development of the IMTP. -BMDS Test Program Functions: -Direct the testing required to VV&A MDA's M&S.-Plan tests according to BMDS and Element objectives.-Develop MDA test policy. -Execute BMDS flight and ground tests. -Ensure appropriate data is collected at the necessary fidelity. -Collect data for BMDS analysis and manage MDA data centers. -Provide BMDS and Element performance results for IMTP stakeholders. -Provide final target system integration target mission logistics and launch execution for BMDS test target systems.-Provide test infrastructure and resources for flight and ground tests. MD40 Program-Wide Support (PWS) consists of essential non-headquarters management costs in support of the MDA functions and activities across the entire Ballistic Missile Defense System (BMDS).  In keeping with congressional intent Program Wide Support is allocated on a pro-rata basis and therefore fluctuates by year based on the total MDA budget.","N/A","443.825","362","","",
"5541313ec2077f1c9e31fff983937969","dodbudget","rdte-base","2015","record","1418697275","2014-12-16T02:34:35+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Defense_Advanced_Research_Projects_Agency_PB_2015.xml","2015","public","Millions","0603766E","NETWORK-CENTRIC WARFARE TECHNOLOGY","62","2015","PB","2014-03","Defense Advanced Research Projects Agency","0400","Research Development Test & Evaluation Defense-Wide","3","Advanced Technology Development (ATD)","221.490","259.006","386.926","386.926","390.744","356.083","318.096","294.181","","","The Network-Centric Warfare Technology program element is budgeted in the Advanced Technology Development budget activity because it addresses high payoff opportunities to develop and rapidly mature advanced technologies and systems required for today's network-centric warfare concepts.  It is imperative for the future of the U.S. forces to operate flawlessly with each other regardless of which services and systems are involved in any particular mission.  The overarching goal of this program element is to enable technologies at all levels regardless of service component to operate as one system.The objective of the Joint Warfare Systems project is to create enabling technologies for seamless joint operations from strategic planning to tactical and urban operations.  Joint Warfare Systems leverage current and emerging network robotic and information technology and provide next generation U.S. forces with greatly expanded capability lethality and rapid responsiveness.  Critical issues facing this project are:  (1) U.S. opponents utilizing systems that are flexible robust and difficult to neutralize; and (2) U.S. doctrine that limits the use of firepower to lessen the impact of operations on noncombatants.  These problems are magnified in urban and semi-urban areas where combatants and civilians are often collocated and in peacekeeping operations where combatants and civilians are often indistinguishable.  Meeting these challenges places a heavy burden on joint war planning.  Understanding opponent networks is essential so that creative options can be developed to counter their strategies.  Synchronization of air and ground operations to apply force only where needed and with specific effects is required.  The Maritime Systems project will identify develop and rapidly mature critical advanced technologies and system concepts for the naval forces role in today's network centric warfare concept.  Naval forces play an ever-increasing role in network centric warfare because of their forward deployed nature their unique capability to operate simultaneously in the air on the sea and under the sea and their versatile ability to provide both rapid strike and project sustained force.  The technologies developed under this project will capitalize on these attributes improve them and enable them to operate with other network centric forces.","","","","","",
"af31809f6f908ce6d50fa82e5f78f278","dodbudget","rdte-base","2015","record","1418697285","2014-12-16T02:34:45+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Missile_Defense_Agency_PB_2015.xml","2015","public","Millions","0604883C","Precision Tracking Space System","111","2015","PB","2014-03","Missile Defense Agency","0400","Research Development Test & Evaluation Defense-Wide","4","Advanced Component Development & Prototypes (ACD&P)","204.666","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0","315.3930","Space-based sensors offer on-demand geographically independent and persistent coverage of areas of specific concern for ballistic missiles with no need for indications and warning. Space-based sensors also expand the battle space of all BMD ships operating in the northern hemisphere with increased raid size handling and threat range capability. With the two Space Tracking & Surveillance System (STSS) demonstration satellites (launched in 2009) the Agency regularly and consistently demonstrated space-based remote sensor and fire control integration initially in April 2011 in Flight Test Marine (FTM)-15 and most recently in May 2012 in FTM-16 Event 2A.  These successes are informing the design integration and operations of the Precision Tracking Space System (PTSS). The PTSS is a space and ground segment system that will provide persistent sensor coverage of enemy ballistic missiles. The PTSS is designed to be an integrated part of the BMDS: one that receives cues from all acquisition sensors and provides outputs to the BMDS battle manager & missile systems. The program mitigates cost schedule and performance risk by: 1) simplifying the design by focusing on the BMDS mission 2) incorporating components and subsystems with high technology readiness levels and on-orbit pedigrees and 3) involving industry and the military services up front & early to inform the design for producibility operations and sustainment. The PTSS has inherent capability for other missions such as Space Situational Awareness. The Agency expects that capability to be exploited by the joint warfighter when the PTSS is not engaged in a missile defense mission. The Combatant Commands and Services have a need for a persistent ability to provide fire-control quality tracking of a raid of ballistic missiles over their entire trajectory for both homeland and regional defense scenarios specifically improve birth-to-death tracking identification and targeting including the capability to detect track discriminate and counter large dense raids and structured attacks. Overhead Persistent Infrared (OPIR) systems acquire and track the boost and early post-boost phases of a missile`s trajectory but the PTSS is required to continue to track ballistic missiles through their accent apogee and until they reenter into the earth`s atmosphere. Goals and objectives for the PTSS are:    - Develop an operational missile tracking capability from space which will close the BMDS fire control loop specifically the Aegis Ballistic Missile Defense and Ground Based Interceptor weapon systems by way of the BMDS battle manager.    - Reduce operational fire control risk by co-locating the national lab design teams for PTSS and Aegis Ballistic Missile Defense and by embedding US Navy and US Air Force operations and sustainment experts in the PTSS hybrid program office.    - Focus on tracking raids of regional Medium-Range Ballistic Missiles Intermediate-Range Ballistic Missiles and Intercontinental Ballistic Missiles from today`s regional threats.    - Develop and test the development satellite articles and the integrated ground system with the BMDS.    - Ensure early industry involvement by awarding contracts to join the Integrated Systems Engineering Team (ISET) during the development satellite article design. Six Industry partners (Ball Boeing Lockheed Martin Northrop Grumman Orbital and Raytheon) contribute to the national lab development effort to improve the Precision Tracking Space System design for manufacturability and reduce the production risk.    - Use data from the on-orbit Space Tracking & Surveillance System (STSS) demonstration satellite testing events    - Benchmark models and simulations.    - Allocate requirements interface controls and evaluate operations concepts.    - Leverage experience gained from STSS test events to demonstrate capability and insight into Command Control Communication Computers Intelligence Surveillance and Reconnaissance linkages and hand off to the Aegis Ballistic Missile Defense fire control system.    - Develop a government owned design to foster production competition over the life of the program.The Precision Tracking Space System (PTSS) contributes to defense of the U.S. homeland and regional missile defense including large raid protection. MD40 Program-Wide Support (PWS) consists of essential non-headquarters management costs in support of the MDA functions and activities across the entire Ballistic Missile Defense System (BMDS).","FY 2014 reflects termination of the program.","110.727","362","","",
"9e0e1cb1d91c2f3c263ed4e8794c3b42","dodbudget","rdte-base","2015","record","1418697277","2014-12-16T02:34:37+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Missile_Defense_Agency_PB_2015.xml","2015","public","Millions","0603179C","Advanced C4ISR","35","2015","PB","2014-03","Missile Defense Agency","0400","Research Development Test & Evaluation Defense-Wide","3","Advanced Technology Development (ATD)","0.000","36.500","15.329","15.329","10.389","3.942","0.000","0.000","0","66.16","The Advanced C4ISR Program Element develops future Ballistic Missile Defense System (BMDS) capabilities to out-pace emerging and evolving threats. Advanced C4ISR identifies develops and readies for transition in association with the Chief Architect and the Director of Engineering the technical solutions that meet BMDS shortfalls identified by the Combatant Commanders. Missile Defense Agency uses the Prioritized Capabilities List (PCL) and the Agency's Achievable Capabilities List (ACL) to prioritize technology investments including Advanced C4ISR. MDA's investments balance the pursuit of promising next generation technology with near-term solutions to enhance existing BMDS capability. Advanced Command Control Communication Computers Intelligence Surveillance and Reconnaissance (C4ISR) develops and matures technology which enables rapid and exponential capability increases in our C2BMC and existing sensor networks.  We will develop and mature technology software and algorithms which facilitate integration of the Service's command and control networks into the BMDS.  This focus area will invest in advanced C2BMC C4ISR technology that has the potential to increase battlespace for all BMDS interceptors including the Terminal High Altitude Area Defense and Ground-based Interceptors.This Program Element includes support for the Discrimination Improvements for Homeland Defense (DIHD) effort. The goal of this effort is to develop and field an integrated set of Element capabilities to improve BMDS reliability lethality and discrimination.  The end result will be a deployed future BMDS architecture more capable of discriminating and destroying a reentry vehicle with a high degree of confidence that will improve Warfighter shot doctrine and preserve inventory.  This effort will encompass a DIHD Near-Term capability fielding and a DIHD Mid-Term capability fielding.","Beginning in FY 2014 the Advanced Command Control Communications Computers Intelligence Surveillance and Reconnaissance (C4ISR) effort transferred from the Ballistic Missile Defense Technology Program Element 0603175C to the Advanced C4ISR Program Element 0603179C per the FY 2014 Consolidated Appropriations Act (P.L. 113-76).","","362","","",
"f3b94e5c610998c9a52e8905c286c65b","dodbudget","rdte-base","2015","record","1418697286","2014-12-16T02:34:46+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Missile_Defense_Agency_PB_2015.xml","2015","public","Millions","0305103C","Cyber Security Initiative","115","2015","PB","2014-03","Missile Defense Agency","0400","Research Development Test & Evaluation Defense-Wide","4","Advanced Component Development & Prototypes (ACD&P)","0.000","0.946","0.961","0.961","0.984","1.003","1.022","1.048","Continuing","Continuing","The MDA Counterintelligence (CI) Division conducts CI in Cyberspace activities pursuant to DoD Directive O-5240.02 (Counterintelligence) and DoD Instruction S-5240.23 (CI Activities in Cyberspace) to identify disrupt neutralize penetrate and exploit foreign intelligence services and international terrorist organizations hereafter referred to as foreign entities to act in observable or exploitable ways.  To this end the MDA CI Division conducts activities to detect and neutralize foreign entity-directed malicious and insider threat activities targeting MDA administrative and Ballistic Missile Defense fire control networks and mobility devices.","N/A","","362","","",
"b0421d1dfdff27ced7e07d7e419a2f40","dodbudget","rdte-base","2015","record","1418697273","2014-12-16T02:34:33+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Defense_Advanced_Research_Projects_Agency_PB_2015.xml","2015","public","Millions","0602304E","COGNITIVE COMPUTING SYSTEMS","14","2015","PB","2014-03","Defense Advanced Research Projects Agency","0400","Research Development Test & Evaluation Defense-Wide","2","Applied Research","27.538","16.330","0.000","0.000","0.000","0.000","0.000","0.000","","","The Cognitive Computing Systems program element is budgeted in the Applied Research budget activity because it is developing the next revolution in computing and information processing technology that will enable computational systems to have reasoning and learning capabilities and levels of autonomy far beyond those of today's systems.  The ability to reason learn and adapt will raise computing to new levels of capability and powerful new applications. The Cognitive Computing project will develop core technologies that enable computing systems to learn reason and apply knowledge gained through experience and respond intelligently to things that have not been previously encountered.  These technologies will lead to systems demonstrating increased self-reliance self-adaptive reconfiguration intelligent negotiation cooperative behavior and survivability with reduced human intervention.The Collective Cognitive Systems and Interfaces project will dramatically improve warfighter and commander effectiveness and productivity using advanced cognitive approaches that enable faster better informed and more highly coordinated actions than those of our enemies.  This will be accomplished by developing revolutionary methods that increase our information processing capabilities enhance our situational awareness and enable more cohesive group action by our forces.  Critical technical areas addressed in this project include automated coordinated decision support information sharing and ensured communications.","","","","","",
"f8899108f3769765a1495789b7536959","dodbudget","rdte-base","2015","record","1418697280","2014-12-16T02:34:40+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Missile_Defense_Agency_PB_2015.xml","2015","public","Millions","0603891C","Special Programs - MDA","87","2015","PB","2014-03","Missile Defense Agency","0400","Research Development Test & Evaluation Defense-Wide","4","Advanced Component Development & Prototypes (ACD&P)","235.272","276.613","310.261","310.261","412.408","357.545","329.758","272.234","Continuing","Continuing","This program is reported in accordance with Title 10 United States Code Section 119(a)(1) in the Special Access Program Annual Report to Congress.","N/A","287.056","362","","",
"71ae248d91361475ffee034055d5a94a","dodbudget","rdte-base","2015","record","1418697275","2014-12-16T02:34:35+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Defense_Advanced_Research_Projects_Agency_PB_2015.xml","2015","public","Millions","0603765E","CLASSIFIED DARPA PROGRAMS","61","2015","PB","2014-03","Defense Advanced Research Projects Agency","0400","Research Development Test & Evaluation Defense-Wide","3","Advanced Technology Development (ATD)","2.760","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","This project funds classified DARPA programs that are reported in accordance with Title 10 United States Code Section 119(a)(1) in the Special Access Program Annual Report to Congress.","","","","R2Long","",
"9f6fe9eb4bb75fde221e3bef597449e4","dodbudget","rdte-base","2015","record","1418697289","2014-12-16T02:34:49+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Office_of_Secretary_Of_Defense_PB_2015.xml","2015","public","Millions","0603000D8Z","Joint Munitions Advanced Technology","26","2015","PB","2014-03","Office of Secretary Of Defense","0400","Research Development Test & Evaluation Defense-Wide","3","Advanced Technology Development (ATD)","18.253","20.012","26.688","26.688","26.897","26.997","27.061","27.268","Continuing","Continuing","This program addresses advanced technology development associated with improving the lethality reliability safety and survivability of munitions and weapon systems.  The goal is to develop and demonstrate joint enabling technologies that can be used by the Program Executive Officers as they develop their specific weapon programs.  The program invests in and demonstrates technologies from a Joint Service perspective thus maximizing efficiencies ensuring the development of technology with the broadest applicability while avoiding duplication of efforts.Munition Area Technology Groups (MATGs) and Fuze Area Technology Groups (FATGs) have been established for each munition and capability area and are tasked with: 1) coordinating establishing and maintaining 2018 and 2023 year technology development plans and roadmaps 2) coordinating biannual meetings to review technical and programmatic details of each funded and proposed effort 3) developing and submitting Technology Transition Agreements in coordination with appropriate Program Executive Offices (PEO) for insertion in their Insensitive Munition (IM) Strategic Plans / Fuze Technology Development Plan and 4) interfacing with other MATGs / FATGs and IM / fuze science and technology projects as appropriate.   The Joint Insensitive Munitions Technical Program (JIMTP) and Joint Fuze Technical Program (JFTP) will utilize a Technical Advisory Committee (TAC) (consisting of senior DoD and DOE laboratory representatives and senior Munitions PEO representatives) to provide program oversight policy direction and priorities during its annual meeting.The Insensitive Munitions effort will demonstrate enabling technologies needed to develop weapons in compliance with Insensitive Munitions requirements established in United States Code Title 10 Chapter 141 Section 2389 and DoDI 5000.1.  This effort will take promising technologies demonstrated at the laboratory scale and transition them into demonstration programs utilizing generic hardware based on priority munitions identified in the PEO IM Strategic Plans.  Mature and demonstrated IM technology can be transitioned thereby decreasing their program costs and schedule risk and facilitating spin-offs to other non-compliant munitions within their portfolios.The JIMTP investments focus on five Munition Areas:  1) High Performance Rocket Propulsion 2) Minimum Signature Rocket Propulsion 3) Blast and Fragmentation Warheads 4) Anti-Armor Warheads and 5) Gun Propulsion.  Munition Area Technology Groups (MATG) under tri-service leadership have developed technology roadmaps for each Munition Area which are used to guide investments based on goals consistent with the PEO IM Strategic Plans.  These IM technologies alone or in combination will be incorporated in hardware simulating real-world munitions to demonstrate their utility and feasibility as part of Technology Transition Agreements with PEOs.The Enabling Fuze Advanced Technology effort will also demonstrate fuze enabling technologies needed to develop weapons that address priority capability areas identified in the Guidance for Development (GDF) of the Force the Secretary of Defense Memorandum DoD Policy on Cluster Munitions and Unintended Harm to Civilians and shortfalls in current weapon systems.  This effort will take promising technologies demonstrated at the laboratory scale and transition them into demonstration weapons and programs based on priority capabilities and technology needs identified and validated by the PEOs and the Heads of the Service Science and Technology (S&T) communities.  In this way promising multi-point initiation architectures high reliability fuze architectures survivable components modular fuze packaging and components produced based on ease of manufacturing can be integrated into munitions applications and its ability to address required capability needs will be validated.  Mature fuze technologies will be transitioned to Weapon PEO’s and/or Industry thereby decreasing program costs and schedule risk while facilitating technology into potentially broader range of munitions applications.The JFTP investments focus on four specific capability areas that have been identified by the Department strategic guidance and current shortfalls in weapon systems and as validated by the PEOs and the Service S&T communities.  These capability areas are:  1) Hard Target Survivable Fuzing 2) Tailorable Effects Weapon Fuzing 3) High Reliability Fuzing and 4) Enabling Fuze Technologies and Common Architecture.   These Fuzing technologies will be incorporated in weapon applications to demonstrate their maturity and utility as part of Technology Transition Agreements with PEOs.","","14.590","","","",
