"id","catalog.meta","resource.meta","type.meta","data_type.meta","timestamp.meta","timestamp_iso8601.meta","source.meta","source_filename.meta","fiscal_year.meta","classification.meta","@monetaryUnit.record","value.ProgramElementNumber.record","value.ProgramElementTitle.record","value.R1LineNumber.record","value.BudgetYear.record","value.BudgetCycle.record","value.SubmissionDate.record","value.ServiceAgencyName.record","value.AppropriationCode.record","value.AppropriationName.record","value.BudgetActivityNumber.record","value.BudgetActivityTitle.record","value.AllPriorYears.ProgramElementFunding.record","value.PriorYear.ProgramElementFunding.record","value.CurrentYear.ProgramElementFunding.record","value.BudgetYearOne.ProgramElementFunding.record","value.BudgetYearOneBase.ProgramElementFunding.record","value.BudgetYearTwo.ProgramElementFunding.record","value.BudgetYearThree.ProgramElementFunding.record","value.BudgetYearFour.ProgramElementFunding.record","value.BudgetYearFive.ProgramElementFunding.record","value.CostToComplete.ProgramElementFunding.record","value.TotalCost.ProgramElementFunding.record","value.ProgramElementMissionDescription.record","@format.record","value.ProgramElementNote.record","value.MdapCode.record","value.BudgetYearOneOCO.ProgramElementFunding.record","value.PriorYearsDelta.record",
"ce77a3fbb0d0a1d706a4cbf8dacd7856","dodbudget","rdte-base","2016","record","1422989776","2015-02-03T18:56:16+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_MasterJustificationBook_Navy_PB_2016.xml","2016","public","Millions","0603542N","Radiological Control","39","2016","PB","2015-02","Navy","1319","Research Development Test & Evaluation Navy","4","Advanced Component Development & Prototypes (ACD&P)","14.836","0.757","0.669","0.710","0.710","0.725","0.736","0.753","0.767","Continuing","Continuing","Mission Description:  The Radiation Detection Indication and Computation (RADIAC) Program is responsible for providing radiation monitoring instruments that detect and measure ionizing radiation.  These instruments are used on all Navy Coast Guard and Military Sealift Command vessels and at every Navy shore installation in order to ensure the safety of personnel continuity of operations in radiological contingencies and protection of the environment.Justification:  Title 10 of the Code of Federal Regulations Part 20 (10 CFR 20) requires RADIAC instruments be used to ensure the safety of personnel who work with or are exposed to radioactive materials in their work.  Additionally the Navy's mission requires personnel and ships to have the ability to operate in radiological environments and the ability to identify and interdict radiological Weapons of Mass Destruction (WMD).  Navy programs that require RADIAC instruments for Occupational Safety & Health (OSH) reasons under the provisions of 10 CFR 20 include Naval Nuclear Propulsion Nuclear Weapons Medical and Radiological Affairs Support.  Non-OSH programs include Radiological Defense Consequence Management Training Technical (RADIAC calibration shielding evaluation research etc.) and Radiological Search (maritime interdiction and radiological search missions to locate or intercept WMD).This budget item develops tests and evaluates new highly reliable more easily calibrated easy to care and maintain light weight and modern RADIAC instruments in order to improve the effectiveness of radiation safety to make instruments simpler to use and to reduce life cycle costs.  The ultimate goal is to replace old bulky costly to maintain and repair unreliable and obsolete instrumentation with multifunction equipment that can be automatically calibrated at greatly reduced cost.This budget item also provides for improvement to nuclear weapons intrinsic radiation (gamma and neutron) shielding calculations mixed field (neutron and gamma) dosimetry and in neutron measurement.  The objective is to develop less costly and more effective integral shielding for better personnel protection and safety.  Improvement in personnel dosimetry and neutron measurement is also a major emphasis.","","","","","",
"9e646265db87e432cae3d48f771e2e1a","dodbudget","rdte-base","2016","record","1422989781","2015-02-03T18:56:21+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_MasterJustificationBook_Navy_PB_2016.xml","2016","public","Millions","0603658N","Cooperative Engagement","57","2016","PB","2015-02","Navy","1319","Research Development Test & Evaluation Navy","4","Advanced Component Development & Prototypes (ACD&P)","433.767","52.539","37.310","76.247","76.247","81.475","81.489","85.265","81.253","Continuing","Continuing","Cooperative Engagement Capability (CEC) significantly improves Battle Force Anti-Air Warfare (AAW) capability by coordinating all Battle Force AAW sensors into a single real-time composite track picture to support integrated fire control. CEC distributes sensor data from each USMC Command Control Unit USA Aerostat US Navy Ship and US Navy Aircraft or cooperating unit (CU) to all other CUs in the battle force through a real-time line of sight high data rate sensor and engagement data distribution network. CEC is highly resistant to jamming and provides accurate gridlocking between CUs. Each CU independently employs high capacity parallel processing and advanced algorithms to combine all distributed sensor data into a fire control quality track picture which is the same for all CUs. CEC data is presented as a superset of the best AAW sensor capabilities from each CU all of which are integrated into a single input to each CU's combat weapons system. CEC significantly improves our Battle Force defense in depth including both local area and ship defense capabilities against current and future AAW threats. Moreover CEC provides critical connectivity and integration of over-land air defense systems capable of countering emerging air threats including land attack cruise missiles in a complex littoral environment.Each military Service funds CEC development for their combat systems.  The CEC Program Office oversees CEC development for all services.CEC consists of the Data Distribution System (DDS) the Cooperative Engagement Processor (CEP) and interface with Combat Systems and sensors. The DDS encodes and distributes own-ship sensor and engagement data and is a high capacity jam resistant directive system providing a precision gridlocking and high throughput of data. The CEP is a high capacity distributed processor that processes force levels of data in near real-time. The data is passed to the ship's combat system as high quality data for which the ship can cue its onboard sensors or use the data to engage targets without actually tracking them. The Navy implemented a Signal Data Processor (SDP) approach to modify the current equipment to meet reduced size weight cost power and cooling objectives. This SDP approach also supports continuity for interoperability improvements and program protection as well as supporting open architecture initiatives and comms independence. The SDP hardware complies with Category 3 Open Architecture Computing Environment (OACE) standards.  The SDP-S is being fielded fleet-wide to all US Navy USMC US Army and FMS CEC units.A family of antennas approach will be used to satisfy CEC requirements with lower life cycle costs (procurement installation and maintenance) and reduced weight (on mast and below deck).  These antennas enable future capability as well as providing a solution extensible to additional platforms.  This effort for development and production of Common Array Block (CAB) antennas was competitively awarded in late FY2013.In support of Interoperability CEC will continue to work collaboratively with other Combat Systems programs (AWS E-2C E-2D SSDS CDLMS C2P and SGS/AC) to develop the software and implement design corrections and system changes. CEC will analyze the interactions of interoperability issues and impacts and provide collaboration for development of CEC and other system changes develop the long term solutions including the engineering process to validate small parts of developmental software ideas and utilize M&S to validate design approaches in the systems engineering realm.","","","582","","",
"5ce81900f526ebfccff1e95d38e00277","dodbudget","rdte-base","2016","record","1422989773","2015-02-03T18:56:13+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_MasterJustificationBook_Navy_PB_2016.xml","2016","public","Millions","0603251N","(U)AIRCRAFT SYSTEMS","29","2016","PB","2015-02","Navy","1319","Research Development Test & Evaluation Navy","4","Advanced Component Development & Prototypes (ACD&P)","31.838","10.072","12.651","11.643","11.643","1.735","0.771","0.886","1.676","Continuing","Continuing","This program element supports the study evaluation optimization and enhancements of fielded aircraft systems not supported by a system specific Research Development Test and Evaluation Navy program element.  The supported efforts will provide a basis to recommend options for improved efficiency minimization of life cycle cost and other affordable options.  As naval aircraft systems age and analysis of the programmatic and /or reliability enhancements options allows the Department of the Navy to more effectively understand and manage system lifecycle costs and implications in future airborne platforms.This program is funded under ADVANCED COMPONENT DEVELOPMENT AND PROTOTYPES because it includes all efforts necessary to evaluate integrated technologies representative models or prototype systems in a high fidelity and realistic operating environment.","","","","","",
"6a8d7b20230b8c27302e4595e7d88d5d","dodbudget","rdte-base","2016","record","1422989769","2015-02-03T18:56:09+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_MasterJustificationBook_Navy_PB_2016.xml","2016","public","Millions","0602747N","Undersea Warfare Applied Res","12","2016","PB","2015-02","Navy","1319","Research Development Test & Evaluation Navy","2","Applied Research","0.000","99.302","86.880","123.750","123.750","148.777","183.056","207.873","211.996","Continuing","Continuing","The efforts described in this Program Element (PE) are based on investment directions as defined in the Naval S&T Strategic Plan approved by the S&T Corporate Board (Sep 2011).  This strategy is based on needs and capabilities from Navy and Marine Corps guidance and input from the Naval Research Enterprise (NRE) stakeholders (including the Naval enterprises the combatant commands the Chief of Naval Operations (CNO) and Headquarters Marine Corps).  It provides the vision and key objectives for the essential science and technology efforts that will enable the continued supremacy of U.S. Naval forces in the 21st century.  The Strategy focuses and aligns Naval S&T with Naval missions and future capability needs that address the complex challenges presented by both rising peer competitors and irregular/asymmetric warfare.This PE funds applied research efforts in undersea target detection classification localization tracking and neutralization.  Technologies being developed within this PE are aimed at enabling Sea Shield one of the core operational concepts detailed in the Naval Transformational Roadmap.  Associated efforts focus on new Anti-Submarine Warfare (ASW) operational concepts that promise to improve wide-area surveillance detection localization tracking and attack capabilities against quiet adversary submarines operating in noisy and cluttered shallow water environments.  Related efforts are aimed at leveraging technologies that will protect the country's current capital investment in surveillance submarine surface ship and air ASW assets. Research focused on understanding the impacts on marine mammals of manmade underwater sound is also conducted in the Program Element.Due to the number of efforts in this PE the programs described herein are representative of the work included in this PE.","","","","","",
"4c0a2e277020baaaf7df007c4a0f729a","dodbudget","rdte-base","2016","record","1422989770","2015-02-03T18:56:10+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_MasterJustificationBook_Navy_PB_2016.xml","2016","public","Millions","0603123N","Force Protection Advanced Technology","16","2016","PB","2015-02","Navy","1319","Research Development Test & Evaluation Navy","3","Advanced Technology Development (ATD)","0.000","28.194","25.831","38.044","38.044","49.256","50.299","31.108","16.921","Continuing","Continuing","The efforts described in this Program Element (PE) are based on investment directions as defined in the Naval S&T Strategic Plan approved by the S&T Corporate Board (Sep 2011). This strategy is based on needs and capabilities from Navy and Marine Corps guidance and input from the Naval Research Enterprise (NRE) stakeholders (including the Naval enterprises the combatant commands the Chief of Naval Operations (CNO) and Headquarters Marine Corps). It provides the vision and key objectives for the essential science and technology efforts that will enable the continued supremacy of U.S. Naval forces in the 21st century. The Strategy focuses and aligns Naval S&T with Naval missions and future capability needs that address the complex challenges presented by both rising peer competitors and irregular/asymmetric warfare. This PE addresses advanced technology development associated with providing the capability of Platform and Force Protection for the U.S. Navy. This program supports the development of technologies associated with all naval platforms (surface subsurface terrestrial and air) and the protection of those platforms. Due to the number of efforts in this PE the programs described herein are representative of the work included in this PE.","","There are two new Leap Ahead initiatives starting in FY 2016 - Forward Deployed Energy & Communications Outpost (FDECO) INP and Medium Displacement Unmanned Surface Vehicle (MDUSV) effort.","","","",
"ecfa021fa70d80205adc45f4d2ed7639","dodbudget","rdte-base","2016","record","1422989771","2015-02-03T18:56:11+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_MasterJustificationBook_Navy_PB_2016.xml","2016","public","Millions","0603680N","(U)Manufacturing Technology Program","21","2016","PB","2015-02","Navy","1319","Research Development Test & Evaluation Navy","3","Advanced Technology Development (ATD)","0.000","0.000","0.000","57.074","57.074","57.955","59.028","59.929","61.649","Continuing","Continuing","The Manufacturing Technology (ManTech) Program is intended to improve the productivity and responsiveness of the U.S. defense industrial base by funding the development optimization and transition of enabling manufacturing technologies to key naval suppliers.  In general investments transition emerging S&T results to acquisition programs; improve industrial capabilities in production maintenance repair and industrial base responsiveness; and advance manufacturing technology to reduce cost improve performance and responsiveness.  Currently the ManTech Program is focused on affordability improvements for specific key acquisition platforms as defined in the Navy ManTech Investment Strategy. Key platforms currently targeted include: VIRGINIA Class Submarine (VCS)/OHIO Replacement Program (ORP); DDG 51 Class Destroyer; CVN 78 Class Carrier; Joint Strike Fighter (JSF); and CH-53K Heavy Lift Helicopter.  ONR ManTech helps these Navy programs achieve their respective affordability goals by transitioning developed manufacturing technology which when implemented results in needed cost reduction or cost avoidance.This Program Element new as of FY16 is the result of the re-alignment of funds from PE Industrial Preparedness 0708011N and the Manufacturing Science and Technology activity from PE 0603758N.","","","","","",
"03ce6fbce678839210e68702343387f7","dodbudget","rdte-base","2016","record","1422989766","2015-02-03T18:56:06+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_MasterJustificationBook_Navy_PB_2016.xml","2016","public","Millions","0601103N","University Research Initiatives","1","2016","PB","2015-02","Navy","1319","Research Development Test & Evaluation Navy","1","Basic Research","0.000","108.617","133.908","116.196","116.196","118.764","120.901","120.901","120.901","Continuing","Continuing","This program includes support for multidisciplinary basic research in a wide range of scientific and engineering disciplines that enable the U.S. Navy to maintaintechnological superiority and for university research infrastructure to acquire research instrumentation needed to maintain and improve the quality of universityresearch important to the Navy. Multidisciplinary University Research Initiative (MURI) efforts involve teams of researchers investigating high priority topics andopportunities that intersect more than one traditional technical discipline. For many military problems this multidisciplinary approach serves to stimulate innovationaccelerate research progress and expedite transition of results into Naval applications. The Defense University Research Instrumentation Program (DURIP) supportsuniversity research infrastructure essential to high quality Navy-relevant research. The instrumentation program complements other Navy research programs bysupporting the purchase of high cost research instrumentation that is necessary to carry out cutting-edge research. The program supports Presidential Early CareerAwards for Scientists and Engineers (PECASE) single investigator research efforts performed by outstanding academic scientists and engineers early in their researchcareers. This program provides the knowledge base scientific concepts and technological advances for the maintenance of Naval power and national security.Due to the number of efforts in this PE the programs described herein are representative of the work included in this PE.","","","","","",
"d4e8b039e664f4ab4d01c54fff07e574","dodbudget","rdte-base","2016","record","1422989769","2015-02-03T18:56:09+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_MasterJustificationBook_Navy_PB_2016.xml","2016","public","Millions","0602651M","JT Non-Lethal Wpns Applied Res","11","2016","PB","2015-02","Navy","1319","Research Development Test & Evaluation Navy","2","Applied Research","0.000","5.805","5.880","6.119","6.119","6.327","6.425","6.425","6.425","Continuing","Continuing","The DOD Non-Lethal Weapons Program was established by the Office of the Secretary of Defense which designated the Commandant of the Marine Corps (CMC) as the DoD NLW Executive Agent (EA). The EA exercises centralized responsibility for joint research and development of non-lethal weapons and technology through the Joint Non-Lethal Weapons Program (JNLWP).  The Office of the Under Secretary of Defense for Acquisition Technology and Logistics provides direct oversight of the JNLWP.The efforts described in this Program Element (PE) reflect science and technology (S&T) investment decisions provided by the Joint Non-Lethal Weapons (NLW) Integrated Product Team a multi-service flag level corporate board that provides executive oversight and management for the JNLWP for the CMC. This direction is based on the needs and capabilities of the Services the Special Operations Command and the Coast Guard as identified in the DoD's Non-Lethal Weapons Joint Capabilities Based Assessment Document. This coordinated joint S&T development approach addresses mutual capability gaps and assures the best non-lethal technologies capabilities and equipment are provided to the operating forces while eliminating duplicative service S&T investment.  These applied research initiatives feed non-lethal capabilities which directly support the three pillars of the 2014 Quadrennial Defense Review and comprise a fundamental part of DoD's security cooperation efforts to build partner capacity.  The resulting capabilities will facilitate a fully integrated non-lethal competency as a complement to lethal firepower providing force application options for short-of-lethal scenarios.  This program funds the applied research study assessment and demonstration of technologies that could provide a non-lethal capability or target effect. Investment areas include applied research related to: non-lethal directed energy weapons (lasers millimeter wave and high power microwave) for counter-personnel and counter-materiel missions; non-lethal acoustic and optical technologies; advanced non-lethal materials (including materials for vehicle/vessel stopping and counter-facility applications); associated human effects and effectiveness for new non-lethal stimuli; injury potential and effectiveness of directed energy electric stun ocular and acoustic based non-lethal technologies; and developing models of crowd behavior and dynamics. This program transitioned from PE 0602114N Power Projection Applied Research by order of the Under Secretary of Defense for AcquisitionTechnology and Logistics to this separate PE for Joint Non-Lethal Weapons Applied Research. Due to the number of efforts in this PE the programs described herein are representative of the work included in this PE.","","","","","",
"18f2224640b11375fa44168622de528f","dodbudget","rdte-base","2016","record","1422989777","2015-02-03T18:56:17+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_MasterJustificationBook_Navy_PB_2016.xml","2016","public","Millions","0603570N","Advanced Nuclear Power Systems","45","2016","PB","2015-02","Navy","1319","Research Development Test & Evaluation Navy","4","Advanced Component Development & Prototypes (ACD&P)","0.000","428.933","499.961","482.040","482.040","472.203","464.257","356.285","345.358","Continuing","Continuing","The details of this program element are classified CONFIDENTIAL and are submitted annually to Congress in the classified budget justification books.","","","","","",
"515a9870f52daef979af131f66487b22","dodbudget","rdte-base","2016","record","1422989775","2015-02-03T18:56:15+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_MasterJustificationBook_Navy_PB_2016.xml","2016","public","Millions","0603525N","(U)PILOT FISH","36","2016","PB","2015-02","Navy","1319","Research Development Test & Evaluation Navy","4","Advanced Component Development & Prototypes (ACD&P)","0.000","107.210","138.865","123.246","123.246","108.020","93.457","99.823","112.213","Continuing","Continuing","This program is reported in accordance with Title 10 United States Code Section 119(a)(1) in the Special Access Program Annual Report to Congress.","","","","","",
